origin,base_query,base_source,base_age_after_query_seconds,base_raw_cm,base_qc,base_finite,truth_source,truth_raw_cm,truth_qc,truth_finite,base_source_file,base_record_index,truth_source_file,truth_record_index
2020-07-01T00:00:00-03:00,2020-06-30T23:45:00-03:00,2020-06-30T23:45:00-03:00,0.0,923.00,Dado aprovado,True,2020-07-01T00:00:00-03:00,935.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-06-01--2020-06-30.xml,1,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1920
2020-07-01T01:00:00-03:00,2020-07-01T00:45:00-03:00,2020-07-01T00:45:00-03:00,0.0,968.00,Dado aprovado,True,2020-07-01T01:00:00-03:00,972.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1917,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1916
2020-07-01T02:00:00-03:00,2020-07-01T01:45:00-03:00,2020-07-01T01:45:00-03:00,0.0,994.00,Dado aprovado,True,2020-07-01T02:00:00-03:00,999.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1913,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1912
2020-07-01T03:00:00-03:00,2020-07-01T02:45:00-03:00,2020-07-01T02:45:00-03:00,0.0,1010.00,Dado aprovado,True,2020-07-01T03:00:00-03:00,1008.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1909,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1908
2020-07-01T04:00:00-03:00,2020-07-01T03:45:00-03:00,2020-07-01T03:45:00-03:00,0.0,1009.00,Dado aprovado,True,2020-07-01T04:00:00-03:00,1007.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1905,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1904
2020-07-01T05:00:00-03:00,2020-07-01T04:45:00-03:00,2020-07-01T04:45:00-03:00,0.0,1006.00,Dado aprovado,True,2020-07-01T05:00:00-03:00,1004.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1901,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1900
2020-07-01T06:00:00-03:00,2020-07-01T05:45:00-03:00,2020-07-01T05:45:00-03:00,0.0,1002.00,Dado aprovado,True,2020-07-01T06:00:00-03:00,995.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1897,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1896
2020-07-01T07:00:00-03:00,2020-07-01T06:45:00-03:00,2020-07-01T06:45:00-03:00,0.0,992.00,Dado aprovado,True,2020-07-01T07:00:00-03:00,989.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1893,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1892
2020-07-01T08:00:00-03:00,2020-07-01T07:45:00-03:00,2020-07-01T07:45:00-03:00,0.0,984.00,Dado aprovado,True,2020-07-01T08:00:00-03:00,978.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1889,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1888
2020-07-01T09:00:00-03:00,2020-07-01T08:45:00-03:00,2020-07-01T08:45:00-03:00,0.0,972.00,Dado aprovado,True,2020-07-01T09:00:00-03:00,967.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1885,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1884
