origin,base_query,base_source,base_age_after_query_seconds,base_raw_cm,base_qc,base_finite,truth_source,truth_raw_cm,truth_qc,truth_finite,base_source_file,base_record_index,truth_source_file,truth_record_index
2020-07-04T10:00:00-03:00,2020-07-04T09:45:00-03:00,2020-07-04T09:45:00-03:00,0.0,,,False,2020-07-04T10:00:00-03:00,353.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1593,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1592
2020-07-04T22:00:00-03:00,2020-07-04T21:45:00-03:00,2020-07-04T21:45:00-03:00,0.0,327.00,Dado aprovado,True,2020-07-04T22:00:00-03:00,,,False,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1545,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1544
2020-07-04T23:00:00-03:00,2020-07-04T22:45:00-03:00,2020-07-04T22:45:00-03:00,0.0,,,False,2020-07-04T23:00:00-03:00,325.00,Dado aprovado,True,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1541,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1540
2020-07-08T05:00:00-03:00,2020-07-08T04:45:00-03:00,2020-07-08T04:45:00-03:00,0.0,1902.00,Dado aprovado,True,2020-07-08T05:00:00-03:00,,,False,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1229,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1228
2020-07-08T06:00:00-03:00,2020-07-08T05:45:00-03:00,2020-07-08T05:45:00-03:00,0.0,1949.00,Dado suspeito,False,2020-07-08T06:00:00-03:00,1964.00,Dado suspeito,False,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1225,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1224
2020-07-08T07:00:00-03:00,2020-07-08T06:45:00-03:00,2020-07-08T06:45:00-03:00,0.0,1998.00,Dado suspeito,False,2020-07-08T07:00:00-03:00,2012.00,Dado suspeito,False,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1221,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1220
2020-07-08T08:00:00-03:00,2020-07-08T07:45:00-03:00,2020-07-08T07:45:00-03:00,0.0,2046.00,Dado suspeito,False,2020-07-08T08:00:00-03:00,2051.00,Dado suspeito,False,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1217,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1216
2020-07-08T09:00:00-03:00,2020-07-08T08:45:00-03:00,2020-07-08T08:45:00-03:00,0.0,2069.00,Dado suspeito,False,2020-07-08T09:00:00-03:00,2079.00,Dado suspeito,False,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1213,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1212
2020-07-08T10:00:00-03:00,2020-07-08T09:45:00-03:00,2020-07-08T09:45:00-03:00,0.0,2089.00,Dado suspeito,False,2020-07-08T10:00:00-03:00,2117.00,Dado suspeito,False,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1209,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1208
2020-07-08T11:00:00-03:00,2020-07-08T10:45:00-03:00,2020-07-08T10:45:00-03:00,0.0,2127.00,Dado suspeito,False,2020-07-08T11:00:00-03:00,2121.00,Dado suspeito,False,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1205,outputs/historico-cheias-mucum/raw/ana-86510000-2020-07-01--2020-07-20.xml,1204
