phase,horizon_h,input_column,median,mean,scale,standardized_coefficient,original_unit_coefficient
validation,2,9,0.0,0.005677631578947366,0.158431107474016,0.005317256780159002,0.03356194919631598
validation,2,10,-0.0024999999999999467,0.008657236842105261,0.14394122731626377,-0.0007354698380342675,-0.005109514846766681
validation,2,11,-0.0012500000000000289,0.010998026315789475,0.12074587547188928,0.015369448755188779,0.12728756734027677
validation,2,13,0.0,0.009810526315789457,0.14537851102602495,0.03886669060480619,0.2673482506492893
validation,2,14,-0.009999999999999787,0.01122894736842105,0.14637727104246523,0.044612821722906454,0.30477970661144455
validation,2,15,-0.0050000000000000044,0.012910526315789475,0.1443430759454959,0.06320836360333468,0.43790367628858223
validation,2,16,-0.0050000000000000044,0.012366447368421053,0.1313661400658475,0.06391061550668574,0.48650752373975853
validation,2,17,-0.0050000000000000044,0.010188486842105262,0.10669783445466742,0.022113685798477153,0.20725524479011398
validation,2,19,0.0,0.0011947368421052677,0.14694483022615634,0.0006131422903595517,0.004172601985492728
validation,2,20,0.0,0.0011526315789473687,0.12339064141097426,0.007614440558367174,0.0617100330405605
validation,2,21,0.0,0.001823684210526315,0.1027210861718339,0.008077880443129161,0.07863897028518876
validation,2,22,0.0,0.002188157894736843,0.08257579128977792,0.0060213774971592336,0.07291940413902666
validation,2,23,0.0,0.0031,0.06624494916198279,0.005432065638133564,0.08199969517451096
test,2,1,-0.019999999999999574,0.005643872574452634,0.128166778155632,0.08576245798835484,0.6691473346097077
test,2,2,-0.010000000000000009,0.004773529106568437,0.12332285141006163,0.03968397620740267,0.32178931766221663
test,2,3,-0.010000000000000009,0.0039349642004773274,0.11792992336939712,-0.016738400792611494,-0.14193514516397218
test,2,4,-0.009999999999999981,0.0033081482826605776,0.10767762927410326,-0.027149809287214745,-0.2521397384976077
test,2,5,-0.006249999999999978,0.0034302687558368785,0.09020091351559058,-0.017206773447042856,-0.19076052310788172
test,2,7,0.0,0.0024322922071183923,0.15299215085273146,0.0005778001716849714,0.003776665459400956
test,2,8,0.0,0.0023741828369824637,0.14703943513834536,0.0074600825837092015,0.05073525055839758
test,2,9,0.0,0.0027352910656843403,0.1368828884700728,0.013317303559853768,0.09728976140626502
test,2,10,0.0,0.004130434782608696,0.12174030892268196,0.0032837876609893226,0.026973708955140542
test,2,11,-0.0012499999999999734,0.004811793089135624,0.09702440201146204,-0.011327863593420539,-0.11675272775278032
test,2,13,0.0,0.004821002386634843,0.1257798403974233,0.025121796640652963,0.19972832340442057
