phase,profile,horizon_h,family,predictions,maximum_difference_m
validation,A,1,profile_A_control,6511,0.0
validation,A,1,profile_B_control,6511,0.0
validation,A,1,mixed_profile_candidate,6511,0.0
validation,B,1,profile_A_control,6521,0.0
validation,B,1,profile_B_control,6521,0.0
validation,B,1,mixed_profile_candidate,6521,0.0
test,A,1,profile_A_control,1944,0.0
test,A,1,profile_B_control,1944,0.0
test,A,1,mixed_profile_candidate,1944,0.0
test,B,1,profile_A_control,1945,0.0
test,B,1,profile_B_control,1945,0.0
test,B,1,mixed_profile_candidate,1945,0.0
validation,A,2,profile_A_control,6510,0.0
validation,A,2,profile_B_control,6510,0.0
validation,A,2,mixed_profile_candidate,6510,0.0
validation,B,2,profile_A_control,6520,0.0
validation,B,2,profile_B_control,6520,0.0
validation,B,2,mixed_profile_candidate,6520,0.0
test,A,2,profile_A_control,1943,0.0
test,A,2,profile_B_control,1943,0.0
test,A,2,mixed_profile_candidate,1943,0.0
test,B,2,profile_A_control,1944,0.0
test,B,2,profile_B_control,1944,0.0
test,B,2,mixed_profile_candidate,1944,0.0
validation,A,3,profile_A_control,6509,0.0
validation,A,3,profile_B_control,6509,0.0
validation,A,3,mixed_profile_candidate,6509,0.0
validation,B,3,profile_A_control,6519,0.0
validation,B,3,profile_B_control,6519,0.0
validation,B,3,mixed_profile_candidate,6519,0.0
test,A,3,profile_A_control,1942,0.0
test,A,3,profile_B_control,1942,0.0
test,A,3,mixed_profile_candidate,1942,0.0
test,B,3,profile_A_control,1943,0.0
test,B,3,profile_B_control,1943,0.0
test,B,3,mixed_profile_candidate,1943,0.0
validation,A,4,profile_A_control,6508,0.0
validation,A,4,profile_B_control,6508,0.0
validation,A,4,mixed_profile_candidate,6508,0.0
validation,B,4,profile_A_control,6518,0.0
validation,B,4,profile_B_control,6518,0.0
validation,B,4,mixed_profile_candidate,6518,0.0
test,A,4,profile_A_control,1941,0.0
test,A,4,profile_B_control,1941,0.0
test,A,4,mixed_profile_candidate,1941,0.0
test,B,4,profile_A_control,1942,0.0
test,B,4,profile_B_control,1942,0.0
test,B,4,mixed_profile_candidate,1942,0.0
validation,A,5,profile_A_control,6507,0.0
validation,A,5,profile_B_control,6507,0.0
validation,A,5,mixed_profile_candidate,6507,0.0
validation,B,5,profile_A_control,6517,0.0
validation,B,5,profile_B_control,6517,0.0
validation,B,5,mixed_profile_candidate,6517,0.0
test,A,5,profile_A_control,1940,0.0
test,A,5,profile_B_control,1940,0.0
test,A,5,mixed_profile_candidate,1940,0.0
test,B,5,profile_A_control,1941,0.0
test,B,5,profile_B_control,1941,0.0
test,B,5,mixed_profile_candidate,1941,0.0
validation,A,6,profile_A_control,6506,0.0
validation,A,6,profile_B_control,6506,0.0
validation,A,6,mixed_profile_candidate,6506,0.0
validation,B,6,profile_A_control,6516,0.0
validation,B,6,profile_B_control,6516,0.0
validation,B,6,mixed_profile_candidate,6516,0.0
test,A,6,profile_A_control,1939,0.0
test,A,6,profile_B_control,1939,0.0
test,A,6,mixed_profile_candidate,1939,0.0
test,B,6,profile_A_control,1940,0.0
test,B,6,profile_B_control,1940,0.0
test,B,6,mixed_profile_candidate,1940,0.0
validation,A,7,profile_A_control,6505,0.0
validation,A,7,profile_B_control,6505,0.0
validation,A,7,mixed_profile_candidate,6505,0.0
validation,B,7,profile_A_control,6515,0.0
validation,B,7,profile_B_control,6515,0.0
validation,B,7,mixed_profile_candidate,6515,0.0
