phase,family,horizon_h,n,distinct_origins,profile_A_rows,profile_B_rows,weights_sum,targets_ge_7m,latest_training_target,cutoff_exclusive,leaf_nodes,loss
validation,mixed_profile_candidate,8,3519,3519,1705,1814,4581,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,profile_A_control,8,9278,9278,9278,0,11158,190,2026-06-28T14:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,profile_B_control,8,9278,9278,0,9278,11202,190,2026-06-28T14:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,mixed_profile_candidate,8,9278,9278,4569,4709,11184,190,2026-06-28T14:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,profile_A_control,9,3517,3517,3517,0,4673,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,profile_B_control,9,3517,3517,0,3517,4685,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
validation,mixed_profile_candidate,9,3517,3517,1708,1809,4677,162,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error
test,profile_A_control,9,9277,9277,9277,0,11359,190,2026-06-28T15:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,profile_B_control,9,9277,9277,0,9277,11393,190,2026-06-28T15:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
test,mixed_profile_candidate,9,9277,9277,4575,4702,11377,190,2026-06-28T15:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error
validation,profile_A_control,10,3516,3516,3516,0,4758,163,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,profile_B_control,10,3516,3516,0,3516,4774,163,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,mixed_profile_candidate,10,3516,3516,1704,1812,4766,163,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,profile_A_control,10,9274,9274,9274,0,11516,191,2026-06-28T16:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,profile_B_control,10,9274,9274,0,9274,11546,191,2026-06-28T16:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,mixed_profile_candidate,10,9274,9274,4571,4703,11526,191,2026-06-28T16:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,profile_A_control,11,3516,3516,3516,0,4836,165,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,profile_B_control,11,3516,3516,0,3516,4854,165,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,mixed_profile_candidate,11,3516,3516,1705,1811,4838,165,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,profile_A_control,11,9275,9275,9275,0,11635,193,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,profile_B_control,11,9275,9275,0,9275,11659,193,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,mixed_profile_candidate,11,9275,9275,4574,4701,11637,193,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
validation,profile_A_control,12,3513,3513,3513,0,4901,166,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,profile_B_control,12,3513,3513,0,3513,4923,166,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
validation,mixed_profile_candidate,12,3513,3513,1704,1809,4909,166,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error
test,profile_A_control,12,9269,9269,9269,0,11735,194,2026-06-28T18:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,profile_B_control,12,9269,9269,0,9269,11767,194,2026-06-28T18:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
test,mixed_profile_candidate,12,9269,9269,4571,4698,11749,194,2026-06-28T18:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error
