source,lead_h,phase,evaluation_rows,all_extra_predictors_finite,any_extra_predictor_missing
julho,0,validation,6552,6552,0
julho,0,test,1968,1968,0
julho,1,validation,6551,6551,0
julho,1,test,1967,1967,0
julho,2,validation,6550,6550,0
julho,2,test,1966,1966,0
julho,3,validation,6549,6549,0
julho,3,test,1965,1965,0
julho,4,validation,6548,6548,0
julho,4,test,1964,1964,0
julho,5,validation,6547,6547,0
julho,5,test,1963,1963,0
julho,6,validation,6546,6546,0
julho,6,test,1962,1962,0
julho,7,validation,6545,6545,0
julho,7,test,1961,1961,0
julho,8,validation,6544,6544,0
julho,8,test,1960,1960,0
julho,9,validation,6543,6543,0
julho,9,test,1959,1959,0
julho,10,validation,6542,6542,0
julho,10,test,1958,1958,0
julho,11,validation,6541,6541,0
julho,11,test,1957,1957,0
carreiro,0,validation,6253,6253,0
carreiro,0,test,1703,1703,0
carreiro,1,validation,6251,6251,0
carreiro,1,test,1699,1699,0
carreiro,2,validation,6249,6249,0
carreiro,2,test,1695,1695,0
carreiro,3,validation,6246,6246,0
carreiro,3,test,1691,1691,0
carreiro,4,validation,6243,6243,0
carreiro,4,test,1687,1687,0
carreiro,5,validation,6241,6241,0
carreiro,5,test,1684,1684,0
carreiro,6,validation,6239,6239,0
carreiro,6,test,1681,1681,0
carreiro,7,validation,6238,6238,0
carreiro,7,test,1678,1678,0
carreiro,8,validation,6236,6236,0
carreiro,8,test,1675,1675,0
carreiro,9,validation,6233,6233,0
carreiro,9,test,1673,1673,0
carreiro,10,validation,6232,6232,0
carreiro,10,test,1671,1671,0
carreiro,11,validation,6231,6231,0
carreiro,11,test,1669,1669,0
