source,lead_h,phase,family,subset,training_rows,features,high_flow_threshold_m3_s,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,0,validation,reference,all,4390,53,1365.0,6552,20.089830796709816,2.1619040632188926,50.76036046921607
julho,0,validation,reference,high_flow,4390,53,1365.0,28,104.43662294940704,-15.495937397765898,265.7196658667419
julho,0,validation,level_and_slopes,all,4390,77,1365.0,6552,21.96865262467586,-0.559715759889097,48.00476909521051
julho,0,validation,level_and_slopes,high_flow,4390,77,1365.0,28,94.72511224305582,-21.183298635212022,261.75225234714344
julho,0,validation,slopes_only,all,4390,71,1365.0,6552,21.340189060717623,1.2402163439621765,47.881634483404866
julho,0,validation,slopes_only,high_flow,4390,71,1365.0,28,95.44201431456726,-23.249353393900964,260.7376019266061
julho,0,test,reference,all,10942,53,1365.0,1968,46.27849378837248,0.31924112300384205,127.88659839479827
julho,0,test,reference,high_flow,10942,53,1365.0,271,118.19237747447443,-14.073156646539523,248.89068917657698
julho,0,test,level_and_slopes,all,10942,77,1365.0,1968,42.48410282685358,4.545303795894158,114.85965650149649
julho,0,test,level_and_slopes,high_flow,10942,77,1365.0,271,99.45793414733377,-6.433697830706197,235.63829435462935
julho,0,test,slopes_only,all,10942,71,1365.0,1968,42.56651298470567,0.826412672682236,116.3041518183886
julho,0,test,slopes_only,high_flow,10942,71,1365.0,271,100.09996302313742,-7.506587430065778,238.379264941198
julho,1,validation,reference,all,4389,53,1365.0,6551,37.08286033730727,4.681780181140661,93.7770120826632
julho,1,validation,reference,high_flow,4389,53,1365.0,28,162.42744802633683,-21.6760541688351,358.83128016728415
julho,1,validation,level_and_slopes,all,4389,77,1365.0,6551,37.621783547520465,-2.596688109625243,82.52949649422081
julho,1,validation,level_and_slopes,high_flow,4389,77,1365.0,28,131.0673320435591,-28.24309035958583,312.34888301099176
julho,1,validation,slopes_only,all,4389,71,1365.0,6551,36.80288532514384,3.300727274038454,81.15604041229261
julho,1,validation,slopes_only,high_flow,4389,71,1365.0,28,132.39386856048742,-32.17170144985339,313.7882168618108
julho,1,test,reference,all,10941,53,1365.0,1967,82.7616322730008,0.6952702122812783,229.5143935248307
julho,1,test,reference,high_flow,10941,53,1365.0,271,206.87023845505792,-32.3224648128019,354.16347045920827
julho,1,test,level_and_slopes,all,10941,77,1365.0,1967,75.06234472550031,11.210253130535046,204.87646323138355
julho,1,test,level_and_slopes,high_flow,10941,77,1365.0,271,174.22739451345294,-12.398501091501481,301.93209469611924
