id,network,name,lat,lon,ottobacia,subbacia,observado_em,acumulado_hoje_mm,qualidade,usada_chuva_modelo,proxima_limite_1km,fonte
EPAGRI-2416,epagri,EPAGRI - Lagoa Vermelha - BASF (848 m),-28.298889,-51.378178,7868481,Prata-Turvo,2026-09-21T12:00:00-03:00,0.1,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/EPAGRI-2416.txt
EPAGRI-2417,epagri,EPAGRI - Caxias do Sul - BASF (830 m),-29.12927,-51.159296,7869129,Alto Antas,2026-09-21T12:00:00-03:00,101.3,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/EPAGRI-2417.txt
DCRS-00008,dcrs,DCRS - Nova Roma - Farroupilha (180 m),-29.057501,-51.396099,7869113,Alto Antas,2026-09-21T12:57:00-03:00,115.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/DCRS-00008.txt
DCRS-00084,dcrs,DCRS - São Francisco de Paula/Cambará do Sul (865 m),-29.2649,-50.314899,7869673,Tainhas,2026-09-21T12:57:00-03:00,0.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/DCRS-00084.txt
DCRS-00110,dcrs,DCRS - Muitos Capões/Lagoa Vermelha (751 m),-28.323299,-51.3368,786847,Prata-Turvo,2026-09-21T12:56:00-03:00,11.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/DCRS-00110.txt
DCRS-00057,dcrs,DCRS - Cotiporã - Dois Lajeados (110 m),-28.995701,-51.7547,786613,Carreiro,2026-09-21T12:57:00-03:00,30.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/DCRS-00057.txt
DCRS-00086,dcrs,DCRS - Bom Jesus/Jaquirana (606 m),-28.7988,-50.429798,7869761,Alto Antas,2026-09-21T12:57:00-03:00,8.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/DCRS-00086.txt
DCRS-00007,dcrs,DCRS - Protásio Alves - Ipê (357 m),-28.738501,-51.4259,786833,Prata-Turvo,2026-09-21T12:57:00-03:00,39.6,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/DCRS-00007.txt
DCRS-00087,dcrs,DCRS - Antônio Prado/Flores da Cunha (292 m),-28.939899,-51.188499,7869137,Alto Antas,2026-09-21T12:57:00-03:00,137.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/DCRS-00087.txt
77788ab5-01bc-43b6-b80d-db4290875b75,davis,David Canabarro - SIMAGRORS054 (825 m),-28.4062,-51.845001,786695,Carreiro,2026-09-21T12:49:00-03:00,6.2,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/77788ab5-01bc-43b6-b80d-db4290875b75.txt
ab46b07e-1acd-489e-b1d8-4b7dbae9efa3,davis,Cambará do Sul (1042 m),-29.06842,-50.01291,7869993,Alto Antas,2026-09-21T12:45:00-03:00,70.4,checagens basicas aprovadas; nao homologado,False,True,https://sigmameteorologia.com/produtos/stations/2026-09-21/ab46b07e-1acd-489e-b1d8-4b7dbae9efa3.txt
d622afde-1f48-478c-818d-4640d8f3ca03,davis,Lagoa Vermelha - Boqueirão (858 m),-28.3288,-51.391201,786847,Prata-Turvo,2026-09-21T12:47:00-03:00,9.0,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/d622afde-1f48-478c-818d-4640d8f3ca03.txt
9ea7ec27-3065-4660-a529-07f6bfe5c030,davis,Cambará do Sul (1010 m),-29.04467,-50.02041,7869993,Alto Antas,2026-09-21T12:48:00-03:00,72.1,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/9ea7ec27-3065-4660-a529-07f6bfe5c030.txt
2f8e135d-b70d-426a-b4b0-7bf2d193291c,davis,São José dos Ausentes (1175 m),-28.7689,-49.998501,786989,Alto Antas,2026-09-21T12:49:00-03:00,80.3,reinicio ou queda do acumulado diario,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/2f8e135d-b70d-426a-b4b0-7bf2d193291c.txt
556cce20-c5c6-4f91-97f9-39f122e1c591,davis,Farroupilha - Vinícola Monte Astral (744 m),-29.146,-51.411999,78691123,Alto Antas,2026-09-21T12:48:00-03:00,121.2,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/556cce20-c5c6-4f91-97f9-39f122e1c591.txt
3e64f4db-023b-403f-8de0-8c9d815e348b,davis,Muitos Capões (877 m),-28.327999,-51.098499,786893,Prata-Turvo,2026-09-21T12:47:00-03:00,0.2,checagens basicas aprovadas; nao homologado,False,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/3e64f4db-023b-403f-8de0-8c9d815e348b.txt
86500000,sgb_cprm,SGB/CPRM - Passo Carreiro (259 m),-28.84888,-51.8325,7866513,Carreiro,2026-09-21T12:30:00-03:00,97.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/86500000.txt
86160000,sgb_cprm,SGB/CPRM - Passo Tainhas (634 m),-28.86805,-50.45611,7869631,Tainhas,2026-09-21T11:45:00-03:00,95.4,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/86160000.txt
86510000,sgb_cprm,SGB/CPRM - Muçum (57 m),-29.16722,-51.86861,78651,Baixo Antas,2026-09-21T12:15:00-03:00,118.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/86510000.txt
02851044,sgb_cprm,SGB/CPRM - Guaporé (525 m),-28.84444,-51.87916,7866512,Carreiro,2026-09-21T12:30:00-03:00,0.0,possivel sensor travado: divergencia dos vizinhos,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/02851044.txt
02851072,sgb_cprm,SGB/CPRM - Ibiraiaras (837 m),-28.38111,-51.63305,786667,Carreiro,2026-09-21T11:45:00-03:00,0.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/02851072.txt
86472000,sgb_cprm,SGB/CPRM - Linha José Júlio (82 m),-29.09777,-51.69972,786712,Baixo Antas,2026-09-21T12:30:00-03:00,125.0,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/86472000.txt
86472600,sgb_cprm,SGB/CPRM - Santa Tereza (74 m),-29.17805,-51.73222,78655,Baixo Antas,2026-09-21T11:45:00-03:00,147.8,checagens basicas aprovadas; nao homologado,True,False,https://sigmameteorologia.com/produtos/stations/2026-09-21/86472600.txt
