id,rede,nome,lat,lon,subbacia,origem,ultimo_dado,qualidade
d622afde-1f48-478c-818d-4640d8f3ca03,davis,Lagoa Vermelha - Boqueirão (858 m),-28.3288,-51.391201,Prata-Turvo,SIGMA,2026-09-21T12:47:00-03:00,checagens basicas aprovadas; nao homologado
9ea7ec27-3065-4660-a529-07f6bfe5c030,davis,Cambará do Sul (1010 m),-29.04467,-50.02041,Alto Antas,SIGMA,2026-09-21T12:48:00-03:00,checagens basicas aprovadas; nao homologado
2f8e135d-b70d-426a-b4b0-7bf2d193291c,davis,São José dos Ausentes (1175 m),-28.7689,-49.998501,Alto Antas,SIGMA,2026-09-21T12:49:00-03:00,reinicio ou queda do acumulado diario
556cce20-c5c6-4f91-97f9-39f122e1c591,davis,Farroupilha - Vinícola Monte Astral (744 m),-29.146,-51.411999,Alto Antas,SIGMA,2026-09-21T12:48:00-03:00,checagens basicas aprovadas; nao homologado
3e64f4db-023b-403f-8de0-8c9d815e348b,davis,Muitos Capões (877 m),-28.327999,-51.098499,Prata-Turvo,SIGMA,2026-09-21T12:47:00-03:00,checagens basicas aprovadas; nao homologado
86500000,sgb_cprm,SGB/CPRM - Passo Carreiro (259 m),-28.84888,-51.8325,Carreiro,SIGMA,2026-09-21T12:30:00-03:00,checagens basicas aprovadas; nao homologado
86160000,sgb_cprm,SGB/CPRM - Passo Tainhas (634 m),-28.86805,-50.45611,Tainhas,SIGMA,2026-09-21T11:45:00-03:00,checagens basicas aprovadas; nao homologado
86510000,sgb_cprm,SGB/CPRM - Muçum (57 m),-29.16722,-51.86861,Baixo Antas,SIGMA,2026-09-21T12:15:00-03:00,checagens basicas aprovadas; nao homologado
02851044,sgb_cprm,SGB/CPRM - Guaporé (525 m),-28.84444,-51.87916,Carreiro,SIGMA,2026-09-21T12:30:00-03:00,possivel sensor travado: divergencia dos vizinhos
02851072,sgb_cprm,SGB/CPRM - Ibiraiaras (837 m),-28.38111,-51.63305,Carreiro,SIGMA,2026-09-21T11:45:00-03:00,checagens basicas aprovadas; nao homologado
86472000,sgb_cprm,SGB/CPRM - Linha José Júlio (82 m),-29.09777,-51.69972,Baixo Antas,SIGMA,2026-09-21T12:30:00-03:00,checagens basicas aprovadas; nao homologado
86472600,sgb_cprm,SGB/CPRM - Santa Tereza (74 m),-29.17805,-51.73222,Baixo Antas,SIGMA,2026-09-21T11:45:00-03:00,checagens basicas aprovadas; nao homologado
B859,inmet,INMET - MUCUM (197 m),-29.153611,-51.865278,Baixo Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado
