id,name,lat,lon,inside,already_sigma,ottobacia,subbacia,last,records,rain_sum_last6h_records_mm,records_last6h,valid_rain_records_last6h,quality_last,note
86060010,CGH Cambará Barramento,-28.9489,-50.0556,True,False,786997,Alto Antas,2026-09-21T08:00:00-03:00,40,37.0,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86099000,PCH Pezzi Montante,-28.8047,-50.4936,True,False,786974,Alto Antas,2026-09-21T11:00:00-03:00,43,133.6,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86102000,PCH Passo do Meio Montante Tainhas,-28.8644,-50.5622,True,False,7869621,Tainhas,2026-09-21T10:00:00-03:00,42,141.4,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86117000,PCH Serra dos Cavalinhos I,-28.79,-50.6789,True,False,7869592,Alto Antas,2026-09-21T11:00:00-03:00,43,57.0,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86125000,CGH Trabuco Jusante,-28.6022,-51.2344,True,False,7868621,Prata-Turvo,2026-09-21T11:59:00-03:00,44,26,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86125050,PCH Morro Grande Montante,-28.5486,-51.3017,True,False,786872,Prata-Turvo,2026-09-21T12:00:00-03:00,44,43,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86160000,Passo Tainhas,-28.88269,-50.39594,True,True,7869631,Tainhas,2026-09-21T11:45:00-03:00,175,156.0,24,24,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86163000,PCH Serra dos Cavalinhos II Jusante,-28.7869,-50.7447,True,False,786955,Alto Antas,2026-09-21T11:00:00-03:00,43,68.2,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86200900,PCH Criúva Barramento,-28.9653,-50.7989,True,False,7869433,Alto Antas,2026-09-21T11:00:00-03:00,43,0,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86280500,PCH Rio São Marcos Barramento,-29.0367,-51.0956,True,False,7869144,Alto Antas,2026-09-21T12:00:00-03:00,43,162.4,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86298000,UHE Castro Alves RS-122,-28.9414,-51.1892,True,False,7869137,Alto Antas,2026-09-21T12:00:00-03:00,44,95.4,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86403000,PCH Jardim Jusante,-28.5692,-51.4064,True,False,786841,Prata-Turvo,2026-09-21T12:00:00-03:00,44,26.2,6,6,provisional,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86410800,PCH da Ilha Afluente,-28.7983,-51.4744,True,False,786831,Prata-Turvo,2026-09-21T11:00:00-03:00,43,79.4,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86447000,UHE Monte Claro Balsa do Prata,-28.9714,-51.4611,True,False,786811,Prata-Turvo,2026-09-21T07:00:00-03:00,39,0.4,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86448000,UHE Monte Claro Barramento,-29.0292,-51.5219,True,False,78679,Baixo Antas,2026-09-21T12:00:00-03:00,44,80.2,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86450000,UHE Monte Claro Jusante,-29.075,-51.5239,True,False,7867831,Baixo Antas,2026-09-21T12:15:00-03:00,177,115.2,24,24,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86471000,UHE 14 de Julho Jusante,-29.0797,-51.6814,True,False,786713,Baixo Antas,2026-09-21T12:15:00-03:00,177,109.8,24,24,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86472000,Linha José Júlio,-29.09807,-51.69956,True,True,786712,Baixo Antas,2026-09-21T12:30:00-03:00,178,123.2,24,24,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86472600,SGB/CPRM - Santa Tereza (74 m),-29.17805,-51.73222,True,True,78655,Baixo Antas,2026-09-21T11:45:00-03:00,169,146.2,24,24,provisional,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86479000,PCH Caçador Ponte São Domingos,-28.5792,-51.8686,True,False,786671,Carreiro,2026-09-21T11:00:00-03:00,43,14.2,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86488000,PCH Caçador Montante,-28.6847,-51.8506,True,False,7866533,Carreiro,2026-09-21T11:00:00-03:00,36,0,3,3,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86493000,PCH Boa Fé Barramento,-28.7464,-51.8536,True,False,786652,Carreiro,2026-09-21T11:00:00-03:00,43,87.2,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86495500,PCH São Paulo Barramento,-28.775,-51.8447,True,False,7866517,Carreiro,2026-09-21T11:00:00-03:00,43,74.3,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86500000,SGB/CPRM - Passo Carreiro (259 m),-28.84888,-51.8325,True,True,7866513,Carreiro,2026-09-21T12:30:00-03:00,174,0,24,24,provisional,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86504900,PCH Autódromo Jusante,-28.8817,-51.7897,True,False,786641,Carreiro,2026-09-21T11:00:00-03:00,43,111.6,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86505500,PCH Linha Emília Jusante,-28.9414,-51.7694,True,False,78663,Carreiro,2026-09-21T11:00:00-03:00,43,87.8,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86510000,Muçum,-29.16694,-51.86722,True,True,78651,Baixo Antas,2026-09-21T12:15:00-03:00,177,89.4,24,24,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86520000,PCH Capigui Barramento,-28.3511,-52.2147,False,False,,jusante/fora,2026-09-21T10:00:00-03:00,42,0,6,6,approved,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
86560000,SGB/CPRM - Linha Colombo (216 m),-28.91222,-51.95305,False,False,,jusante/fora,2026-09-21T11:45:00-03:00,167,38.4,24,24,provisional,Soma dos registros ChuvaFinal na janela; sem preenchimento de lacunas. Qualidade do banco nao garante qualidade de cada variavel.
