nominal_lead_h,before,after,added,removed,common,common_base_changed,common_target_changed
1,10875,10899,258,234,10641,7429,0
2,10866,10894,261,233,10633,7426,0
3,10864,10888,258,234,10630,7419,0
4,10855,10884,261,232,10623,7414,0
5,10855,10882,261,234,10621,7411,0
6,10852,10883,263,232,10620,7411,0
7,10855,10881,259,233,10622,7411,0
8,10852,10880,261,233,10619,7406,0
9,10852,10878,260,234,10618,7406,0
10,10849,10877,262,234,10615,7402,0
11,10849,10874,258,233,10616,7408,0
12,10844,10872,262,234,10610,7401,0
13,10842,10872,263,233,10609,7399,0
14,10843,10872,262,233,10610,7402,0
