phase,horizon_h,family,origin,target_time,base_m,observed_m,prediction_m,error_m,response_m,predicted_response_m,response_regime,missing_first24,missing_carreiro6,missing_reservoir24
test,12,baseline,2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,5.849824123332784,-7.120175876667217,9.43,2.309824123332784,above_train_max,6,6,0
test,12,baseline,2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,4.88279720165937,-7.10720279834063,8.4,1.2927972016593703,above_train_max,6,6,0
test,12,baseline,2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,7.519206017768411,-6.970793982231589,11.22,4.249206017768412,above_train_max,6,6,0
test,12,baseline,2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,9.570899809587353,-6.9291001904126475,13.08,6.150899809587353,above_train_max,6,6,0
test,12,baseline,2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,10.270924001110222,-6.889075998889778,13.27,6.3809240011102215,above_train_max,6,6,0
test,12,baseline,2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,8.411075008184339,-6.748924991815661,11.95,5.201075008184339,above_train_max,6,6,0
test,12,baseline,2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,9.18729281379879,-6.622707186201211,12.56,5.9372928137987895,above_train_max,6,6,0
test,12,baseline,2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,11.311427426999149,-6.468572573000852,12.760000000000002,6.2914274269991495,above_train_max,6,6,0
test,12,baseline,2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,7.504961878889726,-6.2650381211102735,10.36,4.094961878889726,above_train_max,6,6,0
test,12,baseline,2026-07-21T12:00:00-03:00,2026-07-22T00:00:00-03:00,3.56,10.77,5.006364180197785,-5.763635819802214,7.209999999999999,1.4463641801977851,within_train_range,6,6,0
test,12,baseline,2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,13.244396780473405,-5.125603219526596,11.420000000000002,6.294396780473405,above_train_max,6,6,0
test,12,baseline,2026-07-21T11:00:00-03:00,2026-07-21T23:00:00-03:00,3.5,9.21,4.593078216483052,-4.616921783516949,5.710000000000001,1.0930782164830521,within_train_range,6,6,0
test,12,baseline,2026-07-28T08:00:00-03:00,2026-07-28T20:00:00-03:00,4.43,10.31,5.8477039840902485,-4.462296015909752,5.880000000000001,1.4177039840902488,within_train_range,0,0,0
test,12,baseline,2026-07-28T09:00:00-03:00,2026-07-28T21:00:00-03:00,4.54,10.86,6.439948698521185,-4.420051301478814,6.319999999999999,1.899948698521185,within_train_range,0,0,0
test,12,baseline,2026-07-28T10:00:00-03:00,2026-07-28T22:00:00-03:00,4.72,11.24,6.86169069047655,-4.37830930952345,6.5200000000000005,2.1416906904765503,within_train_range,0,0,0
test,12,baseline,2026-07-28T07:00:00-03:00,2026-07-28T19:00:00-03:00,4.4,9.47,5.3562357650892105,-4.11376423491079,5.07,0.9562357650892102,within_train_range,0,0,0
test,12,baseline,2026-07-22T18:00:00-03:00,2026-07-23T06:00:00-03:00,18.77,13.68,17.47764259210092,3.797642592100921,-5.09,-1.292357407899079,below_train_min,7,6,0
test,12,baseline,2026-07-28T11:00:00-03:00,2026-07-28T23:00:00-03:00,4.88,11.47,7.710430470371836,-3.7595695296281644,6.590000000000001,2.8304304703718364,within_train_range,0,0,0
test,12,baseline,2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,15.110294334381747,-3.6797056656182523,10.02,6.340294334381747,above_train_max,6,6,0
test,12,baseline,2026-07-28T06:00:00-03:00,2026-07-28T18:00:00-03:00,4.42,8.47,4.942387698909686,-3.527612301090315,4.050000000000001,0.5223876989096858,within_train_range,0,0,0
test,12,native_only,2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,8.578474249501976,-7.921525750498024,13.08,5.158474249501976,above_train_max,6,6,0
test,12,native_only,2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,9.404067642329865,-7.755932357670135,13.27,5.514067642329865,above_train_max,6,6,0
test,12,native_only,2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,7.58465078370872,-7.57534921629128,11.95,4.37465078370872,above_train_max,6,6,0
test,12,native_only,2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,8.307812800874991,-7.502187199125009,12.56,5.057812800874991,above_train_max,6,6,0
test,12,native_only,2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,10.442311589895809,-7.337688410104192,12.760000000000002,5.422311589895809,above_train_max,6,6,0
test,12,native_only,2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,5.789792825661115,-7.180207174338886,9.43,2.249792825661115,above_train_max,6,6,0
test,12,native_only,2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,4.84169306393728,-7.1483069360627205,8.4,1.2516930639372799,above_train_max,6,6,0
test,12,native_only,2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,7.365617478642649,-7.124382521357351,11.22,4.09561747864265,above_train_max,6,6,0
test,12,native_only,2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,7.497690907826345,-6.272309092173654,10.36,4.087690907826345,above_train_max,6,6,0
test,12,native_only,2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,12.170336230532879,-6.199663769467122,11.420000000000002,5.220336230532879,above_train_max,6,6,0
test,12,native_only,2026-07-21T12:00:00-03:00,2026-07-22T00:00:00-03:00,3.56,10.77,4.909849655801822,-5.8601503441981775,7.209999999999999,1.349849655801822,within_train_range,6,6,0
test,12,native_only,2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,13.527595001512935,-5.262404998487064,10.02,4.757595001512936,above_train_max,6,6,0
test,12,native_only,2026-07-21T11:00:00-03:00,2026-07-21T23:00:00-03:00,3.5,9.21,4.541621285333321,-4.66837871466668,5.710000000000001,1.0416212853333207,within_train_range,6,6,0
test,12,native_only,2026-07-22T00:00:00-03:00,2026-07-22T12:00:00-03:00,10.42,19.02,14.757654045187302,-4.262345954812698,8.6,4.337654045187302,above_train_max,6,6,0
test,12,native_only,2026-07-28T09:00:00-03:00,2026-07-28T21:00:00-03:00,4.54,10.86,7.2096027180046445,-3.650397281995355,6.319999999999999,2.6696027180046444,within_train_range,0,0,0
test,12,native_only,2026-07-28T10:00:00-03:00,2026-07-28T22:00:00-03:00,4.72,11.24,7.591961928927137,-3.648038071072863,6.5200000000000005,2.8719619289271376,within_train_range,0,0,0
test,12,native_only,2026-07-28T07:00:00-03:00,2026-07-28T19:00:00-03:00,4.4,9.47,5.849117289187836,-3.6208827108121646,5.07,1.4491172891878357,within_train_range,0,0,0
test,12,native_only,2026-07-28T08:00:00-03:00,2026-07-28T20:00:00-03:00,4.43,10.31,6.726601445380648,-3.583398554619352,5.880000000000001,2.2966014453806487,within_train_range,0,0,0
test,12,native_only,2026-07-21T10:00:00-03:00,2026-07-21T22:00:00-03:00,3.46,7.38,4.120264980492373,-3.2597350195076267,3.92,0.6602649804923733,within_train_range,6,6,0
test,12,native_only,2026-07-28T06:00:00-03:00,2026-07-28T18:00:00-03:00,4.42,8.47,5.3934510222665235,-3.076548977733477,4.050000000000001,0.9734510222665236,within_train_range,0,0,0
test,12,reservoir_only,2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,6.105696698172326,-6.8643033018276745,9.43,2.565696698172326,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,5.376953527292103,-6.6130464727078975,8.4,1.7869535272921029,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,10.547727096996558,-6.612272903003442,13.27,6.657727096996558,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,7.890993369153959,-6.599006630846041,11.22,4.620993369153959,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,10.014070926503782,-6.485929073496218,13.08,6.5940709265037825,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,11.527552028729033,-6.252447971270968,12.760000000000002,6.507552028729034,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,8.913409626718934,-6.246590373281066,11.95,5.703409626718934,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,9.653167139643877,-6.156832860356124,12.56,6.403167139643877,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,8.093547797532402,-5.676452202467598,10.36,4.683547797532402,above_train_max,6,6,0
test,12,reservoir_only,2026-07-21T12:00:00-03:00,2026-07-22T00:00:00-03:00,3.56,10.77,5.258750347793911,-5.5112496522060885,7.209999999999999,1.698750347793911,within_train_range,6,6,0
test,12,reservoir_only,2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,13.518543402447627,-4.8514565975523745,11.420000000000002,6.568543402447626,above_train_max,6,6,0
test,12,reservoir_only,2026-07-28T08:00:00-03:00,2026-07-28T20:00:00-03:00,4.43,10.31,5.971576787890515,-4.338423212109485,5.880000000000001,1.5415767878905156,within_train_range,0,0,0
test,12,reservoir_only,2026-07-28T09:00:00-03:00,2026-07-28T21:00:00-03:00,4.54,10.86,6.528858601896624,-4.331141398103376,6.319999999999999,1.9888586018966237,within_train_range,0,0,0
test,12,reservoir_only,2026-07-21T11:00:00-03:00,2026-07-21T23:00:00-03:00,3.5,9.21,4.890750831317999,-4.319249168682002,5.710000000000001,1.390750831317999,within_train_range,6,6,0
test,12,reservoir_only,2026-07-28T07:00:00-03:00,2026-07-28T19:00:00-03:00,4.4,9.47,5.5364476750981355,-3.933552324901865,5.07,1.1364476750981352,within_train_range,0,0,0
test,12,reservoir_only,2026-07-28T10:00:00-03:00,2026-07-28T22:00:00-03:00,4.72,11.24,7.561781565594027,-3.6782184344059736,6.5200000000000005,2.841781565594027,within_train_range,0,0,0
test,12,reservoir_only,2026-07-28T11:00:00-03:00,2026-07-28T23:00:00-03:00,4.88,11.47,8.003951188617114,-3.466048811382887,6.590000000000001,3.123951188617114,within_train_range,0,0,0
test,12,reservoir_only,2026-07-29T09:00:00-03:00,2026-07-29T21:00:00-03:00,14.4,15.21,18.65805238672933,3.44805238672933,0.8100000000000005,4.2580523867293305,within_train_range,0,0,0
test,12,reservoir_only,2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,15.422680399409789,-3.3673196005902106,10.02,6.652680399409789,above_train_max,6,6,0
test,12,reservoir_only,2026-07-29T08:00:00-03:00,2026-07-29T20:00:00-03:00,14.27,15.26,18.577071114006916,3.3170711140069162,0.9900000000000002,4.3070711140069164,within_train_range,0,0,0
test,12,combined,2026-07-21T19:00:00-03:00,2026-07-22T07:00:00-03:00,3.42,16.5,8.813330388839352,-7.686669611160648,13.08,5.3933303888393525,above_train_max,6,6,0
test,12,combined,2026-07-21T20:00:00-03:00,2026-07-22T08:00:00-03:00,3.89,17.16,9.509499448707095,-7.650500551292906,13.27,5.619499448707094,above_train_max,6,6,0
test,12,combined,2026-07-21T17:00:00-03:00,2026-07-22T05:00:00-03:00,3.21,15.16,7.601196104581262,-7.558803895418738,11.95,4.391196104581262,above_train_max,6,6,0
test,12,combined,2026-07-21T18:00:00-03:00,2026-07-22T06:00:00-03:00,3.25,15.81,8.27755151907779,-7.532448480922211,12.56,5.0275515190777895,above_train_max,6,6,0
test,12,combined,2026-07-21T21:00:00-03:00,2026-07-22T09:00:00-03:00,5.02,17.78,10.576931806415246,-7.203068193584755,12.760000000000002,5.556931806415246,above_train_max,6,6,0
test,12,combined,2026-07-21T14:00:00-03:00,2026-07-22T02:00:00-03:00,3.54,12.97,5.992450886475353,-6.977549113524647,9.43,2.4524508864753534,above_train_max,6,6,0
test,12,combined,2026-07-21T13:00:00-03:00,2026-07-22T01:00:00-03:00,3.59,11.99,5.068163416480669,-6.921836583519331,8.4,1.478163416480669,above_train_max,6,6,0
test,12,combined,2026-07-21T16:00:00-03:00,2026-07-22T04:00:00-03:00,3.27,14.49,7.68505587923536,-6.80494412076464,11.22,4.415055879235361,above_train_max,6,6,0
test,12,combined,2026-07-21T22:00:00-03:00,2026-07-22T10:00:00-03:00,6.95,18.37,12.10965565678494,-6.260344343215062,11.420000000000002,5.159655656784939,above_train_max,6,6,0
test,12,combined,2026-07-21T15:00:00-03:00,2026-07-22T03:00:00-03:00,3.41,13.77,7.686621832584315,-6.083378167415685,10.36,4.276621832584315,above_train_max,6,6,0
test,12,combined,2026-07-21T12:00:00-03:00,2026-07-22T00:00:00-03:00,3.56,10.77,4.890961871057863,-5.8790381289421365,7.209999999999999,1.330961871057863,within_train_range,6,6,0
test,12,combined,2026-07-21T23:00:00-03:00,2026-07-22T11:00:00-03:00,8.77,18.79,13.47635402698858,-5.313645973011418,10.02,4.706354026988581,above_train_max,6,6,0
test,12,combined,2026-07-21T11:00:00-03:00,2026-07-21T23:00:00-03:00,3.5,9.21,4.554157259794703,-4.655842740205298,5.710000000000001,1.054157259794703,within_train_range,6,6,0
test,12,combined,2026-07-22T00:00:00-03:00,2026-07-22T12:00:00-03:00,10.42,19.02,14.779156456403152,-4.2408435435968475,8.6,4.359156456403152,above_train_max,6,6,0
test,12,combined,2026-07-28T09:00:00-03:00,2026-07-28T21:00:00-03:00,4.54,10.86,7.052136457928092,-3.8078635420719076,6.319999999999999,2.512136457928092,within_train_range,0,0,0
test,12,combined,2026-07-28T10:00:00-03:00,2026-07-28T22:00:00-03:00,4.72,11.24,7.699539339213558,-3.540460660786442,6.5200000000000005,2.9795393392135585,within_train_range,0,0,0
test,12,combined,2026-07-28T08:00:00-03:00,2026-07-28T20:00:00-03:00,4.43,10.31,6.787305831959667,-3.522694168040333,5.880000000000001,2.3573058319596676,within_train_range,0,0,0
test,12,combined,2026-07-28T07:00:00-03:00,2026-07-28T19:00:00-03:00,4.4,9.47,6.045824229974382,-3.4241757700256183,5.07,1.645824229974382,within_train_range,0,0,0
test,12,combined,2026-07-21T10:00:00-03:00,2026-07-21T22:00:00-03:00,3.46,7.38,4.36068206010579,-3.0193179398942096,3.92,0.9006820601057903,within_train_range,6,6,0
test,12,combined,2026-07-28T06:00:00-03:00,2026-07-28T18:00:00-03:00,4.42,8.47,5.617217827947843,-2.852782172052158,4.050000000000001,1.197217827947843,within_train_range,0,0,0
