phase,horizon_h,family,subset,regime,n,hits,mae_m,bias_m,max_error_m
test,6,baseline,level_ge_7m,below_train_min,30,10,0.7856007752296782,0.7856007752296782,1.6231140856625377
test,6,baseline,level_ge_7m,within_train_range,199,144,0.4467298762304292,-0.10864306547803483,3.026035530566177
test,6,native_only,all,above_train_max,7,0,4.726222488942734,-4.726222488942734,5.643662248615202
test,6,native_only,all,below_train_min,30,11,0.7563358558248178,0.7563358558248178,1.5662494962385
test,6,native_only,all,within_train_range,1890,1734,0.18286399239365408,-0.0013886314975419592,2.7112641195240172
test,6,native_only,level_ge_7m,above_train_max,7,0,4.726222488942734,-4.726222488942734,5.643662248615202
test,6,native_only,level_ge_7m,below_train_min,30,11,0.7563358558248178,0.7563358558248178,1.5662494962385
test,6,native_only,level_ge_7m,within_train_range,199,136,0.43244584671150055,-0.06043371832005942,2.7112641195240172
test,6,reservoir_only,all,above_train_max,7,0,4.973265858527569,-4.973265858527569,6.115031612876738
test,6,reservoir_only,all,below_train_min,30,11,0.7068525580331039,0.7068525580331039,1.4597783833519848
test,6,reservoir_only,all,within_train_range,1890,1754,0.1788542833547616,-0.022196557968695248,3.0451891024133495
test,6,reservoir_only,level_ge_7m,above_train_max,7,0,4.973265858527569,-4.973265858527569,6.115031612876738
test,6,reservoir_only,level_ge_7m,below_train_min,30,11,0.7068525580331039,0.7068525580331039,1.4597783833519848
test,6,reservoir_only,level_ge_7m,within_train_range,199,147,0.43912239021703686,-0.16366466971843213,3.0451891024133495
test,6,combined,all,above_train_max,7,0,4.455062472465835,-4.455062472465835,5.45592720660489
test,6,combined,all,below_train_min,30,11,0.7478254425113657,0.7478254425113657,1.5675461388419212
test,6,combined,all,within_train_range,1890,1753,0.1753161028278337,-0.0051958714973185565,2.733564889114569
test,6,combined,level_ge_7m,above_train_max,7,0,4.455062472465835,-4.455062472465835,5.45592720660489
test,6,combined,level_ge_7m,below_train_min,30,11,0.7478254425113657,0.7478254425113657,1.5675461388419212
test,6,combined,level_ge_7m,within_train_range,199,145,0.41367454116729274,-0.08480201305461739,2.733564889114569
validation,7,baseline,all,above_train_max,0,0,,,
validation,7,baseline,all,below_train_min,0,0,,,
validation,7,baseline,all,within_train_range,6471,6254,0.12731639102805709,0.03252796522560319,1.6960711631279022
validation,7,baseline,level_ge_7m,above_train_max,0,0,,,
validation,7,baseline,level_ge_7m,below_train_min,0,0,,,
validation,7,baseline,level_ge_7m,within_train_range,28,20,0.3953972559100615,0.09983945604270354,1.6960711631279022
validation,7,native_only,all,above_train_max,0,0,,,
validation,7,native_only,all,below_train_min,0,0,,,
validation,7,native_only,all,within_train_range,6471,6167,0.13503032995394673,0.05387654421191015,2.579632288174089
