source,lead_h,phase,family,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,0,validation,level_and_slopes,all,6552,21.96865262467586,-0.559715759889097,48.00476909521051
julho,0,validation,level_and_slopes,high_flow,28,94.72511224305582,-21.183298635212022,261.75225234714344
julho,0,validation,levels_forecast_rain,all,6552,22.426677950421155,-0.5370108086612045,49.605248018621936
julho,0,validation,levels_forecast_rain,high_flow,28,94.67000850997088,-20.140605320937293,260.4136304898261
julho,0,test,level_and_slopes,all,1968,42.48410282685358,4.545303795894158,114.85965650149649
julho,0,test,level_and_slopes,high_flow,271,99.45793414733377,-6.433697830706197,235.63829435462935
julho,0,test,levels_forecast_rain,all,1968,42.55038527832643,4.241360744784349,115.46228340841866
julho,0,test,levels_forecast_rain,high_flow,271,99.71262942495703,-7.23155122539806,242.74328676770241
julho,1,validation,level_and_slopes,all,6551,37.621783547520465,-2.596688109625243,82.52949649422081
julho,1,validation,level_and_slopes,high_flow,28,131.0673320435591,-28.24309035958583,312.34888301099176
julho,1,validation,levels_forecast_rain,all,6551,38.31123160224923,-2.0929577401476887,84.74354093862526
julho,1,validation,levels_forecast_rain,high_flow,28,131.78610784831807,-26.439916793199092,312.18817962983263
julho,1,test,level_and_slopes,all,1967,75.06234472550031,11.210253130535046,204.87646323138355
julho,1,test,level_and_slopes,high_flow,271,174.22739451345294,-12.398501091501481,301.93209469611924
julho,1,test,levels_forecast_rain,all,1967,74.94914441490167,10.621460530208559,204.89048231124806
julho,1,test,levels_forecast_rain,high_flow,271,174.10275585308275,-13.947649379604258,304.8875036389782
julho,2,validation,level_and_slopes,all,6550,48.20926978366676,-5.897977869533323,105.67082099166964
julho,2,validation,level_and_slopes,high_flow,28,153.23521420507333,-38.728089808652975,278.43836302917254
julho,2,validation,levels_forecast_rain,all,6550,48.78576987343844,-4.710129736206445,106.57668132850212
julho,2,validation,levels_forecast_rain,high_flow,28,154.12416813670964,-36.54019708720664,284.33016696948124
julho,2,test,level_and_slopes,all,1966,100.11850664597756,18.21710000025791,238.34541649577608
julho,2,test,level_and_slopes,high_flow,271,232.45900834111026,-18.032878138352547,385.4825063655487
julho,2,test,levels_forecast_rain,all,1966,99.71588336174109,17.162210498595325,237.50341027216047
julho,2,test,levels_forecast_rain,high_flow,271,231.25634871996746,-20.78523462127116,397.9706007418917
julho,3,validation,level_and_slopes,all,6549,56.500391197667646,-9.501238052369041,126.06372991153214
julho,3,validation,level_and_slopes,high_flow,28,141.4675194411431,-43.57380762952853,305.1300332218847
julho,3,validation,levels_forecast_rain,all,6549,56.36321632355251,-7.955704173127072,126.06164765088535
julho,3,validation,levels_forecast_rain,high_flow,28,143.9958857226374,-41.5039301332546,305.8082259572998
julho,3,test,level_and_slopes,all,1965,119.3923207153918,23.678363810179075,253.7025967782966
julho,3,test,level_and_slopes,high_flow,271,285.12194358787775,-30.229169229626915,461.46469742480446
julho,3,test,levels_forecast_rain,all,1965,118.82854634164289,22.358237359706727,252.69597496363923
julho,3,test,levels_forecast_rain,high_flow,271,283.4215390473842,-33.617879804499196,460.3681714568375
julho,4,validation,level_and_slopes,all,6548,63.74359018911595,-12.87224408772146,140.49443102592534
julho,4,validation,level_and_slopes,high_flow,28,142.4185306166479,-34.66569563835795,342.89005787254047
julho,4,validation,levels_forecast_rain,all,6548,63.05482134923983,-10.774205280543306,140.8345991640777
julho,4,validation,levels_forecast_rain,high_flow,28,144.4287145547763,-32.52065971690364,347.31670926936704
julho,4,test,level_and_slopes,all,1964,132.21360630967308,28.230788760361357,259.8140645961525
julho,4,test,level_and_slopes,high_flow,271,325.3143780783397,-48.17553029232838,548.0700512329246
julho,4,test,levels_forecast_rain,all,1964,131.41678952761032,26.523013964311502,259.49025194444107
julho,4,test,levels_forecast_rain,high_flow,271,322.6965141647432,-52.2101414081133,537.3905217698893
julho,5,validation,level_and_slopes,all,6547,70.35785882716183,-15.295881094428033,151.80923846670873
julho,5,validation,level_and_slopes,high_flow,28,176.75614951789285,-17.15996068043115,300.7125937602195
julho,5,validation,levels_forecast_rain,all,6547,69.11925398351056,-12.64480215392354,151.98365122621794
julho,5,validation,levels_forecast_rain,high_flow,28,173.50974932678278,-15.563740093582735,324.5562480931203
julho,5,test,level_and_slopes,all,1963,142.95815257997202,31.531742301858266,267.7565216809251
julho,5,test,level_and_slopes,high_flow,271,365.4908734155909,-69.56382146335488,659.9313127081459
julho,5,test,levels_forecast_rain,all,1963,141.91205501122218,29.395524693595927,266.51996790280424
julho,5,test,levels_forecast_rain,high_flow,271,361.7583018926087,-74.12952764709362,635.0368308559715
julho,6,validation,level_and_slopes,all,6546,76.64271768026224,-16.79367323373782,165.47735506245334
julho,6,validation,level_and_slopes,high_flow,28,243.20899970874362,-9.950033304002128,477.97721084373944
julho,6,validation,levels_forecast_rain,all,6546,74.80534712167643,-13.373633474764908,163.4825171672553
julho,6,validation,levels_forecast_rain,high_flow,28,238.487807040322,-10.121916810549944,462.1078009452567
julho,6,test,level_and_slopes,all,1962,152.18779693354395,33.641187682604354,270.99286244014115
julho,6,test,level_and_slopes,high_flow,271,402.8494100063365,-92.62333292657841,872.262180666774
julho,6,test,levels_forecast_rain,all,1962,150.9944999150853,31.19454495191703,271.2970066779581
julho,6,test,levels_forecast_rain,high_flow,271,398.1976569950496,-97.25579937268436,742.25727927168
julho,7,validation,level_and_slopes,all,6545,82.61654924679529,-16.95930046457202,176.07431911643363
julho,7,validation,level_and_slopes,high_flow,28,286.28266700247883,22.05393589993313,494.36933069329
