origin,plant,variable,back_hours,query_naive,source_time_naive,age_seconds,value_m3s,usable,zero,Q_zero_positive_components,balance_residual_gt1,source_file,source_record_index
2020-07-01T01:00:00-03:00,JIUHMC,Q,0,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1874.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43907
2020-07-01T01:00:00-03:00,JIUHMC,Q,1,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,2407.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43906
2020-07-01T01:00:00-03:00,JIUHMC,Q,2,2020-06-30T22:00:00,2020-06-30 22:00:00,0.0,2217.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43905
2020-07-01T01:00:00-03:00,JIUHMC,Q,4,2020-06-30T20:00:00,2020-06-30 20:00:00,0.0,2163.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43903
2020-07-01T01:00:00-03:00,JIUHMC,Q,8,2020-06-30T16:00:00,2020-06-30 16:00:00,0.0,1375.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43899
2020-07-01T01:00:00-03:00,JIUHMC,I,0,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1749.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,43907
2020-07-01T01:00:00-03:00,JIUHCA,Q,0,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1160.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40307
2020-07-01T01:00:00-03:00,JIUHCA,Q,1,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,1218.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40306
2020-07-01T01:00:00-03:00,JIUHCA,Q,2,2020-06-30T22:00:00,2020-06-30 22:00:00,0.0,1247.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40305
2020-07-01T01:00:00-03:00,JIUHCA,Q,4,2020-06-30T20:00:00,2020-06-30 20:00:00,0.0,1247.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40303
2020-07-01T01:00:00-03:00,JIUHCA,Q,8,2020-06-30T16:00:00,2020-06-30 16:00:00,0.0,837.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40299
2020-07-01T01:00:00-03:00,JIUHCA,I,0,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,1072.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,40307
2020-07-01T02:00:00-03:00,JIUHQJ,Q,0,2020-07-01T01:00:00,2020-07-01 01:00:00,0.0,2362.0,True,False,False,False,outputs/historico-vazoes-ceran/ceran-2020-07-source-values.csv,1488
2020-07-01T02:00:00-03:00,JIUHQJ,Q,1,2020-07-01T00:00:00,2020-06-30 23:59:00,60.0,2275.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39587
2020-07-01T02:00:00-03:00,JIUHQJ,Q,2,2020-06-30T23:00:00,2020-06-30 23:00:00,0.0,2376.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39586
2020-07-01T02:00:00-03:00,JIUHQJ,Q,4,2020-06-30T21:00:00,2020-06-30 21:00:00,0.0,2666.0,True,False,False,False,outputs/auditoria-qi-radar-2020-20260921/raw/ons-2020-06.csv,39584
