nominal_lead_h,actual_lead_h,training_rows,cutoff_utc,cutoff_exclusive,actual_last_training_target,anchor_m,anchor_training_min,anchor_training_max,target_training_min,target_training_max,delta_training_min,delta_training_max,predicted_delta_m,forecast_m,inputs_below_training_min,inputs_above_training_max,missing_inputs_seen_in_training,missing_inputs_unseen_in_training,finite_inputs_without_training_support
1,0.9615216005555556,10899,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-0.5800000000000001,1.5500000000000007,0.8498772172150417,18.70987721721504,2,22,0,0,0
2,1.9615216005555556,10894,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-0.9200000000000008,2.4300000000000006,1.261274907489593,19.121274907489592,2,22,0,0,0
3,2.961521600555556,10888,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-1.1700000000000008,3.2700000000000005,1.4150014882867197,19.27500148828672,2,22,0,0,0
4,3.961521600555556,10884,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-1.4299999999999997,4.09,1.2060508433026023,19.0660508433026,2,22,0,0,0
5,4.961521600555555,10882,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-1.709999999999999,4.86,1.05473415771554,18.91473415771554,2,22,0,0,0
6,5.961521600555555,10883,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-2.0,5.56,0.7057436028051676,18.565743602805167,2,22,0,0,0
7,6.961521600555555,10881,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-2.2799999999999994,6.22,0.7156986118394393,18.57569861183944,2,22,0,0,0
8,7.961521600555555,10880,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-2.59,6.86,0.4413168515788506,18.30131685157885,2,22,0,0,0
9,8.961521600555555,10878,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-2.8900000000000006,7.249999999999999,1.040980659149433,18.900980659149432,2,22,0,0,0
10,9.961521600555557,10877,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-3.1899999999999995,7.569999999999999,0.5648368213971651,18.424836821397164,2,22,0,0,0
11,10.961521600555557,10874,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-3.5,7.87,0.43487956139930617,18.294879561399306,2,22,0,0,0
12,11.961521600555557,10872,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-3.7699999999999996,8.18,0.015041777056211458,17.87504177705621,2,22,0,0,0
13,12.961521600555557,10872,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-4.02,8.48,-0.2896237923521525,17.570376207647847,2,22,0,0,0
14,13.961521600555557,10872,2026-09-21T03:00:00+00:00,2026-09-21T00:00:00-03:00,2026-09-20T23:00:00-03:00,17.86,0.81,15.31,0.81,15.31,-4.27,8.77,-0.5289379799220875,17.331062020077912,2,22,0,0,0
