subset,family,diagnostic_group,n,mae_m3_s,bias_m3_s,rmse_m3_s,p90_absolute_m3_s,p98_absolute_m3_s,max_absolute_m3_s
all,level_and_slopes,july22_origins,288,1849.5993908876178,129.8018783892306,2818.7027567592677,5760.657178797341,7291.800029134681,8160.6119795777795
all,level_and_slopes,other_origins,23262,121.21943784534612,24.915433069225024,231.08430744093087,266.5098868989707,462.2588365620377,4286.18407611883
all,without_monte,july22_origins,288,484.62999305002063,-84.51651299132179,753.4260646808664,1228.9008515954113,2284.577031628348,2921.8238914228486
all,without_monte,other_origins,23262,126.51076592776847,18.355214425728832,245.99723070632461,267.383482468409,488.7915932674563,4720.895615164081
high_flow,level_and_slopes,july22_origins,288,1849.5993908876178,129.8018783892306,2818.7027567592677,5760.657178797341,7291.800029134681,8160.6119795777795
high_flow,level_and_slopes,other_origins,2964,254.7955944847293,-118.39089331078449,528.0534179778793,526.5970049888551,1867.358380089051,4286.18407611883
high_flow,without_monte,july22_origins,288,484.62999305002063,-84.51651299132179,753.4260646808664,1228.9008515954113,2284.577031628348,2921.8238914228486
high_flow,without_monte,other_origins,2964,284.2088999746996,-109.20131007057341,575.7679844401894,558.5205959593719,1971.4075512547486,4720.895615164081
