source,lead_h,phase,family,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,7,test,level_and_slopes,high_flow,271,459.8985836314835,-115.9571412361573,1032.2415811900046
julho,7,test,without_monte,all,1961,149.83711119739672,22.3396790920147,286.1089491878097
julho,7,test,without_monte,high_flow,271,343.10632636174904,-128.17519108701694,665.33515041552
julho,8,validation,level_and_slopes,all,6544,88.55202713787146,-16.334326811891774,186.78120541753938
julho,8,validation,level_and_slopes,high_flow,28,335.8683333328503,44.809549145371875,565.0503062082297
julho,8,validation,without_monte,all,6544,94.29889444258082,-21.400350709787734,194.2114309722849
julho,8,validation,without_monte,high_flow,28,326.7624787066413,29.055847922637643,567.1146761181578
julho,8,test,level_and_slopes,all,1960,176.66396616251453,34.50914096385976,293.8210771519533
julho,8,test,level_and_slopes,high_flow,271,520.432462475439,-142.1650421958084,1395.53992835953
julho,8,test,without_monte,all,1960,160.40478447820473,21.61836640130013,302.3156601450681
julho,8,test,without_monte,high_flow,271,392.90797466347306,-153.0374849003297,809.6529592846053
julho,9,validation,level_and_slopes,all,6543,94.53446463701265,-17.081590589142223,193.98185563853636
julho,9,validation,level_and_slopes,high_flow,28,399.69403465811143,105.45039687545918,735.4086261506632
julho,9,validation,without_monte,all,6543,99.30514146035944,-21.010004091256086,201.6069335631213
julho,9,validation,without_monte,high_flow,28,393.60990847893123,95.80754310609267,727.4249705939021
julho,9,test,level_and_slopes,all,1959,188.51439374762003,33.532865757888445,307.47095708375576
julho,9,test,level_and_slopes,high_flow,271,573.5254903966777,-172.282422718387,1376.9938949869615
julho,9,test,without_monte,all,1959,171.46766510586426,20.619423180139194,316.4737570953885
julho,9,test,without_monte,high_flow,271,445.83590173812763,-180.93236002077288,971.3870775727949
julho,10,validation,level_and_slopes,all,6542,100.3829122965039,-16.773148396376374,197.19155316103047
julho,10,validation,level_and_slopes,high_flow,28,492.462698136707,161.9421010993392,838.9417808682326
julho,10,validation,without_monte,all,6542,104.11398548370944,-19.94738571133914,208.17705591346015
julho,10,validation,without_monte,high_flow,28,478.9376412807428,157.2833104483762,933.9523200123518
julho,10,test,level_and_slopes,all,1958,200.63648319571848,31.502920217939167,323.66086071054707
julho,10,test,level_and_slopes,high_flow,271,625.6645976040561,-206.74172017135015,1560.6618978439683
julho,10,test,without_monte,all,1958,183.60629798941602,19.103198249100778,338.126781062847
julho,10,test,without_monte,high_flow,271,503.0226825273222,-213.69378957251155,1189.6686656649395
julho,11,validation,level_and_slopes,all,6541,105.02701617859972,-15.182362775488414,207.50023769838273
julho,11,validation,level_and_slopes,high_flow,28,601.7718723271954,228.28355614517986,1057.8548346283965
julho,11,validation,without_monte,all,6541,108.16880966268221,-17.740017931807543,215.90724612763458
julho,11,validation,without_monte,high_flow,28,577.8880234729525,233.16803089312342,1090.8948893382956
julho,11,test,level_and_slopes,all,1957,215.04343731293793,29.19047832591828,344.2693626676173
julho,11,test,level_and_slopes,high_flow,271,687.9518966007204,-242.3254024736225,1913.8046653713498
julho,11,test,without_monte,all,1957,196.85741948664847,17.52611178729456,349.7166713356234
julho,11,test,without_monte,high_flow,271,562.8914228295565,-250.31249639531814,1331.7042106226822
