phase,subset,family,n,mae_m3_s,bias_m3_s,rmse_m3_s,p90_absolute_m3_s,p98_absolute_m3_s,max_absolute_m3_s
validation,all,level_and_slopes,78558,70.5002082905167,-12.151373156915781,114.0729972318786,159.05237067789648,307.2797428679174,2098.404385763727
validation,all,without_monte,78558,75.37711942470263,-16.883516771966875,119.87493979779732,170.94771612544534,320.22467310253603,2080.0617008602085
validation,high_flow,level_and_slopes,336,266.5798719361216,30.75296359245937,361.09313705245717,619.4000640392683,924.1755043358241,1100.0738539926647
validation,high_flow,without_monte,336,277.15090309301775,24.34732463861633,368.88000110543703,596.3601087590963,1018.6385834190378,1234.8860965583563
test,all,level_and_slopes,23550,142.356313704207,26.198120808170312,387.1817904266572,271.83997436844925,570.412422899485,8160.6119795777795
test,all,without_monte,23550,130.89031316391322,17.09716527515089,258.2954856193531,271.80612527803964,531.1542559775639,4720.895615164081
test,high_flow,level_and_slopes,3252,396.0328310665349,-96.41072164731453,978.6571629935778,783.6299205567577,3437.497294813419,8160.6119795777795
test,high_flow,without_monte,3252,301.95836947214497,-107.01520258016002,593.6511788400048,630.5023883245901,2121.702001067001,4720.895615164081
