id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,hour_end_local_interpreted,hour_start_local_interpreted,timestamp_interpretation,hour_end_utc_assuming_brasilia,timezone_status,quality_status,source_month,balance_residual_m3s
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 11:00:00,96.93,78.17,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 11:00:00,2024-05-14 10:00:00,SOURCE_WHOLE_HOUR,2024-05-14 14:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 12:00:00,242.51,151.26,,1937.0,1997.0,159.0,1838.0,19.0,0.0,1.0,2024-05-14 12:00:00,2024-05-14 11:00:00,SOURCE_WHOLE_HOUR,2024-05-14 15:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 13:00:00,242.43,151.12,,1783.0,1902.0,159.0,1743.0,19.0,0.0,1.0,2024-05-14 13:00:00,2024-05-14 12:00:00,SOURCE_WHOLE_HOUR,2024-05-14 16:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 14:00:00,242.38,151.04,,1769.0,1843.0,159.0,1684.0,19.0,0.0,1.0,2024-05-14 14:00:00,2024-05-14 13:00:00,SOURCE_WHOLE_HOUR,2024-05-14 17:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 15:00:00,242.34,150.88,,1737.0,1797.0,159.0,1638.0,19.0,0.0,1.0,2024-05-14 15:00:00,2024-05-14 14:00:00,SOURCE_WHOLE_HOUR,2024-05-14 18:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-19.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 16:00:00,96.3,77.42,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 16:00:00,2024-05-14 15:00:00,SOURCE_WHOLE_HOUR,2024-05-14 19:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 17:00:00,96.2,77.29,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 17:00:00,2024-05-14 16:00:00,SOURCE_WHOLE_HOUR,2024-05-14 20:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 18:00:00,96.0,77.42,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 18:00:00,2024-05-14 17:00:00,SOURCE_WHOLE_HOUR,2024-05-14 21:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 19:00:00,95.9,77.8,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 19:00:00,2024-05-14 18:00:00,SOURCE_WHOLE_HOUR,2024-05-14 22:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 20:00:00,95.76,77.74,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 20:00:00,2024-05-14 19:00:00,SOURCE_WHOLE_HOUR,2024-05-14 23:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 21:00:00,95.53,77.64,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 21:00:00,2024-05-14 20:00:00,SOURCE_WHOLE_HOUR,2024-05-15 00:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 22:00:00,95.36,77.69,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 22:00:00,2024-05-14 21:00:00,SOURCE_WHOLE_HOUR,2024-05-15 01:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 23:00:00,95.23,77.83,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-14 23:00:00,2024-05-14 22:00:00,SOURCE_WHOLE_HOUR,2024-05-15 02:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-14 23:59:00,95.06,77.24,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 00:00:00,2024-05-14 23:00:00,23:59_AS_24:00_UNVERIFIED,2024-05-15 03:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 01:00:00,94.93,77.24,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 01:00:00,2024-05-15 00:00:00,SOURCE_WHOLE_HOUR,2024-05-15 04:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 02:00:00,94.83,77.35,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 02:00:00,2024-05-15 01:00:00,SOURCE_WHOLE_HOUR,2024-05-15 05:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 03:00:00,94.66,77.24,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 03:00:00,2024-05-15 02:00:00,SOURCE_WHOLE_HOUR,2024-05-15 06:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 04:00:00,94.5,76.98,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 04:00:00,2024-05-15 03:00:00,SOURCE_WHOLE_HOUR,2024-05-15 07:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 05:00:00,94.36,77.19,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 05:00:00,2024-05-15 04:00:00,SOURCE_WHOLE_HOUR,2024-05-15 08:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 06:00:00,94.23,77.19,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 06:00:00,2024-05-15 05:00:00,SOURCE_WHOLE_HOUR,2024-05-15 09:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 07:00:00,94.06,76.96,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 07:00:00,2024-05-15 06:00:00,SOURCE_WHOLE_HOUR,2024-05-15 10:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 08:00:00,93.8,76.92,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 08:00:00,2024-05-15 07:00:00,SOURCE_WHOLE_HOUR,2024-05-15 11:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 09:00:00,93.7,76.58,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 09:00:00,2024-05-15 08:00:00,SOURCE_WHOLE_HOUR,2024-05-15 12:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHQJ,14 DE JULHO,99.0,2024-05-15 10:00:00,93.83,76.67,,0.0,33.0,0.0,33.0,18.0,0.0,1.0,2024-05-15 10:00:00,2024-05-15 09:00:00,SOURCE_WHOLE_HOUR,2024-05-15 13:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
