id_subsistema,nom_subsistema,tip_reservatorio,nom_bacia,id_reservatorio,nom_reservatorio,cod_usina,din_instante,val_nivelmontante,val_niveljusante,val_volumeutil,val_vazaoafluente,val_vazaodefluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaotransferida,val_vazaovertidanaoturbinavel,hour_end_local_interpreted,hour_start_local_interpreted,timestamp_interpretation,hour_end_utc_assuming_brasilia,timezone_status,quality_status,source_month,balance_residual_m3s
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 16:00:00,147.6,105.0,58.61,1250.0,1077.0,0.0,1077.0,18.0,0.0,1.0,2024-05-10 16:00:00,2024-05-10 15:00:00,SOURCE_WHOLE_HOUR,2024-05-10 19:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 17:00:00,148.4,105.0,143.15,2080.0,1603.0,0.0,1603.0,18.0,0.0,1.0,2024-05-10 17:00:00,2024-05-10 16:00:00,SOURCE_WHOLE_HOUR,2024-05-10 20:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 18:00:00,149.17,105.0,230.59,2205.0,1851.0,0.0,1851.0,18.0,0.0,1.0,2024-05-10 18:00:00,2024-05-10 17:00:00,SOURCE_WHOLE_HOUR,2024-05-10 21:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 19:00:00,149.2,105.0,234.09,2579.0,2565.0,0.0,2565.0,18.0,0.0,1.0,2024-05-10 19:00:00,2024-05-10 18:00:00,SOURCE_WHOLE_HOUR,2024-05-10 22:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 20:00:00,149.85,105.0,311.42,3379.0,3066.0,0.0,3066.0,18.0,0.0,1.0,2024-05-10 20:00:00,2024-05-10 19:00:00,SOURCE_WHOLE_HOUR,2024-05-10 23:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 21:00:00,150.16,105.0,348.95,3497.0,3345.0,0.0,3345.0,18.0,0.0,1.0,2024-05-10 21:00:00,2024-05-10 20:00:00,SOURCE_WHOLE_HOUR,2024-05-11 00:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 22:00:00,151.45,105.0,505.8,5391.0,4758.0,0.0,4758.0,18.0,0.0,1.0,2024-05-10 22:00:00,2024-05-10 21:00:00,SOURCE_WHOLE_HOUR,2024-05-11 01:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 23:00:00,150.68,105.0,412.3,3980.0,3867.0,0.0,3867.0,18.0,0.0,1.0,2024-05-10 23:00:00,2024-05-10 22:00:00,SOURCE_WHOLE_HOUR,2024-05-11 02:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-10 23:59:00,150.84,105.0,431.81,4118.0,4039.0,0.0,4039.0,18.0,0.0,1.0,2024-05-11 00:00:00,2024-05-10 23:00:00,23:59_AS_24:00_UNVERIFIED,2024-05-11 03:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 01:00:00,150.87,105.0,435.47,4087.0,4072.0,0.0,4072.0,18.0,0.0,1.0,2024-05-11 01:00:00,2024-05-11 00:00:00,SOURCE_WHOLE_HOUR,2024-05-11 04:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 02:00:00,150.82,105.0,429.37,3993.0,4018.0,0.0,4018.0,18.0,0.0,1.0,2024-05-11 02:00:00,2024-05-11 01:00:00,SOURCE_WHOLE_HOUR,2024-05-11 05:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 03:00:00,150.82,105.0,429.37,4018.0,4018.0,0.0,4018.0,18.0,0.0,1.0,2024-05-11 03:00:00,2024-05-11 02:00:00,SOURCE_WHOLE_HOUR,2024-05-11 06:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 04:00:00,150.82,105.0,429.37,4018.0,4018.0,0.0,4018.0,18.0,0.0,1.0,2024-05-11 04:00:00,2024-05-11 03:00:00,SOURCE_WHOLE_HOUR,2024-05-11 07:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 05:00:00,150.8,105.0,426.94,3986.0,3996.0,0.0,3996.0,18.0,0.0,1.0,2024-05-11 05:00:00,2024-05-11 04:00:00,SOURCE_WHOLE_HOUR,2024-05-11 08:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 06:00:00,150.72,105.0,417.18,3870.0,3910.0,0.0,3910.0,18.0,0.0,1.0,2024-05-11 06:00:00,2024-05-11 05:00:00,SOURCE_WHOLE_HOUR,2024-05-11 09:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 07:00:00,150.72,105.0,417.18,3910.0,3910.0,0.0,3910.0,18.0,0.0,1.0,2024-05-11 07:00:00,2024-05-11 06:00:00,SOURCE_WHOLE_HOUR,2024-05-11 10:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 08:00:00,150.7,105.0,414.74,3878.0,3888.0,0.0,3888.0,18.0,0.0,1.0,2024-05-11 08:00:00,2024-05-11 07:00:00,SOURCE_WHOLE_HOUR,2024-05-11 11:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
S,Sul,Fio dagua,JACUI,JIUHMC,MONTE CLARO,98.0,2024-05-11 09:00:00,151.0,105.0,451.29,4365.0,4217.0,0.0,4217.0,18.0,0.0,1.0,2024-05-11 09:00:00,2024-05-11 08:00:00,SOURCE_WHOLE_HOUR,2024-05-11 12:00:00+00:00,ONS_NORM_BRASILIA_EXPORT_AND_PERIOD_LINK_UNVERIFIED,AGENT_REPORTED_NOT_VALIDATED_BY_ONS,2024-05,-18.0
