nominal_lead_h,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
1,reference,all,1944,1938,6,0.9969135802469136,1894,0.977296181630547,0.13563607242386097,0.002022768275247138,0.32957400340923204,0.510808242371736,1.3540766916208895
1,julho_levels,all,1944,1938,6,0.9969135802469136,1891,0.9757481940144479,0.13826727113885037,0.00480677764018576,0.33808667884870325,0.5194563237253604,1.3363363795546643
1,reference,level_ge_7m,237,235,2,0.9915611814345991,218,0.9276595744680851,0.20982922298370318,0.08880005221857769,0.47020070550497794,0.7799168588592001,1.3540766916208895
1,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,216,0.9191489361702128,0.20939758909623613,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
2,reference,all,1943,1935,8,0.9958826556870818,1739,0.8987080103359173,0.20571189408648383,0.0011452302137218641,0.5048253078435446,0.8082694383609288,2.1591250166535616
2,julho_levels,all,1943,1935,8,0.9958826556870818,1720,0.8888888888888888,0.2116940232787009,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,reference,level_ge_7m,237,235,2,0.9915611814345991,177,0.7531914893617021,0.34528151450281547,0.14168695048914437,0.815975732730028,1.0588579412598857,2.1591250166535616
2,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,174,0.7404255319148936,0.3389290233565138,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
3,reference,all,1942,1932,10,0.9948506694129763,1649,0.8535196687370601,0.25284834160911157,-0.0015993326400558473,0.5930738736616346,1.0101685911026854,2.8988829116145745
3,julho_levels,all,1942,1932,10,0.9948506694129763,1636,0.8467908902691511,0.26250735407284537,0.014924771631008655,0.6129691346880035,1.026676685192298,2.769956886268055
3,reference,level_ge_7m,237,235,2,0.9915611814345991,151,0.6425531914893617,0.4688174627247561,0.18284855507167594,1.0628624023806914,1.6724162733344299,2.8988829116145745
3,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,155,0.6595744680851063,0.4569948122650997,0.19674164872568917,1.0668734186132909,1.2921763492409757,2.769956886268055
4,reference,all,1941,1930,11,0.994332818134982,1609,0.833678756476684,0.2853203518752747,-0.006060377114599486,0.6465195033388381,1.2417054571385628,3.329018638853949
4,julho_levels,all,1941,1930,11,0.994332818134982,1569,0.8129533678756476,0.2995723727564162,0.019625429642427333,0.6660606934286432,1.2339447653547935,3.146640556692857
4,reference,level_ge_7m,237,235,2,0.9915611814345991,134,0.5702127659574469,0.5799805335533165,0.21239769641752104,1.318664578584491,2.3065520961483585,3.329018638853949
4,julho_levels,level_ge_7m,237,235,2,0.9915611814345991,138,0.5872340425531914,0.5635638456977866,0.2319226763354485,1.3094060724539573,1.8804521784626678,3.146640556692857
5,reference,all,1940,1928,12,0.9938144329896907,1583,0.821058091286307,0.31512053419675123,-0.012628917343673444,0.6759765256848952,1.4164009885108875,4.023604409822896
