lead_h,phase,iterations,optimality,kkt_relative,success,minimum_numeric_coefficient
0,validation,4,1.6484084686900354e-11,2.9350649640332095e-15,True,0.0
0,test,6,7.047916373058061e-12,1.0186743419212706e-15,True,0.0
0,current,5,2.0509816067715292e-11,1.2972384552923373e-15,True,0.0
1,validation,4,2.9909842240611923e-12,1.0337633599768046e-15,True,0.0
1,test,5,9.133638290137469e-12,1.3703475373592985e-15,True,0.0
1,current,4,1.3500311979441904e-12,3.72612855846145e-16,True,0.0
2,validation,4,1.0441854906905455e-11,1.7764969485128664e-15,True,0.0
2,test,7,1.6075613062938032e-11,1.3732088383171858e-15,True,0.0
2,current,7,1.1128431509632719e-11,1.1263225370629477e-15,True,-2.710505431213761e-20
3,validation,4,3.866787326346659e-12,7.439660333702246e-16,True,0.0
3,test,4,1.585966080686063e-11,1.7251835499760617e-15,True,0.0
3,current,6,3.560633378476241e-11,1.7062133309867774e-15,True,0.0
4,validation,4,3.257033531767206e-12,7.485013165170887e-16,True,0.0
4,test,5,2.8673244334420644e-12,3.480707404728141e-16,True,0.0
4,current,6,2.087552353202682e-12,3.7969877470770555e-16,True,0.0
5,validation,4,4.6466996916905146e-12,6.016834817071041e-16,True,0.0
5,test,4,6.87519485786936e-12,1.053817033565677e-15,True,0.0
5,current,7,3.1306512937590014e-11,1.9076510652044037e-15,True,0.0
6,validation,4,8.834647105141043e-12,1.3647007016332966e-15,True,0.0
6,test,5,1.2922524161851356e-11,1.06158498583527e-15,True,0.0
6,current,5,1.617728173641808e-11,8.565795361058042e-16,True,-5.421010862427522e-20
7,validation,4,6.717904010855591e-12,9.205199672060576e-16,True,0.0
7,test,5,5.076605802400991e-12,8.944795448557412e-16,True,0.0
7,current,6,2.970779178212979e-11,1.7517799775106432e-15,True,0.0
8,validation,4,1.4600636007411314e-12,3.1136958931007886e-16,True,0.0
8,test,4,8.964828879243214e-12,1.2699456343784504e-15,True,0.0
8,current,5,1.7569057320088177e-11,9.384050893657563e-16,True,0.0
9,validation,4,3.681499549657019e-12,9.505501336294504e-16,True,0.0
9,test,4,5.657696533489798e-12,1.106700746926805e-15,True,0.0
9,current,6,1.6065371255535865e-11,1.005360086037836e-15,True,0.0
10,validation,5,2.4069635173873394e-12,9.698326547081985e-16,True,0.0
10,test,5,2.865707671162454e-12,7.519499413982642e-16,True,0.0
10,current,6,2.8244073746463982e-12,4.103782281509694e-16,True,0.0
11,validation,5,6.9544370262519806e-12,1.8183832140877147e-15,True,0.0
11,test,5,1.2136069926782511e-11,1.5360865149919664e-15,True,0.0
11,current,5,3.490541189421492e-12,3.1485391252105905e-16,True,0.0
