phase,horizon_h,training_n,features,latest_training_target,cutoff_exclusive,leaf_nodes,loss,training_with_missing_reservoir_input
validation,1,3633,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,0
test,1,9524,204,2026-06-28T07:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,0
validation,2,3631,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,0
test,2,9516,204,2026-06-28T08:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,0
validation,3,3629,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,0
test,3,9515,204,2026-06-28T09:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,0
validation,4,3626,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,0
test,4,9506,204,2026-06-28T10:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,0
validation,5,3623,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,0
test,5,9506,204,2026-06-28T11:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,0
validation,6,3622,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,absolute_error,0
test,6,9503,204,2026-06-28T12:00:00-03:00,2026-07-01T00:00:00-03:00,15,absolute_error,0
validation,7,3622,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,0
test,7,9506,204,2026-06-28T13:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,0
validation,8,3621,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,0
test,8,9503,204,2026-06-28T14:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,0
validation,9,3620,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,15,squared_error,0
test,9,9503,204,2026-06-28T15:00:00-03:00,2026-07-01T00:00:00-03:00,15,squared_error,0
validation,10,3619,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,0
test,10,9500,204,2026-06-28T16:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,0
validation,11,3618,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,0
test,11,9500,204,2026-06-28T17:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,0
validation,12,3616,204,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00,7,squared_error,0
test,12,9495,204,2026-06-28T18:00:00-03:00,2026-07-01T00:00:00-03:00,7,squared_error,0
