phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,4,level_ge_7m,complete24,candidate,5912,28,28,0,24,0.8571428571428571,0.2189963114735199,-0.06435367321086218,0.679698445686618,0.7148333845413584
validation,4,level_ge_7m,missing24,baseline,636,0,0,0,0,,,,,
validation,4,level_ge_7m,missing24,candidate,636,0,0,0,0,,,,,
validation,5,all,full_schedule,baseline,6547,6513,6473,40,6412,0.9905762397651784,0.06963883165129515,0.00773422042573678,0.3723429610720358,1.1150861210027827
validation,5,all,full_schedule,candidate,6547,6513,6473,40,6416,0.9911941912559864,0.06910514958190152,0.004184234341529858,0.36460921404144947,1.2557830811045054
validation,5,all,complete24,baseline,5912,5883,5883,0,5852,0.99473057963624,0.06328174645127081,0.006175988910278042,0.31896152809094797,1.1150861210027827
validation,5,all,complete24,candidate,5912,5883,5883,0,5855,0.9952405235424103,0.06284121915236689,0.0029229627658687966,0.30323109080818483,1.2557830811045054
validation,5,all,missing24,baseline,635,630,590,40,560,0.9491525423728814,0.13302651340001234,0.023271637384116032,0.6903608316937057,1.075249398070052
validation,5,all,missing24,candidate,635,630,590,40,561,0.9508474576271186,0.1315639677462274,0.016760608374773958,0.7042968622926422,1.096838635775903
validation,5,level_ge_7m,full_schedule,baseline,6547,28,28,0,24,0.8571428571428571,0.21873186629367794,-0.07832359658008256,0.8667097805650765,1.0220439830846848
validation,5,level_ge_7m,full_schedule,candidate,6547,28,28,0,25,0.8928571428571429,0.21668885420852518,-0.08900486891401917,0.8461877736224324,1.0276618523376193
validation,5,level_ge_7m,complete24,baseline,5912,28,28,0,24,0.8571428571428571,0.21873186629367794,-0.07832359658008256,0.8667097805650765,1.0220439830846848
validation,5,level_ge_7m,complete24,candidate,5912,28,28,0,25,0.8928571428571429,0.21668885420852518,-0.08900486891401917,0.8461877736224324,1.0276618523376193
validation,5,level_ge_7m,missing24,baseline,635,0,0,0,0,,,,,
validation,5,level_ge_7m,missing24,candidate,635,0,0,0,0,,,,,
validation,6,all,full_schedule,baseline,6546,6512,6472,40,6362,0.9830037082818294,0.09184695432331863,0.004190825079394967,0.4672808540092741,1.3725742497007265
validation,6,all,full_schedule,candidate,6546,6512,6472,40,6372,0.984548825710754,0.09329451754763744,0.010314798454212966,0.4463789055124291,1.2510665055366976
validation,6,all,complete24,baseline,5912,5881,5881,0,5812,0.9882673014793403,0.08507679334673966,0.0017815605814730053,0.4174289038435734,1.2347849334245478
validation,6,all,complete24,candidate,5912,5881,5881,0,5821,0.9897976534602959,0.0863184513268384,0.0076868841925679145,0.39508835138856074,1.2510665055366976
validation,6,all,missing24,baseline,634,631,591,40,550,0.9306260575296108,0.15921635652849764,0.028165248958039703,0.7413175905645152,1.3725742497007265
validation,6,all,missing24,candidate,634,631,591,40,551,0.9323181049069373,0.16271286855359218,0.03646499096307006,0.8228359224076457,1.2510299701916932
validation,6,level_ge_7m,full_schedule,baseline,6546,28,28,0,24,0.8571428571428571,0.2646368422238095,-0.09486468404351715,0.9140065159022299,1.2347849334245478
validation,6,level_ge_7m,full_schedule,candidate,6546,28,28,0,24,0.8571428571428571,0.23579648588879418,-0.052297719273457534,0.7965586350397887,0.9338539197635276
validation,6,level_ge_7m,complete24,baseline,5912,28,28,0,24,0.8571428571428571,0.2646368422238095,-0.09486468404351715,0.9140065159022299,1.2347849334245478
validation,6,level_ge_7m,complete24,candidate,5912,28,28,0,24,0.8571428571428571,0.23579648588879418,-0.052297719273457534,0.7965586350397887,0.9338539197635276
validation,6,level_ge_7m,missing24,baseline,634,0,0,0,0,,,,,
validation,6,level_ge_7m,missing24,candidate,634,0,0,0,0,,,,,
validation,7,all,full_schedule,baseline,6545,6511,6471,40,6254,0.966465770360068,0.12731639102805709,0.03252796522560319,0.6019693838858562,1.6960711631279022
validation,7,all,full_schedule,candidate,6545,6511,6471,40,6295,0.9728017307989492,0.1191450581098988,0.019789852496698672,0.5729243863114566,1.7114138246146418
validation,7,all,complete24,baseline,5912,5884,5884,0,5729,0.9736573759347382,0.11965865729774668,0.032346224562267184,0.5511430025686056,1.6960711631279022
validation,7,all,complete24,candidate,5912,5884,5884,0,5762,0.9792658055744392,0.11133720867366066,0.018173893370570005,0.5095923559625652,1.7114138246146418
