phase,horizon_h,subset,n,hit_change,mae_change_m,maximum_error_change_m
validation,1,all,6479,0,-2.5814265497071248e-05,0.0226211410552164
validation,1,level_ge_7m,28,0,0.0008823153992000149,-0.01648653279894141
validation,2,all,6477,-1,0.0007652547067609206,0.0293195767388994
validation,2,level_ge_7m,28,0,0.0032897111175702876,0.025137425632433263
validation,3,all,6476,0,0.002048767372769697,-0.011146103862157641
validation,3,level_ge_7m,28,0,0.0074852699406689205,0.057948449722216466
validation,4,all,6474,0,0.001532374209822912,0.03666787664494464
validation,4,level_ge_7m,28,-1,0.01130135920959191,-0.039065138845383096
validation,5,all,6473,4,-0.0005336820693936373,0.14069696010172272
validation,5,level_ge_7m,28,1,-0.0020430120851527567,0.005617869252934504
validation,6,all,6472,10,0.0014475632243188125,-0.12150774416402887
validation,6,level_ge_7m,28,0,-0.028840356335015332,-0.30093101366102015
validation,7,all,6471,41,-0.008171332918158289,0.015342661486739573
validation,7,level_ge_7m,28,0,0.009233519208692587,-0.2117971020416638
validation,8,all,6470,92,-0.013118283096034494,-0.039016458446228475
validation,8,level_ge_7m,28,0,0.015556678170265181,0.07166545810963765
validation,9,all,6470,109,-0.021177186589974528,0.1740747895995156
validation,9,level_ge_7m,28,2,-0.0029854842983489394,-0.02397518405439314
validation,10,all,6468,79,-0.009538189712994083,0.24555373341472375
validation,10,level_ge_7m,28,5,-0.08028318940346796,-0.12351344151981003
validation,11,all,6468,126,-0.012849766150524244,0.18091594382907727
validation,11,level_ge_7m,28,1,-0.07388905577343163,-0.10561117113980156
validation,12,all,6466,194,-0.026475668181022982,-0.012910005633289146
validation,12,level_ge_7m,28,3,-0.051328735537827797,0.052849298843451464
test,1,all,1939,0,0.0001245272158002797,-0.0020152286469654612
test,1,level_ge_7m,236,0,-0.0001665960390483806,-0.0020152286469654612
test,2,all,1936,-2,-0.0006108045307659238,-0.010137260605675102
test,2,level_ge_7m,236,-3,-0.0024308141972156916,-0.010137260605675102
test,3,all,1933,2,0.002020567932431161,0.02252344092638303
test,3,level_ge_7m,236,2,0.006934860499835077,0.02252344092638303
test,4,all,1931,4,-0.002151841273178731,0.04025980483855829
test,4,level_ge_7m,236,1,-0.00022527925805049254,0.04025980483855829
test,5,all,1929,7,0.00023450005782066352,0.21981030676712798
test,5,level_ge_7m,236,3,0.005619995038097014,0.21981030676712798
test,6,all,1927,6,-0.005153566271470372,0.1557031746656854
test,6,level_ge_7m,236,4,-0.016035856122235792,0.1557031746656854
test,7,all,1925,29,-0.011827547296602542,-0.09362863267261723
test,7,level_ge_7m,236,9,-0.030052769105855415,-0.09362863267261723
test,8,all,1923,52,-0.024276677755573906,-0.23722130655282214
test,8,level_ge_7m,236,9,-0.06968365555582268,-0.23722130655282214
test,9,all,1921,34,-0.031293763462327706,-0.44230695929007346
test,9,level_ge_7m,236,0,-0.10197333464828418,-0.44230695929007346
test,10,all,1919,80,-0.03961472338790473,-0.3237794362811304
test,10,level_ge_7m,236,9,-0.10436515165125282,-0.3237794362811304
test,11,all,1917,99,-0.048838764633618525,-0.47137496149873037
test,11,level_ge_7m,236,15,-0.13904320810684334,-0.47137496149873037
test,12,all,1915,74,-0.043115129520801876,-0.2558725748395423
test,12,level_ge_7m,236,9,-0.0720091208333522,-0.2558725748395423
