window,origin_literal,plant,variable,back_hours,query_literal,source_literal,age_seconds,value_m3s,usable,uses_zero,Q_zero_positive_components,Q_balance_residual_gt1,source_file,source_record_index
2018-08-30,2018-08-30T00:00:00,JIUHQJ,Q,0,2018-08-29T23:00:00,2018-08-29 23:00:00,0.0,369.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,39303
2018-08-30,2018-08-30T00:00:00,JIUHQJ,Q,1,2018-08-29T22:00:00,2018-08-29 22:00:00,0.0,368.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,39302
2018-08-30,2018-08-30T00:00:00,JIUHQJ,Q,2,2018-08-29T21:00:00,2018-08-29 21:00:00,0.0,368.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,39301
2018-08-30,2018-08-30T00:00:00,JIUHQJ,Q,4,2018-08-29T19:00:00,2018-08-29 19:00:00,0.0,368.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,39299
2018-08-30,2018-08-30T00:00:00,JIUHQJ,Q,8,2018-08-29T15:00:00,2018-08-29 15:00:00,0.0,368.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,39295
2018-08-30,2018-08-30T00:00:00,JIUHQJ,I,0,2018-08-29T23:00:00,2018-08-29 23:00:00,0.0,353.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,39303
2018-08-30,2018-08-30T00:00:00,JIUHMC,Q,0,2018-08-29T23:00:00,2018-08-29 23:00:00,0.0,316.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,43767
2018-08-30,2018-08-30T00:00:00,JIUHMC,Q,1,2018-08-29T22:00:00,2018-08-29 22:00:00,0.0,323.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,43766
2018-08-30,2018-08-30T00:00:00,JIUHMC,Q,2,2018-08-29T21:00:00,2018-08-29 21:00:00,0.0,323.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,43765
2018-08-30,2018-08-30T00:00:00,JIUHMC,Q,4,2018-08-29T19:00:00,2018-08-29 19:00:00,0.0,326.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,43763
2018-08-30,2018-08-30T00:00:00,JIUHMC,Q,8,2018-08-29T15:00:00,2018-08-29 15:00:00,0.0,336.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,43759
2018-08-30,2018-08-30T00:00:00,JIUHMC,I,0,2018-08-29T23:00:00,2018-08-29 23:00:00,0.0,299.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,43767
2018-08-30,2018-08-30T00:00:00,JIUHCA,Q,0,2018-08-29T23:00:00,2018-08-29 23:00:00,0.0,188.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,40047
2018-08-30,2018-08-30T00:00:00,JIUHCA,Q,1,2018-08-29T22:00:00,2018-08-29 22:00:00,0.0,192.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,40046
2018-08-30,2018-08-30T00:00:00,JIUHCA,Q,2,2018-08-29T21:00:00,2018-08-29 21:00:00,0.0,194.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,40045
2018-08-30,2018-08-30T00:00:00,JIUHCA,Q,4,2018-08-29T19:00:00,2018-08-29 19:00:00,0.0,196.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,40043
2018-08-30,2018-08-30T00:00:00,JIUHCA,Q,8,2018-08-29T15:00:00,2018-08-29 15:00:00,0.0,202.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,40039
2018-08-30,2018-08-30T00:00:00,JIUHCA,I,0,2018-08-29T23:00:00,2018-08-29 23:00:00,0.0,159.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,40047
2018-08-30,2018-08-30T01:00:00,JIUHQJ,Q,0,2018-08-30T00:00:00,2018-08-29 23:59:00,60.0,368.0,True,False,False,False,outputs/auditoria-qi-radar-2018-20260922/raw/ons-2018-08.csv,39304
