window,origin_literal,all_18_lookups_available,uses_zero,Q_zero_positive_components,Q_balance_residual_gt1
2018-08-30,2018-09-03T16:00:00,True,False,False,False
2018-08-30,2018-09-03T17:00:00,True,False,False,False
2018-08-30,2018-09-03T18:00:00,True,False,False,False
2018-08-30,2018-09-03T19:00:00,True,False,False,False
2018-08-30,2018-09-03T20:00:00,True,False,False,False
2018-08-30,2018-09-03T21:00:00,True,False,False,False
2018-08-30,2018-09-03T22:00:00,True,False,False,False
2018-08-30,2018-09-03T23:00:00,True,False,False,False
2018-08-30,2018-09-04T00:00:00,True,False,False,False
2018-08-30,2018-09-04T01:00:00,True,False,False,False
2018-08-30,2018-09-04T02:00:00,True,False,False,False
2018-08-30,2018-09-04T03:00:00,True,False,False,False
2018-08-30,2018-09-04T04:00:00,True,False,False,False
2018-08-30,2018-09-04T05:00:00,True,False,False,False
2018-08-30,2018-09-04T06:00:00,True,False,False,False
2018-08-30,2018-09-04T07:00:00,True,False,False,False
2018-08-30,2018-09-04T08:00:00,True,False,False,False
2018-08-30,2018-09-04T09:00:00,True,False,False,False
2018-08-30,2018-09-04T10:00:00,True,False,False,False
2018-08-30,2018-09-04T11:00:00,True,False,False,False
2018-08-30,2018-09-04T12:00:00,True,False,False,False
2018-08-30,2018-09-04T13:00:00,True,False,False,False
2018-08-30,2018-09-04T14:00:00,True,False,False,False
2018-08-30,2018-09-04T15:00:00,True,False,False,False
2018-08-30,2018-09-04T16:00:00,True,False,False,False
2018-08-30,2018-09-04T17:00:00,True,False,False,False
2018-08-30,2018-09-04T18:00:00,True,False,False,False
2018-08-30,2018-09-04T19:00:00,True,False,False,False
2018-08-30,2018-09-04T20:00:00,True,False,False,False
2018-08-30,2018-09-04T21:00:00,True,False,False,False
2018-08-30,2018-09-04T22:00:00,True,False,False,False
2018-08-30,2018-09-04T23:00:00,True,False,False,False
2018-08-30,2018-09-05T00:00:00,True,False,False,False
2018-08-30,2018-09-05T01:00:00,True,False,False,False
2018-08-30,2018-09-05T02:00:00,True,False,False,False
2018-08-30,2018-09-05T03:00:00,True,False,False,False
2018-08-30,2018-09-05T04:00:00,True,False,False,False
2018-08-30,2018-09-05T05:00:00,True,False,False,False
2018-08-30,2018-09-05T06:00:00,True,False,False,False
2018-08-30,2018-09-05T07:00:00,True,False,False,False
2018-08-30,2018-09-05T08:00:00,True,False,False,False
2018-08-30,2018-09-05T09:00:00,True,False,False,False
2018-08-30,2018-09-05T10:00:00,True,False,False,False
2018-08-30,2018-09-05T11:00:00,True,False,False,False
2018-08-30,2018-09-05T12:00:00,True,False,False,False
2018-08-30,2018-09-05T13:00:00,True,False,False,False
2018-08-30,2018-09-05T14:00:00,True,False,False,False
2018-08-30,2018-09-05T15:00:00,True,False,False,False
2018-08-30,2018-09-05T16:00:00,True,False,False,False
2018-08-30,2018-09-05T17:00:00,True,False,False,False
2018-08-30,2018-09-05T18:00:00,True,False,False,False
2018-08-30,2018-09-05T19:00:00,True,False,False,False
2018-08-30,2018-09-05T20:00:00,True,False,False,False
2018-08-30,2018-09-05T21:00:00,True,False,False,False
2018-08-30,2018-09-05T22:00:00,True,False,False,False
2018-08-30,2018-09-05T23:00:00,True,False,False,False
2018-09-30,2018-09-30T00:00:00,True,False,False,False
2018-09-30,2018-09-30T01:00:00,True,False,False,False
2018-09-30,2018-09-30T02:00:00,True,False,False,False
2018-09-30,2018-09-30T03:00:00,True,False,False,False
2018-09-30,2018-09-30T04:00:00,True,False,False,False
2018-09-30,2018-09-30T05:00:00,True,False,False,False
2018-09-30,2018-09-30T06:00:00,True,False,False,False
2018-09-30,2018-09-30T07:00:00,True,False,False,False
2018-09-30,2018-09-30T08:00:00,True,False,False,False
2018-09-30,2018-09-30T09:00:00,True,False,False,False
2018-09-30,2018-09-30T10:00:00,True,False,False,False
2018-09-30,2018-09-30T11:00:00,True,False,False,False
2018-09-30,2018-09-30T12:00:00,True,False,False,False
