time,radar_change_m,hge_change_m
2026-09-21T18:00:00-03:00,2.3132767917882155,1.0587136655984786
2026-09-21T19:00:00-03:00,3.015835094655454,1.1990281014075972
2026-09-21T20:00:00-03:00,2.604045336151408,1.5423834359729813
2026-09-21T21:00:00-03:00,3.1671147458391644,1.9853608014927495
2026-09-21T22:00:00-03:00,2.236860515955428,2.5940503263300307
2026-09-21T23:00:00-03:00,1.770391357419534,3.23858734553734
2026-09-22T00:00:00-03:00,3.180293254029257,3.94794046681044
2026-09-22T01:00:00-03:00,3.571400092011608,4.670141262741154
2026-09-22T02:00:00-03:00,4.035494500679793,5.304988499822915
2026-09-22T03:00:00-03:00,3.702474995379351,5.84517554579584
