target_time,method,candidate16_m,frozen17_m,difference_m,note
2026-09-21T18:00:00-03:00,radar_m,13.431351832537016,13.814496075863959,0.3831442433269423,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T19:00:00-03:00,radar_m,13.805797219057444,14.666825053700705,0.8610278346432612,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T20:00:00-03:00,radar_m,13.858118929632376,15.007680376594422,1.1495614469620463,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T21:00:00-03:00,radar_m,14.092156104250122,15.270340651893527,1.1781845476434043,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T22:00:00-03:00,radar_m,14.507678811472015,15.68248261370715,1.1748038022351341,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T23:00:00-03:00,radar_m,16.063879112380313,15.400295896949451,-0.6635832154308616,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T00:00:00-03:00,radar_m,16.216642949985655,17.344394613134604,1.127751663148949,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T01:00:00-03:00,radar_m,16.35588868109237,17.548866698457665,1.192978017365295,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T02:00:00-03:00,radar_m,16.082439428663644,17.83517685826037,1.7527374295967242,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T03:00:00-03:00,radar_m,16.304644718818714,17.440073269359846,1.135428550541132,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T04:00:00-03:00,radar_m,16.39647998282067,17.12090768932589,0.7244277065052209,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T05:00:00-03:00,radar_m,16.395978655269165,17.582572482707622,1.1865938274384575,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T18:00:00-03:00,hge_reference_m,13.928939978286245,14.137766578038125,0.20882659975188034,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T19:00:00-03:00,hge_reference_m,15.119076696659985,15.315559806115283,0.1964831094552988,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T20:00:00-03:00,hge_reference_m,16.330477105790038,16.512544360189615,0.18206725439957694,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T21:00:00-03:00,hge_reference_m,17.482039451015062,17.66308596447672,0.18104651346165923,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T22:00:00-03:00,hge_reference_m,18.65017577484987,18.83363759350528,0.18346181865540956,Different reference and training-input procedure; not isolated observation-update effect
2026-09-21T23:00:00-03:00,hge_reference_m,19.793838914935165,19.973564256694964,0.1797253417597986,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T00:00:00-03:00,hge_reference_m,20.93133924780222,21.10788335454007,0.17654410673785037,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T01:00:00-03:00,hge_reference_m,21.980052133515912,22.14615787659993,0.16610574308401738,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T02:00:00-03:00,hge_reference_m,22.816355729130613,22.975345831109088,0.15899010197847474,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T03:00:00-03:00,hge_reference_m,23.59483092515336,23.735773958330135,0.14094303317677515,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T04:00:00-03:00,hge_reference_m,24.233127123377315,24.36279674274178,0.12966961936446353,Different reference and training-input procedure; not isolated observation-update effect
2026-09-22T05:00:00-03:00,hge_reference_m,24.78646821841415,24.921859711665626,0.13539149325147548,Different reference and training-input procedure; not isolated observation-update effect
