forecast_record,valid_at,feature,value,train_min,train_max,kind
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T19:00:00-03:00,Tainhas:P24,149.0792349726768,0.0,79.82950819672158,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T19:00:00-03:00,Tainhas:P48,173.75027322404173,0.0,94.77868852458809,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T19:00:00-03:00,Tainhas:P3lag3,37.539344262294776,0.0,34.632240437158686,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T19:00:00-03:00,Tainhas:P3lag6,68.64153005464465,0.0,34.632240437158686,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86510000:dH0.5,1.9000000000000021,-0.41999999999999993,1.1000000000000014,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86510000:dH1,1.950000000000001,-0.39000000000000057,1.0300000000000002,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86510000:dH2,1.7650000000000006,-0.38000000000000034,1.0150000000000001,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86510000:dH4,1.1400000000000001,-0.3250000000000002,0.9099999999999999,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86510000:dH8,0.9337500000000001,-0.30499999999999994,0.8237500000000001,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86472000:dH4,1.6875,-0.3975000000000002,0.8800000000000001,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86472000:dH8,1.0975000000000001,-0.29874999999999985,0.7625,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86472600:dH2,1.0700000000000003,-0.38500000000000023,0.8799999999999999,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86472600:dH4,1.2050000000000003,-0.3025000000000002,0.7325000000000002,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,86472600:dH8,0.8862500000000001,-0.23875000000000002,0.66125,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,julho:dQ8,0.26385010088415445,-0.06771036061987953,0.1719696243110594,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,monte:Q06,3.0392825462362123,0.046439843790034595,2.9190073129260052,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,monte:Q,6.3770299999999995,0.006,5.962,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,monte:I,6.4312,0.0,5.97,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,monte:dQ2,0.26373196198461235,-0.24989492264228616,0.22600906566502732,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,monte:dQ4,0.30331951144598096,-0.1046341700799688,0.17117075236796586,observed
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,monte:dQ8,0.30863353063069715,-0.058709426001571946,0.14966588913001427,observed
