forecast_record,valid_at,replay_m,original_m,difference_m,artifact_sha256,features_sha256
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T18:00:00-03:00,13.431351832537016,13.431351832537016,0.0,5d974264cfc8c909e59bdfb02d6313b3f780b87576ecc1aa74f945b267daf146,4c9d6396ea4fd04a19ce6c1c8ea634734e2766893ec7136717fd5c1eef0ceae7
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T19:00:00-03:00,13.805797219057444,13.805797219057444,0.0,2d04e14f0bb5d9628b18a2a213d9841e95f305d08696079747c5c15a614d6d4d,4c9d6396ea4fd04a19ce6c1c8ea634734e2766893ec7136717fd5c1eef0ceae7
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T20:00:00-03:00,13.858118929632376,13.858118929632376,0.0,b817756aa920ecee6d7bd6c2b0ac0fb6e89a0e0499c26f1e753e63a738c51cf8,4c9d6396ea4fd04a19ce6c1c8ea634734e2766893ec7136717fd5c1eef0ceae7
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T21:00:00-03:00,14.092156104250122,14.092156104250122,0.0,ac9be2d59225c3095904d6f4be5bf195822f88c794702dfe405dd6b6e409f64e,4c9d6396ea4fd04a19ce6c1c8ea634734e2766893ec7136717fd5c1eef0ceae7
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T22:00:00-03:00,14.507678811472015,14.507678811472015,0.0,5690e4a7a3f1e4d3c83ccd4d18cc3d63e633529061fe365e518d42a242c5222f,4c9d6396ea4fd04a19ce6c1c8ea634734e2766893ec7136717fd5c1eef0ceae7
ad0f135386ab111c85f9db922cd9fd67361446bf9d616bd888be02671f8fef2c,2026-09-21T18:00:00-03:00,13.858761417465697,13.858761417465697,0.0,614484dd68f24b87a49d90fc6aa2165011a5b7f5559185c696562c063dc5843e,00cf227e45324a21c5e92c806763a3f8258ae48a7b988d2dd854c9575a004fae
ad0f135386ab111c85f9db922cd9fd67361446bf9d616bd888be02671f8fef2c,2026-09-21T19:00:00-03:00,14.716829744307622,14.716829744307622,0.0,ff3b8aaffbb003a12967ce6ec765f50fec24de840634f9b2d718c063d589da66,00cf227e45324a21c5e92c806763a3f8258ae48a7b988d2dd854c9575a004fae
ad0f135386ab111c85f9db922cd9fd67361446bf9d616bd888be02671f8fef2c,2026-09-21T20:00:00-03:00,15.02809347940137,15.02809347940137,0.0,0375112befaa1f15c994d5589f8d7c1c96adee0e66512e19ad616e06a69823a5,00cf227e45324a21c5e92c806763a3f8258ae48a7b988d2dd854c9575a004fae
ad0f135386ab111c85f9db922cd9fd67361446bf9d616bd888be02671f8fef2c,2026-09-21T21:00:00-03:00,15.150391365390632,15.150391365390632,0.0,2d5023922163fe87f0b31591e77cc8fd3f22051d48059d9273f68b2e7ad4f6ad,00cf227e45324a21c5e92c806763a3f8258ae48a7b988d2dd854c9575a004fae
ad0f135386ab111c85f9db922cd9fd67361446bf9d616bd888be02671f8fef2c,2026-09-21T22:00:00-03:00,15.348342778009691,15.348342778009691,0.0,1aafa23fb5018761f6490b483debaf6c53b4b0920652388dabc35e6aed807ac0,00cf227e45324a21c5e92c806763a3f8258ae48a7b988d2dd854c9575a004fae
