forecast_record,reference_at,column,name,value
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,0,86510000:H,11.64
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,1,86510000:dH0.5,1.9000000000000021
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,2,86510000:dH1,1.950000000000001
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,3,86510000:dH2,1.7650000000000006
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,4,86510000:dH4,1.1400000000000001
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,5,86510000:dH8,0.9337500000000001
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,6,86472000:H,13.9
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,7,86472000:dH0.5,0.6600000000000001
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,8,86472000:dH1,0.6500000000000004
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,9,86472000:dH2,0.7800000000000002
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,10,86472000:dH4,1.6875
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,11,86472000:dH8,1.0975000000000001
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,12,86472600:H,11.21
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,13,86472600:dH0.5,0.7200000000000024
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,14,86472600:dH1,0.8100000000000005
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,15,86472600:dH2,1.0700000000000003
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,16,86472600:dH4,1.2050000000000003
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,17,86472600:dH8,0.8862500000000001
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,18,86500000:H,5.653
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,19,86500000:dH0.5,0.831999999999999
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,20,86500000:dH1,1.0069999999999997
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,21,86500000:dH2,0.3324999999999996
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,22,86500000:dH4,0.4544999999999999
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,23,86500000:dH8,0.4467499999999999
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,24,julho:Q06,2.6826539410019885
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,25,julho:Q,5.17934
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,26,julho:I,6.04934
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,27,julho:dQ1,0.24797622598158897
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,28,julho:dQ2,0.1991575587805916
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,29,julho:dQ4,0.18580378346087995
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,30,julho:dQ8,0.26385010088415445
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,31,monte:Q06,3.0392825462362123
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,32,monte:Q,6.3770299999999995
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,33,monte:I,6.4312
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,34,monte:dQ1,0.34071435717862997
a902a27977447df91473e8635f7fbd08691551605395f344255d363ee2bff369,2026-09-21T16:00:00-03:00,35,monte:dQ2,0.26373196198461235
