group,window_h,origins,finite_precipitation,coverage_min,coverage_max,coverage_mean
Baixo Antas,1,1464,1305,0.35260115606936415,0.5037090558766859,0.4916789722774987
Baixo Antas,3,1464,1450,0.35260115606936415,0.6919877970456005,0.6783155614868162
Baixo Antas,6,1464,1456,0.3929431599229287,0.7390574823378291,0.7249747087891454
Baixo Antas,12,1464,1464,0.581828034682081,0.7625923249839435,0.7483042824403101
Baixo Antas,24,1464,1464,0.6586885838150289,0.7743597463070006,0.7599763078604996
Baixo Antas,48,1464,1464,0.6646044075144509,0.7802434569685293,0.765787314516497
Carreiro,1,1464,0,0.13884555382215288,0.2533541341653666,0.24100955431659887
Carreiro,3,1464,0,0.14001560062402496,0.26021840873634944,0.24790505144795963
Carreiro,6,1464,0,0.14645085803432137,0.26193447737909514,0.24969197470084595
Carreiro,12,1464,0,0.1496684867394696,0.262792511700468,0.2505980461212984
Carreiro,24,1464,0,0.15127730109204368,0.26322152886115446,0.25107843265233337
Carreiro,48,1464,0,0.15438930057202288,0.2634360374414977,0.2513458546367811
Prata-Turvo,1,1464,1464,0.6247334754797442,0.7878464818763327,0.78575797825859
Prata-Turvo,3,1464,1464,0.6791044776119404,0.7878464818763327,0.78575797825859
Prata-Turvo,6,1464,1464,0.7334754797441365,0.7878464818763327,0.7857664740310935
Prata-Turvo,12,1464,1464,0.7606609808102347,0.7878464818763327,0.7857724210718461
Prata-Turvo,24,1464,1464,0.7729211087420043,0.7878464818763327,0.7857753945922223
Prata-Turvo,48,1464,1464,0.7732320540156361,0.7878464818763327,0.7857768813524105
Alto Antas,1,1464,1462,0.43245206275421266,0.77643811737362,0.7478187521234002
Alto Antas,3,1464,1464,0.5022758086383886,0.7895119116792563,0.7607601812073932
Alto Antas,6,1464,1464,0.5622942087933372,0.7927803602556653,0.7639955384783914
Alto Antas,12,1464,1464,0.5923034088708116,0.7944145845438698,0.7656132171138904
Alto Antas,24,1464,1464,0.6688516850668216,0.7952316966879721,0.7664704282798793
Alto Antas,48,1464,1464,0.6826729856672478,0.7956402527600233,0.7668551684517781
Tainhas,1,1464,1463,0.3907103825136612,1.0,0.9966705485383259
Tainhas,3,1464,1464,0.7677595628415301,1.0,0.9969480028267989
Tainhas,6,1464,1464,0.8451730418943534,1.0,0.9970173663989171
Tainhas,12,1464,1464,0.9225865209471766,1.0,0.9970520481849761
Tainhas,24,1464,1464,0.9516165755919854,1.0,0.9970693890780058
Tainhas,48,1464,1464,0.9709699453551913,1.0,0.9969623887694468
