column,finite,missing
0,1458,6
1,1457,7
2,1453,11
3,1453,11
4,1453,11
5,1453,11
6,705,759
7,705,759
8,702,762
9,701,763
10,701,763
11,701,763
12,0,1464
13,0,1464
14,0,1464
15,0,1464
16,0,1464
17,0,1464
18,0,1464
19,0,1464
20,0,1464
21,0,1464
22,0,1464
23,0,1464
24,1464,0
25,1464,0
26,1464,0
27,1464,0
28,1464,0
29,1464,0
30,1464,0
31,1464,0
32,1464,0
33,1464,0
34,1464,0
35,1464,0
36,1464,0
37,1464,0
38,1464,0
39,1464,0
40,1464,0
41,1464,0
42,1464,0
43,1464,0
44,1464,0
45,1305,159
46,1464,0
47,1450,14
48,1464,0
49,1456,8
50,1464,0
51,1464,0
52,1464,0
53,1464,0
54,1464,0
55,1464,0
56,1464,0
57,1450,14
58,1450,14
59,1450,14
60,0,1464
61,1464,0
62,0,1464
63,1464,0
64,0,1464
65,1464,0
66,0,1464
67,1464,0
68,0,1464
69,1464,0
70,0,1464
71,1464,0
72,0,1464
73,0,1464
74,0,1464
75,1464,0
76,1464,0
77,1464,0
78,1464,0
79,1464,0
80,1464,0
81,1464,0
82,1464,0
83,1464,0
84,1464,0
85,1464,0
86,1464,0
87,1464,0
88,1464,0
89,1464,0
90,1462,2
91,1464,0
92,1464,0
93,1464,0
94,1464,0
95,1464,0
96,1464,0
97,1464,0
98,1464,0
99,1464,0
100,1464,0
101,1464,0
102,1464,0
103,1464,0
104,1464,0
105,1463,1
106,1464,0
107,1464,0
108,1464,0
109,1464,0
110,1464,0
111,1464,0
112,1464,0
113,1464,0
114,1464,0
115,1464,0
116,1464,0
117,1464,0
118,1464,0
119,1464,0
