station,rows,finite_parsed_rain,effective_delay_seconds
86060010,1525,1525,25200
86099000,1535,1535,3600
86102000,1535,1535,18000
86117000,1475,1475,3600
86125000,0,0,10800
86125050,1536,1536,3600
86160000,6140,6140,900
86163000,1480,1480,3600
86200900,1511,0,14400
86280500,1276,1276,3600
86298000,1522,1522,3600
86403000,1536,1536,3600
86410800,1535,1535,3600
86447000,1531,1531,3600
86448000,1435,1435,3600
86450000,1522,1522,900
86471000,1519,1519,900
86472000,6144,6127,1800
86472600,0,0,900
86479000,1522,0,3600
86488000,1410,1410,3600
86493000,1492,0,3600
86495500,1488,0,3600
86500000,0,0,1800
86504900,0,0,3600
86505500,1532,1532,3600
86510000,6144,6133,900
