timestamp_portal_source,timestamp_legacy_source,portal_level_cm,legacy_NivelFinal_cm,legacy_QC,difference_cm
21/09/2026 09:00:00,2026-09-21 09:00:00,493.0,493.0,Dado aprovado,0.0
21/09/2026 09:15:00,2026-09-21 09:15:00,517.0,517.0,Dado aprovado,0.0
21/09/2026 09:30:00,2026-09-21 09:30:00,540.0,540.0,Dado aprovado,0.0
21/09/2026 09:45:00,2026-09-21 09:45:00,561.0,561.0,Dado aprovado,0.0
21/09/2026 10:00:00,2026-09-21 10:00:00,582.0,582.0,Dado aprovado,0.0
21/09/2026 10:15:00,2026-09-21 10:15:00,602.0,602.0,Dado aprovado,0.0
21/09/2026 10:30:00,2026-09-21 10:30:00,624.0,624.0,Dado aprovado,0.0
21/09/2026 10:45:00,2026-09-21 10:45:00,633.0,633.0,Dado aprovado,0.0
21/09/2026 11:00:00,2026-09-21 11:00:00,650.0,650.0,Dado aprovado,0.0
21/09/2026 11:15:00,2026-09-21 11:15:00,665.0,665.0,Dado aprovado,0.0
21/09/2026 11:30:00,2026-09-21 11:30:00,681.0,681.0,Dado aprovado,0.0
21/09/2026 11:45:00,2026-09-21 11:45:00,695.0,695.0,Dado aprovado,0.0
21/09/2026 12:00:00,2026-09-21 12:00:00,708.0,708.0,Dado aprovado,0.0
21/09/2026 12:15:00,2026-09-21 12:15:00,720.0,720.0,Dado aprovado,0.0
21/09/2026 12:30:00,2026-09-21 12:30:00,729.0,729.0,Dado aprovado,0.0
21/09/2026 12:45:00,2026-09-21 12:45:00,738.0,738.0,Dado aprovado,0.0
21/09/2026 13:00:00,2026-09-21 13:00:00,746.0,746.0,Dado aprovado,0.0
21/09/2026 13:15:00,2026-09-21 13:15:00,757.0,757.0,Dado aprovado,0.0
21/09/2026 13:30:00,2026-09-21 13:30:00,769.0,769.0,Dado aprovado,0.0
21/09/2026 13:45:00,2026-09-21 13:45:00,788.0,788.0,Dado aprovado,0.0
21/09/2026 14:00:00,2026-09-21 14:00:00,811.0,811.0,Dado aprovado,0.0
21/09/2026 14:15:00,2026-09-21 14:15:00,844.0,844.0,Dado aprovado,0.0
21/09/2026 14:30:00,2026-09-21 14:30:00,881.0,881.0,Dado aprovado,0.0
21/09/2026 14:45:00,2026-09-21 14:45:00,923.0,923.0,Dado aprovado,0.0
21/09/2026 15:00:00,2026-09-21 15:00:00,969.0,969.0,Dado aprovado,0.0
21/09/2026 15:15:00,2026-09-21 15:15:00,1018.0,1018.0,Dado aprovado,0.0
21/09/2026 15:30:00,2026-09-21 15:30:00,1069.0,1069.0,Dado aprovado,0.0
21/09/2026 15:45:00,2026-09-21 15:45:00,1118.0,1118.0,Dado aprovado,0.0
21/09/2026 16:00:00,2026-09-21 16:00:00,1164.0,1164.0,Dado aprovado,0.0
21/09/2026 16:15:00,2026-09-21 16:15:00,1204.0,1204.0,Dado aprovado,0.0
21/09/2026 16:30:00,2026-09-21 16:30:00,1239.0,1239.0,Dado aprovado,0.0
21/09/2026 16:45:00,2026-09-21 16:45:00,1270.0,1270.0,Dado aprovado,0.0
21/09/2026 17:00:00,2026-09-21 17:00:00,1297.0,1297.0,Dado aprovado,0.0
21/09/2026 17:15:00,2026-09-21 17:15:00,1322.0,1322.0,Dado aprovado,0.0
21/09/2026 17:30:00,2026-09-21 17:30:00,1345.0,1345.0,Dado aprovado,0.0
21/09/2026 17:45:00,2026-09-21 17:45:00,1367.0,1367.0,Dado aprovado,0.0
21/09/2026 18:00:00,2026-09-21 18:00:00,1387.0,1387.0,Dado aprovado,0.0
