source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,1020.0,13.8
86099000,2026-09-22T00:00:00-03:00,60.0,4.91
86102000,2026-09-21T10:00:00-03:00,900.0,7.51
86117000,2026-09-22T00:00:00-03:00,60.0,2.12
86125000,2026-09-21T11:59:00-03:00,781.0,0.8412999999999999
86125050,2026-09-22T00:00:00-03:00,60.0,1.49
86160000,2026-09-21T23:45:00-03:00,75.0,4.42
86163000,2026-09-22T00:00:00-03:00,60.0,1.28
86200900,2026-09-21T12:00:00-03:00,780.0,667.03
86280500,2026-09-22T00:00:00-03:00,60.0,4.6125
86298000,2026-09-21T19:00:00-03:00,360.0,12.71
86403000,2026-09-21T23:00:00-03:00,120.0,7.99
86410800,2026-09-22T00:00:00-03:00,60.0,0.08
86447000,2026-09-22T00:00:00-03:00,60.0,4.83
86448000,2026-09-21T19:00:00-03:00,360.0,153.55
86450000,2026-09-21T22:15:00-03:00,165.0,20.97
86471000,2026-09-22T00:30:00-03:00,30.0,4.35
86472000,2026-09-22T00:30:00-03:00,30.0,20.19
86472600,2026-09-21T23:45:00-03:00,75.0,16.52
86479000,2026-09-22T00:00:00-03:00,60.0,0.43
86488000,2026-09-22T00:00:00-03:00,60.0,1.9
86493000,2026-09-22T00:00:00-03:00,60.0,371.73
86495500,2026-09-22T00:00:00-03:00,60.0,330.31
86500000,2026-09-22T00:30:00-03:00,30.0,4.1930000000000005
86504900,2026-09-22T00:00:00-03:00,60.0,5.73
86505500,2026-09-22T00:00:00-03:00,60.0,1.15
86510000,2026-09-22T00:30:00-03:00,30.0,17.86
julho,2026-09-22T00:00:00-03:00,60.0,11601.65
monte,2026-09-22T00:00:00-03:00,60.0,10797.96
castro,2026-09-22T00:00:00-03:00,60.0,7326.06
