source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,960.0,13.8
86099000,2026-09-21T23:00:00-03:00,60.0,5.53
86102000,2026-09-21T10:00:00-03:00,840.0,7.51
86117000,2026-09-21T23:00:00-03:00,60.0,2.18
86125000,2026-09-21T11:59:00-03:00,721.0,0.8412999999999999
86125050,2026-09-21T23:00:00-03:00,60.0,1.49
86160000,2026-09-21T23:45:00-03:00,15.0,4.42
86163000,2026-09-21T23:00:00-03:00,60.0,1.22
86200900,2026-09-21T12:00:00-03:00,720.0,667.03
86280500,2026-09-21T23:00:00-03:00,60.0,4.6625
86298000,2026-09-21T19:00:00-03:00,300.0,12.71
86403000,2026-09-21T23:00:00-03:00,60.0,7.99
86410800,2026-09-21T23:00:00-03:00,60.0,0.06
86447000,2026-09-21T23:00:00-03:00,60.0,4.92
86448000,2026-09-21T19:00:00-03:00,300.0,153.55
86450000,2026-09-21T21:30:00-03:00,150.0,21.03
86471000,2026-09-21T23:45:00-03:00,15.0,4.98
86472000,2026-09-21T23:30:00-03:00,30.0,19.95
86472600,2026-09-21T23:45:00-03:00,15.0,16.52
86479000,2026-09-21T23:00:00-03:00,60.0,0.61
86488000,2026-09-21T23:00:00-03:00,60.0,2.12
86493000,2026-09-21T23:00:00-03:00,60.0,371.78
86495500,2026-09-21T23:00:00-03:00,60.0,330.36
86500000,2026-09-21T23:30:00-03:00,30.0,4.332
86504900,2026-09-21T23:00:00-03:00,60.0,5.84
86505500,2026-09-21T23:00:00-03:00,60.0,1.15
86510000,2026-09-21T23:45:00-03:00,15.0,17.45
julho,2026-09-21T23:00:00-03:00,60.0,11893.47
monte,2026-09-21T23:00:00-03:00,60.0,11350.97
castro,2026-09-22T00:00:00-03:00,0.0,7432.77
