phase,profile,horizon_h,population,subset,compared_family,matching_control,observed_targets,pairs,failures,baseline_hits,compared_hits,hits_delta,baseline_mae_m,compared_mae_m,mae_m_delta,baseline_bias_m,compared_bias_m,bias_m_delta,baseline_p98_abs_m,compared_p98_abs_m,p98_abs_m_delta,baseline_max_abs_m,compared_max_abs_m,max_abs_m_delta
test,A,5,missing24,level_ge_7m,mixed_profile_candidate,profile_A_control,97,96,1,64,63,-1,0.7452406349608705,0.7428235871927199,-0.0024170477681505487,-0.3085498807764612,-0.3006183382433171,0.007931542533144154,4.856419589151588,4.86148174413287,0.005062154981282596,5.585721334594157,5.4406707406415205,-0.14505059395263675
test,A,5,missing24,level_ge_7m,profile_B_control,profile_A_control,97,96,1,64,65,1,0.7452406349608705,0.7593883231952853,0.014147688234414812,-0.3085498807764612,-0.33495307571677424,-0.026403194940313013,4.856419589151588,5.025091721077072,0.1686721319254838,5.585721334594157,5.577554864047173,-0.008166470546984606
test,A,6,full_schedule,all,mixed_profile_candidate,profile_A_control,1939,1927,12,1772,1780,8,0.20405372470450728,0.2079324272093252,0.0038787025048179213,-0.026606001855766063,-0.024882044516429343,0.00172395733933672,1.0208944362223864,0.9576440799303445,-0.0632503562920419,6.383213756919677,6.299646491687942,-0.08356726523173474
test,A,6,full_schedule,all,profile_B_control,profile_A_control,1939,1927,12,1772,1752,-20,0.20405372470450728,0.21722613988957284,0.013172415185065567,-0.026606001855766063,-0.038774839354109816,-0.012168837498343753,1.0208944362223864,1.0372874388037714,0.016393002581384986,6.383213756919677,6.489096647827269,0.1058828909075924
test,A,6,full_schedule,level_ge_7m,mixed_profile_candidate,profile_A_control,237,236,1,162,170,8,0.6129362573306584,0.6021107824295977,-0.010825474901060672,-0.15388908876623225,-0.17355063506626914,-0.019661546300036886,4.467404225398896,4.570283888983636,0.10287966358473977,6.383213756919677,6.299646491687942,-0.08356726523173474
test,A,6,full_schedule,level_ge_7m,profile_B_control,profile_A_control,237,236,1,162,158,-4,0.6129362573306584,0.6106221996795231,-0.0023140576511352373,-0.15388908876623225,-0.1679171566758962,-0.01402806790966396,4.467404225398896,4.7371442071008305,0.26973998170193436,6.383213756919677,6.489096647827269,0.1058828909075924
test,A,6,complete24,all,mixed_profile_candidate,profile_A_control,1343,1343,0,1247,1253,6,0.17289566965694164,0.17656202161899984,0.0036663519620581952,-0.0035118974794659196,-0.006615557268763389,-0.0031036597892974698,0.7206385324350295,0.7231727774561193,0.002534245021089787,1.7283310963313863,2.0722353433277156,0.3439042469963294
test,A,6,complete24,all,profile_B_control,profile_A_control,1343,1343,0,1247,1233,-14,0.17289566965694164,0.1867911538510222,0.01389548419408057,-0.0035118974794659196,-0.024257432716025987,-0.02074553523656007,0.7206385324350295,0.7572220842193852,0.03658355178435568,1.7283310963313863,1.8975103512923575,0.1691792549609712
test,A,6,complete24,level_ge_7m,mixed_profile_candidate,profile_A_control,140,140,0,106,113,7,0.3763593423454335,0.35922334210765844,-0.017136000237775062,0.02656660344749947,-0.0051181668022032755,-0.031684770249702746,1.31101670094585,1.3269153125695596,0.015898611623709646,1.7283310963313863,2.0722353433277156,0.3439042469963294
test,A,6,complete24,level_ge_7m,profile_B_control,profile_A_control,140,140,0,106,104,-2,0.3763593423454335,0.3654199796758063,-0.010939362669627195,0.02656660344749947,-0.004705874718153177,-0.031272478165652644,1.31101670094585,1.4428048013316765,0.13178810038582656,1.7283310963313863,1.8975103512923575,0.1691792549609712
test,A,6,missing24,all,mixed_profile_candidate,profile_A_control,596,584,12,525,527,2,0.2757065807471112,0.28007361677748793,0.0043670360303767475,-0.0797145329814015,-0.06688870953974335,0.012825823441658155,2.479957419635472,2.570783257128148,0.09082583749267625,6.383213756919677,6.299646491687942,-0.08356726523173474
test,A,6,missing24,all,profile_B_control,profile_A_control,596,584,12,525,519,-6,0.2757065807471112,0.28721618483781514,0.011509604090703951,-0.0797145329814015,-0.07215990290710053,0.007554630074300975,2.479957419635472,2.3884616794732847,-0.0914957401621872,6.383213756919677,6.489096647827269,0.1058828909075924
test,A,6,missing24,level_ge_7m,mixed_profile_candidate,profile_A_control,97,96,1,56,57,1,0.9579442583507781,0.9563216328990926,-0.0016226254516855665,-0.4170536399112576,-0.4191813179513651,-0.0021276780401074946,5.898506331199178,5.937643061923443,0.039136730724265156,6.383213756919677,6.299646491687942,-0.08356726523173474
test,A,6,missing24,level_ge_7m,profile_B_control,profile_A_control,97,96,1,56,54,-2,0.9579442583507781,0.9682087705182768,0.010264512167498685,-0.4170536399112576,-0.4059336095309381,0.011120030380319501,5.898506331199178,6.094673775415511,0.19616744421633303,6.383213756919677,6.489096647827269,0.1058828909075924
test,A,7,full_schedule,all,mixed_profile_candidate,profile_A_control,1938,1925,13,1704,1690,-14,0.2521091968617542,0.25477754180124057,0.0026683449394863668,-0.010331718244163061,-0.023006269963289295,-0.012674551719126233,1.2004920087849955,1.2202292651344988,0.019737256349503296,5.0700479704763755,5.194583557487675,0.12453558701129985
test,A,7,full_schedule,all,profile_B_control,profile_A_control,1938,1925,13,1704,1693,-11,0.2521091968617542,0.25813298069197,0.00602378383021579,-0.010331718244163061,-0.03120250247518138,-0.02087078423101832,1.2004920087849955,1.1609305228421574,-0.03956148594283815,5.0700479704763755,5.056457293860946,-0.013590676615429231
test,A,7,full_schedule,level_ge_7m,mixed_profile_candidate,profile_A_control,237,236,1,145,130,-15,0.6506872082151711,0.6714841295708656,0.020796921355694442,-0.03177580599070794,-0.08363912832287707,-0.05186332233216913,4.124090841238852,3.9415116068146077,-0.18257923442424406,5.0700479704763755,5.194583557487675,0.12453558701129985
test,A,7,full_schedule,level_ge_7m,profile_B_control,profile_A_control,237,236,1,145,136,-9,0.6506872082151711,0.6657721238619045,0.015084915646733421,-0.03177580599070794,-0.0551650819101087,-0.023389275919400765,4.124090841238852,3.7064001277224676,-0.4176907135163841,5.0700479704763755,5.056457293860946,-0.013590676615429231
test,A,7,complete24,all,mixed_profile_candidate,profile_A_control,1342,1342,0,1203,1198,-5,0.2194448372849708,0.22211865529502167,0.0026738180100508713,-0.004813426366712905,-0.023529321857685935,-0.01871589549097303,0.8643549520743586,0.8428984733793241,-0.02145647869503453,1.9640652453513532,1.9245721963743492,-0.03949304897700401
test,A,7,complete24,all,profile_B_control,profile_A_control,1342,1342,0,1203,1205,2,0.2194448372849708,0.22390496119626643,0.004460123911295633,-0.004813426366712905,-0.03508017455280435,-0.030266748186091444,0.8643549520743586,0.8688140007346967,0.004459048660338083,1.9640652453513532,2.3315547566318564,0.3674895112805032
test,A,7,complete24,level_ge_7m,mixed_profile_candidate,profile_A_control,140,140,0,97,86,-11,0.4351554896684194,0.456387968402371,0.02123247873395162,0.042632043940265235,-0.026827741643638537,-0.06945978558390377,1.9230423176827813,1.8171748062304889,-0.10586751145229245,1.9640652453513532,1.9245721963743492,-0.03949304897700401
test,A,7,complete24,level_ge_7m,profile_B_control,profile_A_control,140,140,0,97,92,-5,0.4351554896684194,0.45566465670235556,0.020509167033936182,0.042632043940265235,-0.009646965195414386,-0.05227900913567962,1.9230423176827813,1.9887866544434145,0.06574433676063318,1.9640652453513532,2.3315547566318564,0.3674895112805032
test,A,7,missing24,all,mixed_profile_candidate,profile_A_control,596,583,13,501,492,-9,0.3272988547554819,0.32995460130612186,0.002655746550639937,-0.023034201433765316,-0.021802263715810226,0.0012319377179550901,1.9392188839470499,1.9541991697758143,0.014980285828764428,5.0700479704763755,5.194583557487675,0.12453558701129985
test,A,7,missing24,all,profile_B_control,profile_A_control,596,583,13,501,488,-13,0.3272988547554819,0.3369220067009482,0.009623151945466257,-0.023034201433765316,-0.022276540334237944,0.0007576610995273722,1.9392188839470499,1.9307984367229687,-0.008420447224081196,5.0700479704763755,5.056457293860946,-0.013590676615429231
