nom_reservatorio,tip_reservatorio,cod_resplanejamento,cod_posto,nom_usina,ceg,id_subsistema,nom_subsistema,nom_bacia,nom_rio,nom_ree,dat_entrada,val_cotamaxima,val_cotaminima,val_volmax,val_volmin,val_volutiltot,val_produtibilidadeespecifica,val_produtividade65volutil,val_tipoperda,val_perda,val_latitude,val_longitude,res_id,derived_max_minus_min_hm3,residual_vs_published_useful_hm3
14 DE JULHO,FIO DAGUA,99,284,14 DE JULHO,UHE.PH.RS.000012-4.01,S,SUL,JACUI,TAQUARI-ANTAS,SUL,2008-12-25,104.0,103.0,55.18,50.47,4.71,0.008927,0.3016,m,0.74,-29.06944444,-51.67527778,JIUHQJ,4.710000000000001,8.881784197001252e-16
CASTRO ALVES,FIO DAGUA,97,98,CASTRO ALVES,UHE.PH.RS.000718-8.01,S,SUL,JACUI,TAQUARI-ANTAS,SUL,2008-03-04,240.0,239.0,92.0,87.0,4.6,0.008954,0.7676,m,6.62,-29.00444444,-51.38416667,JIUHCA,5.0,0.40000000000000036
MONTE CLARO,FIO DAGUA,98,97,MONTE CLARO,UHE.PH.RS.027968-4.01,S,SUL,JACUI,TAQUARI-ANTAS,SUL,2004-12-29,148.0,147.0,11.28,10.1,1.45,0.008916,0.3541,m,1.39,-29.02361111,-51.53222222,JIUHMC,1.1799999999999997,-0.27000000000000024
