phase,family,horizon_h,original_n,added_n,n,weight_sum,weight1,weight3,weight5,features_sha256,deltas_sha256,weights_sha256,ordered_origins_sha256,initial_prediction,latest_training_target,cutoff_exclusive
test,original,3,10834,0,10834,11510,10519,292,23,241352646c04841971f7cff1002d7e673f32ebecb0b55a79494fca84f1325d4c,1854097ebd47fed47f9ae92ed803eb8b9241ba963541c434a76ed45819bd76d5,ae1c7e82972ef3f5ed2e534b8e31a1aa34b85bfefeae5a1c01c7311fe5d7acb6,9c8dc92a6d67b00c93a5a416d1bfbc5b677b3f253fbf241f14da26c1642bc6c7,-0.030000000000000027,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,3,10834,443,11277,12229,10860,358,59,c04ee919f76cbe55a2db713e18e16e818d00bffe00aa56a0cc6b38449e139616,1d7df800cfc79c91e6e3fa99a534108ecb1eab205f6a07838aedd77bbb9297ca,819d9e145f806eed7df15b63cfd35104f7f6d4bc304ed6562abe6ff323037828,c9bfe09760d292752b6f1067e238a5c87b2eda5d5396ca7a0d3e0d6c0836a0be,-0.030000000000000027,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,4,4356,0,4356,4980,4092,216,48,d72b988a91ca13de5c6707557b20673e821e6b584a9638bdb26b19d73158ec5a,91bbf4bfa8f7342301da7ff17785317e2984768298442bd14651dbf25dfdfd40,3f9ba224595c065d61f2acb77f51ed4fd5161c88a749c446a6503fea8c023a75,28e8f2c28bad27f0068948fb22aa11b4f37ab2e7b210634d9d3df159cb6a009b,-0.029999999999999805,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,4,4356,441,4797,5753,4425,266,106,b2d0b6c42576572da52f7e8e2050cffd070a662276f20081e9667304c41e779d,d59cb71a77284245135742a7bc337676fa667dcc0906a2867f20cc3db1ecfa30,a260e1b6b8bc4b7844c42dfb411a0aae91f2d24290830e5436d128be8ae15d82,9cd81650631bda9d47200cad6dc5e38cd30153eeda354d7515b9d57588e38680,-0.040000000000000036,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,4,10830,0,10830,11762,10412,370,48,e34847ba4a2a58f9b7f433df81d0fe662171340fc34433617f299fec0a3a6fa1,fcfe2344b37ac0fcec8dacf377d452af2dba76eac9bdcd670204ff6faeb357d7,568f29919b938a6cfc18d5e30c795c8b7fb5255cb29b1fb3978105d7b7ed9c75,5099f6f404ba7e5e353051e9f3244f37bea4349f4d62d77ce61bab6de4a55969,-0.030000000000000027,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,4,10830,441,11271,12535,10745,420,106,a4b0a3625d4442a1600c179802bb6c3de7aa6305f7bfa65badfa811ee9b3b808,d48d368ec480cbbb0fb0acf35c23aa175d0461be4887c64f85d1e471aecf9ce2,a9c568146d4c557d179447b5dfa2ea743b3cc8bb368b32c7a95155b57ec22e41,457b24c4d39f126728aff04095fd07f3ac507c3c208409383ff8bb99a5bc5028,-0.040000000000000036,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
validation,original,5,4355,0,4355,5141,4028,261,66,b7f9fbd29073a232602e546a1d4d180e4f438c52d0e22247f06b490c32bea4ef,16823c7ace116633e5c98a4305d6d9fbac46472665d16bb82bcd443391da6216,53a703d9646922f07d717eba735d36191170c15f9c992ca52de5c589720b3bd0,c0126a909007dd4d9b9fa360b269fe5a2c5538b1608daba6152159ba3a95e75c,-0.030000000000000027,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
validation,plus2020,5,4355,439,4794,5940,4354,307,133,26ace8d292d41e5d5a2323f7ddf0c5fcba376697de489739fd9b7ba065e0ccd7,23bd62d9c38c56b3d8aaf976a50c447c340f202defbe04d7a075a0dc45bbfaea,0c7047127678bb5796b3f6c161252e60ac36583af12c1256310cfdab5bb287cd,dd57f93af3d2e65a70e30a72ac1ef3976b5d0a629090f900a7c2dc1915a9dfd8,-0.04999999999999982,2025-09-30T23:00:00-03:00,2025-10-01T00:00:00-03:00
test,original,5,10828,0,10828,12152,10232,530,66,8caa203d4a18a25bebaaa994b5f84f815cabeedadc2933e94b51c9e758b81700,5e12d9f36fa98c86b828f6dcaab0c976b9f2e0828ac4df8e1fae5e8fbad1fa87,846736c49ea0c5cdf2b074c4d3be145ab559bebf3779c93969333fcb00229d99,80bf49b6de735302c953549a735cb9227419e5a8426f135240beea85d13e363f,-0.03000000000000025,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
test,plus2020,5,10828,439,11267,12951,10558,576,133,64bcf282d278fae8e5b728891e542c9d53c27512a722c26f31e8dd4c8e961cf6,1978753ee39722fbb0a401d8b77abaabfba968672bb1f789e7505bd6196990ce,e3b88c6a17a4822ef71cc59659721249f810a989c934dc539110f01034dc9e62,4ad31212c5067ca40e5cbfa55b479cf2f03caf98a620913892d956e8dc533549,-0.040000000000000036,2026-06-30T23:00:00-03:00,2026-07-01T00:00:00-03:00
