dataset,period,subset,membership,horizon_h,observed_targets,pairs,failures,raw_hits,normalized_hits,hit_change,raw_mae,normalized_mae,mae_change,raw_max,normalized_max,max_change
original,validation,level_ge_7m,original,3,28,28,0,26,26,0,0.16960676474370254,0.17053312448485594,0.0009263597411534041,0.6140799441250824,0.6316653597274993,0.017585415602416887
original,validation,level_ge_7m,original,4,28,28,0,26,26,0,0.16646123882897323,0.16618220345897536,-0.0002790353699978765,0.560207741268413,0.5385516740909324,-0.021656067177480587
original,validation,level_ge_7m,original,5,28,28,0,25,25,0,0.2291228510791504,0.22278906449722471,-0.006333786581925682,0.7553061347974745,0.7475557409284077,-0.007750393869066841
original,validation,level_ge_7m,original,6,28,28,0,24,23,-1,0.2587119452642057,0.2542991455371077,-0.004412799727098016,1.0962896884715265,1.086237371195586,-0.010052317275940581
original,validation,level_ge_7m,original,7,28,28,0,18,18,0,0.4275016599210431,0.4299736227075268,0.0024719627864837057,2.6556568259868305,2.604009097325245,-0.05164772866158529
original,validation,level_ge_7m,original,8,28,28,0,20,20,0,0.4882291267479996,0.4819940176575092,-0.006235109090490409,2.5050304061770072,2.5196661834589262,0.014635777281919005
original,validation,level_ge_7m,original,9,28,28,0,17,17,0,0.6095633629892163,0.6078073786710301,-0.0017559843181862433,2.1405087524778477,2.0756267167896514,-0.06488203568819628
original,validation,level_ge_7m,original,10,28,28,0,11,11,0,0.7637956998438623,0.7780425905951841,0.014246890751321795,1.6643311821088886,1.7070730361088824,0.04274185399999375
original,validation,level_ge_7m,original,11,28,28,0,9,9,0,0.913230549267538,0.9093274208958356,-0.003903128371702369,2.3488613754696814,2.3794393024975946,0.030577927027913177
original,validation,level_ge_7m,original,12,28,28,0,7,7,0,0.9084925009708122,0.9130076638570204,0.004515162886208124,2.619470094800553,2.6277387493458075,0.008268654545254606
original,validation,level_ge_7m,plus2020,1,28,28,0,28,28,0,0.06333335504352917,0.06333335504352917,0.0,0.24943821848564696,0.24943821848564696,0.0
original,validation,level_ge_7m,plus2020,2,28,28,0,28,28,0,0.11696550238526024,0.11586171481890194,-0.0011037875663583024,0.3728587788332991,0.37013404300181296,-0.002724735831486136
original,validation,level_ge_7m,plus2020,3,28,28,0,26,26,0,0.1502673038111546,0.14103129977389464,-0.009236004037259965,0.5506832464500686,0.6137224301475488,0.06303918369748018
original,validation,level_ge_7m,plus2020,4,28,28,0,23,25,2,0.2921228861579999,0.25929759495195964,-0.032825291206040275,0.7093898649565311,0.6594312584086452,-0.049958606547885864
original,validation,level_ge_7m,plus2020,5,28,28,0,25,24,-1,0.2355024601811717,0.29526451403200404,0.05976205385083233,0.8954256355647745,0.7302356207783385,-0.16519001478643602
original,validation,level_ge_7m,plus2020,6,28,28,0,21,21,0,0.3550741139148806,0.30378716463972805,-0.05128694927515254,1.386024455608342,1.2622987610809622,-0.12372569452737991
original,validation,level_ge_7m,plus2020,7,28,28,0,22,21,-1,0.36599592967606104,0.3881963676912018,0.022200438015140767,1.6104075559087958,1.6027113082585442,-0.007696247650251564
original,validation,level_ge_7m,plus2020,8,28,28,0,21,21,0,0.37579139202211265,0.3651397074878184,-0.01065168453429427,0.7601263675107086,0.7323997066654551,-0.027726660845253548
original,validation,level_ge_7m,plus2020,9,28,28,0,15,14,-1,0.504473866873807,0.501553792567872,-0.0029200743059349943,0.9834888366483341,0.9436241981551454,-0.039864638493188664
original,validation,level_ge_7m,plus2020,10,28,28,0,10,9,-1,0.7356940778716989,0.7499522794176509,0.01425820154595192,1.6713292291906034,1.7470876774146182,0.07575844822401478
original,validation,level_ge_7m,plus2020,11,28,28,0,11,10,-1,0.7703725655892585,0.807973199780149,0.03760063419089055,1.9131478636324442,2.065739944467415,0.152592080834971
original,validation,level_ge_7m,plus2020,12,28,28,0,7,8,1,0.8928044255856857,0.8815692711317881,-0.011235154453897667,2.6269778946483946,2.61812734854062,-0.008850546107774804
original,test,all,original,1,1944,1939,5,1932,1932,0,0.03417566632254777,0.03417566632254777,0.0,1.284834339803509,1.284834339803509,0.0
original,test,all,original,2,1943,1936,7,1916,1916,0,0.06050415557115221,0.06050415557115221,0.0,2.4854087637465963,2.4854087637465963,0.0
original,test,all,original,3,1942,1933,9,1892,1892,0,0.08569916437714672,0.08569916437714672,0.0,3.5268719363183774,3.5268719363183774,0.0
original,test,all,original,4,1941,1931,10,1863,1867,4,0.1145230902406845,0.1141029220855365,-0.0004201681551479902,4.159274231826119,4.180672066798155,0.021397834972035845
original,test,all,original,5,1940,1929,11,1837,1834,-3,0.15065775972061035,0.15170402021125728,0.001046260490646933,4.732017992487203,4.852710999481523,0.12069300699432084
original,test,all,original,6,1939,1927,12,1746,1753,7,0.20676128900797808,0.20572360787190871,-0.0010376811360693627,5.717300772050423,5.758938829288425,0.041638057238001736
original,test,all,original,7,1938,1925,13,1689,1690,1,0.266131415523293,0.2666837109001212,0.0005522953768282157,5.611443817837554,5.5788198938424145,-0.03262392399513914
original,test,all,original,8,1937,1923,14,1623,1626,3,0.32353407971972176,0.3238226848883947,0.0002886051686729618,6.185898482285559,6.133416995517493,-0.05248148676806608
original,test,all,original,9,1936,1921,15,1536,1543,7,0.3755822991318277,0.3758979697957148,0.0003156706638871021,6.0003742492804815,5.9108641024508355,-0.08951014682964598
original,test,all,original,10,1935,1919,16,1447,1447,0,0.42009415328289834,0.4197439130438954,-0.0003502402390029302,6.464545216847842,6.430049517042873,-0.03449569980496925
original,test,all,original,11,1934,1917,17,1395,1397,2,0.44744592955284307,0.4470973495704034,-0.00034857998243964516,6.566430652044184,6.563938512228388,-0.0024921398157964347
original,test,all,original,12,1933,1915,18,1359,1358,-1,0.48871710136222485,0.4868747967527352,-0.0018423046094896423,7.5899965838495795,7.547984435499524,-0.04201214835005551
original,test,all,plus2020,1,1944,1939,5,1934,1934,0,0.03303731382773172,0.03303731382773172,0.0,0.9375133944874756,0.9375133944874756,0.0
original,test,all,plus2020,2,1943,1936,7,1916,1916,0,0.060646842526988196,0.060628448086349075,-1.839444063912038e-05,1.739874407090178,1.7397516160566324,-0.00012279103354551069
original,test,all,plus2020,3,1942,1933,9,1896,1895,-1,0.08785915013353383,0.08861313368884402,0.0007539835553101865,3.0549834478696507,3.119749707203195,0.06476625933354452
original,test,all,plus2020,4,1941,1931,10,1871,1868,-3,0.11528808753938709,0.11579801540597726,0.000509927866590168,3.789297893218299,3.7679250330308536,-0.02137286018744522
original,test,all,plus2020,5,1940,1929,11,1840,1850,10,0.14648152878419302,0.15076964507690613,0.004288116292713112,4.197175167878556,4.645603153067796,0.4484279851892401
original,test,all,plus2020,6,1939,1927,12,1763,1765,2,0.20145550510518553,0.199738706478704,-0.001716798626481525,4.704522031131441,4.704893046560072,0.0003710154286302725
original,test,all,plus2020,7,1938,1925,13,1747,1735,-12,0.23111039155411123,0.2328552810615003,0.0017448895073890747,4.638033184969102,4.655934641123991,0.01790145615488825
original,test,all,plus2020,8,1937,1923,14,1660,1658,-2,0.29427147175225193,0.2957168376439923,0.00144536589174038,5.446067301688627,5.617786803646193,0.1717195019575657
original,test,all,plus2020,9,1936,1921,15,1570,1553,-17,0.3487222511981637,0.3495075417165309,0.0007852905183672321,6.169177317055857,6.3036563289208845,0.13447901186502786
original,test,all,plus2020,10,1935,1919,16,1427,1425,-2,0.40733359757313575,0.4077615217075361,0.00042792413440034816,6.448103913221744,6.4581986365553155,0.01009472333357131
original,test,all,plus2020,11,1934,1917,17,1387,1375,-12,0.4444657583436154,0.4446880897170021,0.00022233137338667497,7.526430836325472,7.581365245726475,0.05493440940100225
original,test,all,plus2020,12,1933,1915,18,1347,1334,-13,0.4745247131482198,0.4746555689207321,0.00013085577251226166,7.974639368367226,8.067396884334205,0.09275751596697823
original,test,level_ge_7m,original,1,237,236,1,230,230,0,0.07747194053705365,0.07747194053705365,0.0,1.284834339803509,1.284834339803509,0.0
original,test,level_ge_7m,original,2,237,236,1,225,225,0,0.14574519761403643,0.14574519761403643,0.0,2.4854087637465963,2.4854087637465963,0.0
original,test,level_ge_7m,original,3,237,236,1,206,206,0,0.2397801871519601,0.2397801871519601,0.0,3.5268719363183774,3.5268719363183774,0.0
original,test,level_ge_7m,original,4,237,236,1,189,193,4,0.3477376475215351,0.34596340697892397,-0.0017742405426111052,4.159274231826119,4.180672066798155,0.021397834972035845
original,test,level_ge_7m,original,5,237,236,1,174,170,-4,0.44950094391357975,0.4567780122341141,0.007277068320534319,4.732017992487203,4.852710999481523,0.12069300699432084
original,test,level_ge_7m,original,6,237,236,1,149,148,-1,0.5992745509944473,0.5976100205251076,-0.0016645304693396756,5.717300772050423,5.758938829288425,0.041638057238001736
original,test,level_ge_7m,original,7,237,236,1,132,133,1,0.7350302813017384,0.7337573473953839,-0.001272933906354523,5.611443817837554,5.5788198938424145,-0.03262392399513914
original,test,level_ge_7m,original,8,237,236,1,128,129,1,0.8437648586743666,0.845906712962715,0.002141854288348455,6.185898482285559,6.133416995517493,-0.05248148676806608
original,test,level_ge_7m,original,9,237,236,1,113,113,0,0.9692832556460395,0.9675536652457236,-0.001729590400315839,6.0003742492804815,5.9108641024508355,-0.08951014682964598
original,test,level_ge_7m,original,10,237,236,1,93,94,1,1.0678142840693023,1.0678556542913025,4.137022200012552e-05,6.464545216847842,6.430049517042873,-0.03449569980496925
original,test,level_ge_7m,original,11,237,236,1,85,84,-1,1.1782923476697535,1.1792417158860335,0.0009493682162799999,6.566430652044184,6.563938512228388,-0.0024921398157964347
original,test,level_ge_7m,original,12,237,236,1,83,82,-1,1.3618131697950429,1.3587880186977104,-0.003025151097332479,7.5899965838495795,7.547984435499524,-0.04201214835005551
original,test,level_ge_7m,plus2020,1,237,236,1,231,231,0,0.06476384966726866,0.06476384966726866,0.0,0.9375133944874756,0.9375133944874756,0.0
original,test,level_ge_7m,plus2020,2,237,236,1,225,225,0,0.13340345651541086,0.1332639385839166,-0.00013951793149424851,1.739874407090178,1.7397516160566324,-0.00012279103354551069
original,test,level_ge_7m,plus2020,3,237,236,1,218,218,0,0.2045290355720415,0.2062624937532027,0.0017334581811612182,3.0549834478696507,3.119749707203195,0.06476625933354452
original,test,level_ge_7m,plus2020,4,237,236,1,195,194,-1,0.3120340189086519,0.3147116000080755,0.0026775810994236204,3.789297893218299,3.7679250330308536,-0.02137286018744522
original,test,level_ge_7m,plus2020,5,237,236,1,180,180,0,0.41425014656526404,0.4352576711808304,0.021007524615566375,4.197175167878556,4.645603153067796,0.4484279851892401
original,test,level_ge_7m,plus2020,6,237,236,1,163,162,-1,0.5361155561391127,0.5369040477055705,0.0007884915664578829,4.704522031131441,4.704893046560072,0.0003710154286302725
original,test,level_ge_7m,plus2020,7,237,236,1,164,157,-7,0.5468895482338202,0.5516234598212364,0.004733911587416206,4.638033184969102,4.655934641123991,0.01790145615488825
original,test,level_ge_7m,plus2020,8,237,236,1,143,142,-1,0.6777920248435835,0.6860332587643867,0.008241233920803226,5.446067301688627,5.617786803646193,0.1717195019575657
original,test,level_ge_7m,plus2020,9,237,236,1,124,122,-2,0.8094479487623841,0.8143456806383412,0.004897731875957101,6.169177317055857,6.3036563289208845,0.13447901186502786
original,test,level_ge_7m,plus2020,10,237,236,1,109,108,-1,0.9459917650300765,0.9447732230605537,-0.0012185419695228683,6.448103913221744,6.4581986365553155,0.01009472333357131
original,test,level_ge_7m,plus2020,11,237,236,1,101,100,-1,1.0918713368645792,1.0946359637341014,0.0027646268695222798,7.526430836325472,7.581365245726475,0.05493440940100225
original,test,level_ge_7m,plus2020,12,237,236,1,87,89,2,1.2303379463822062,1.2211999162451388,-0.009138030137067377,7.974639368367226,8.067396884334205,0.09275751596697823
reused_development,2021,all,original,1,743,743,0,743,743,0,0.03176970598058766,0.03176970598058766,0.0,0.303935811177126,0.303935811177126,0.0
reused_development,2021,all,original,2,742,742,0,740,740,0,0.05086323518500803,0.05085960733070485,-3.6278543031828536e-06,0.6342456973448094,0.6342456973448094,0.0
reused_development,2021,all,original,3,741,741,0,731,731,0,0.09714056357585706,0.09714056357585706,0.0,0.8006281654894924,0.8006281654894924,0.0
reused_development,2021,all,original,4,740,740,0,716,715,-1,0.1846111187143634,0.17376049690514708,-0.01085062180921631,1.028971540581634,1.0756000014850855,0.04662846090345152
reused_development,2021,all,original,5,739,739,0,698,692,-6,0.19759122551934888,0.20780815955072823,0.010216934031379354,1.3439867254330542,1.3668913627607582,0.02290463732770398
reused_development,2021,all,original,6,738,738,0,670,640,-30,0.2781717689523117,0.31938310236176193,0.04121133340945021,1.0246188908290073,1.0267839655011182,0.0021650746721109115
reused_development,2021,all,original,7,737,737,0,161,135,-26,0.5918019483141733,0.6358114548162035,0.04400950650203017,1.4848286906758732,1.4857504386933025,0.0009217480174292803
reused_development,2021,all,original,8,736,736,0,65,66,1,0.8484241435487748,0.8368048616184288,-0.011619281930346004,1.663018786673602,1.6227927373344029,-0.040226049339199044
reused_development,2021,all,original,9,735,735,0,39,46,7,1.0429328314503483,1.0165667055146137,-0.02636612593573462,1.88185234036969,1.878431205657436,-0.003421134712254137
reused_development,2021,all,original,10,734,734,0,96,107,11,0.7542057590424747,0.7306386474159897,-0.02356711162648495,1.8401386260440837,1.8123633123382303,-0.0277753137058534
reused_development,2021,all,original,11,733,733,0,553,549,-4,0.3804315387346641,0.3844212639648982,0.0039897252302340536,1.5329437114376967,1.5615038605243985,0.02856014908670179
reused_development,2021,all,original,12,732,732,0,484,483,-1,0.4654291817772607,0.46753580027353836,0.0021066184962776346,1.907365258669126,1.8990546000856843,-0.008310658583441821
reused_development,2021,all,plus2020,1,743,743,0,743,743,0,0.04055697067663001,0.04055746407392356,4.933972935564079e-07,0.33542148113290526,0.33542148113290526,0.0
reused_development,2021,all,plus2020,2,742,742,0,738,738,0,0.06602053684248134,0.06454792469149634,-0.0014726121509850004,0.6360702113013028,0.6325043366618024,-0.0035658746395004215
reused_development,2021,all,plus2020,3,741,741,0,732,732,0,0.09356467592984698,0.09269863596807851,-0.0008660399617684694,0.9195036920337432,0.8991669704199272,-0.020336721613815945
reused_development,2021,all,plus2020,4,740,740,0,706,706,0,0.13256190370048768,0.14149566958623988,0.008933765885752204,1.126566702418031,1.126055912567396,-0.0005107898506351294
reused_development,2021,all,plus2020,5,739,739,0,697,697,0,0.14048851794877895,0.1580662108809568,0.01757769293217784,0.9475490547718379,0.916097275367389,-0.031451779404448876
reused_development,2021,all,plus2020,6,738,738,0,684,693,9,0.17050491091407957,0.1458086037540999,-0.02469630715997967,1.0071693843931842,1.0460179362189206,0.03884855182573643
reused_development,2021,all,plus2020,7,737,737,0,618,618,0,0.29719121551773137,0.31023021323663097,0.013038997718899603,1.4631952151117718,1.430495452634851,-0.032699762476920746
reused_development,2021,all,plus2020,8,736,736,0,572,582,10,0.35593539460290985,0.3506140131023804,-0.005321381500529465,1.3370527536688988,1.3405139045732666,0.003461150904367827
reused_development,2021,all,plus2020,9,735,735,0,489,507,18,0.4343485068213258,0.41235350002377164,-0.021995006797554173,1.2622506102099593,1.2367962151443583,-0.025454395065600988
reused_development,2021,all,plus2020,10,734,734,0,667,666,-1,0.22978304095773108,0.2286794346369912,-0.001103606320739886,2.4856108408882696,2.4792369499403604,-0.006373890947909189
reused_development,2021,all,plus2020,11,733,733,0,657,643,-14,0.2265420759488273,0.2951762525636981,0.06863417661487081,2.4367218893824427,2.5243866628274323,0.08766477344498957
reused_development,2021,all,plus2020,12,732,732,0,636,629,-7,0.27905086601170187,0.284593318474382,0.0055424524626801475,2.5290678946117358,2.563844335010048,0.0347764403983124
reused_development,2021,level_ge_7m,original,1,11,11,0,11,11,0,0.04901198481827644,0.04901198481827644,0.0,0.13699274102333892,0.13699274102333892,0.0
reused_development,2021,level_ge_7m,original,2,11,11,0,11,11,0,0.12540874236325428,0.12540874236325428,0.0,0.2849241743743667,0.2849241743743667,0.0
reused_development,2021,level_ge_7m,original,3,11,11,0,11,11,0,0.13676156033205047,0.13676156033205047,0.0,0.28106805853045014,0.28106805853045014,0.0
reused_development,2021,level_ge_7m,original,4,11,11,0,11,11,0,0.1763075303324659,0.19194655872508773,0.015639028392621823,0.4563349369465932,0.4950007472629885,0.038665810316395266
reused_development,2021,level_ge_7m,original,5,11,11,0,9,9,0,0.342960289333011,0.36052484750258706,0.017564558169576083,0.748924075238186,0.7926558611211441,0.04373178588295801
reused_development,2021,level_ge_7m,original,6,11,11,0,8,8,0,0.3474363456431569,0.3108835937814262,-0.03655275186173068,0.7555407290239282,0.7148948267553221,-0.04064590226860609
reused_development,2021,level_ge_7m,original,7,11,11,0,9,9,0,0.37113368639617317,0.37215242002086435,0.0010187336246911816,0.5563514985729388,0.5563050334209159,-4.646515202288981e-05
reused_development,2021,level_ge_7m,original,8,11,11,0,4,5,1,0.7500184561386763,0.728337001240515,-0.021681454898161312,1.2829171508189772,1.2634991249001457,-0.01941802591883146
reused_development,2021,level_ge_7m,original,9,11,11,0,3,3,0,0.937873905262821,0.9087703116381629,-0.029103593624658086,1.496698329321184,1.4393388362828592,-0.05735949303832477
reused_development,2021,level_ge_7m,original,10,11,11,0,3,3,0,0.7420378589461959,0.7071166216799617,-0.034921237266234195,1.1121534604741887,1.0982324640148642,-0.013920996459324542
reused_development,2021,level_ge_7m,original,11,11,11,0,3,3,0,0.5904562945587747,0.5979896477731438,0.0075333532143690984,0.8278408208679364,0.8454263189865605,0.017585498118624088
reused_development,2021,level_ge_7m,original,12,11,11,0,6,6,0,0.4619525119497453,0.44192774385775074,-0.02002476809199455,0.7455550653395893,0.7414578421924993,-0.0040972231470899345
reused_development,2021,level_ge_7m,plus2020,1,11,11,0,11,11,0,0.060750776917055334,0.060750776917055334,0.0,0.14337335699494513,0.14337335699494513,0.0
reused_development,2021,level_ge_7m,plus2020,2,11,11,0,11,11,0,0.11317272734001675,0.11201416560472843,-0.0011585617352883187,0.36291737356460096,0.3568815902946598,-0.006035783269941142
reused_development,2021,level_ge_7m,plus2020,3,11,11,0,11,11,0,0.20935460203355652,0.2125173854478812,0.003162783414324688,0.42153870839435115,0.4214300820597119,-0.0001086263346392613
reused_development,2021,level_ge_7m,plus2020,4,11,11,0,9,9,0,0.2595591458857527,0.2681874729667626,0.008628327081009912,0.6699216282108251,0.6545336007216651,-0.015388027489160017
reused_development,2021,level_ge_7m,plus2020,5,11,11,0,11,11,0,0.19529815963183628,0.22057945846827104,0.025281298836434762,0.3746147107116977,0.4684026293070458,0.09378791859534807
reused_development,2021,level_ge_7m,plus2020,6,11,11,0,9,9,0,0.23491198161598945,0.24800198397380058,0.013090002357811131,0.6274279853034797,0.6210923754392468,-0.006335609864232872
reused_development,2021,level_ge_7m,plus2020,7,11,11,0,5,7,2,0.4784116089201626,0.4654082623507195,-0.013003346569443075,0.8906062921345601,0.8989373295784926,0.008331037443932487
reused_development,2021,level_ge_7m,plus2020,8,11,11,0,5,4,-1,0.5676187905499476,0.5505391755715073,-0.01707961497844024,1.3370527536688988,1.3405139045732666,0.003461150904367827
reused_development,2021,level_ge_7m,plus2020,9,11,11,0,7,7,0,0.40391613419905764,0.3692405200243911,-0.034675614174666525,1.058424163771062,1.0156912762111743,-0.0427328875598878
reused_development,2021,level_ge_7m,plus2020,10,11,11,0,10,9,-1,0.2797350293934517,0.2760584719058265,-0.003676557487625187,0.5175395602076476,0.5368974313626698,0.019357871155022188
reused_development,2021,level_ge_7m,plus2020,11,11,11,0,9,10,1,0.29562798827660886,0.3472835456360049,0.05165555735939603,0.6516164283623382,0.6154548745978747,-0.036161553764463505
reused_development,2021,level_ge_7m,plus2020,12,11,11,0,10,11,1,0.26485987361598334,0.1674138630395903,-0.09744601057639304,0.6156729849910185,0.462490380439573,-0.1531826045514455
reused_development,2022,all,original,1,1462,1457,5,1450,1450,0,0.04040695238373559,0.04040695238373559,0.0,1.1085347330164899,1.1085347330164899,0.0
reused_development,2022,all,original,2,1461,1456,5,1431,1431,0,0.07509746978457625,0.07509449294493455,-2.9768396417051424e-06,1.8686908227421828,1.8686908227421828,0.0
reused_development,2022,all,original,3,1460,1455,5,1410,1410,0,0.11212745407617408,0.11212745407617408,0.0,2.702134633656705,2.702134633656705,0.0
reused_development,2022,all,original,4,1459,1454,5,1367,1364,-3,0.16801566691623285,0.16345336636667374,-0.004562300549559112,3.326192234671896,3.4023469239867,0.07615468931480418
reused_development,2022,all,original,5,1458,1453,5,1329,1327,-2,0.19956550512000593,0.19993961902682897,0.0003741139068230426,3.961728095483049,3.925921620751561,-0.0358064747314879
reused_development,2022,all,original,6,1457,1452,5,1295,1294,-1,0.23674826844190394,0.24548399659357156,0.008735728151667621,3.7423398159057095,3.719968509507499,-0.0223713063982105
reused_development,2022,all,original,7,1456,1451,5,1272,1277,5,0.2776386897093178,0.2726259236313561,-0.0050127660779616945,4.569209618198557,4.53452860734774,-0.034681010850817096
reused_development,2022,all,original,8,1455,1450,5,1253,1263,10,0.29171880421851376,0.2830575423190656,-0.008661261899448158,4.769363882540022,4.7169059938230475,-0.05245788871697421
reused_development,2022,all,original,9,1454,1449,5,1257,1262,5,0.33516518560754716,0.3179572390602064,-0.017207946547340758,5.254545046447809,5.230475570797594,-0.02406947565021511
reused_development,2022,all,original,10,1453,1448,5,1211,1206,-5,0.3880006937658626,0.3916508910606877,0.003650197294825075,5.808953649485105,5.817101526280356,0.00814787679525164
reused_development,2022,all,original,11,1452,1447,5,1183,1179,-4,0.4524534052205866,0.4559650963706627,0.0035116911500761017,6.101533435936715,6.070935566790798,-0.030597869145917223
reused_development,2022,all,original,12,1451,1446,5,1099,1114,15,0.4859319764846615,0.48564404819968215,-0.0002879282849793663,5.816916608456574,5.790282347246378,-0.026634261210196186
reused_development,2022,all,plus2020,1,1462,1457,5,1455,1455,0,0.0423703058582959,0.0423703058582959,0.0,0.9829393638563504,0.9829393638563504,0.0
reused_development,2022,all,plus2020,2,1461,1456,5,1434,1434,0,0.0906129521088555,0.0907097255653258,9.677345647030045e-05,1.713055091769598,1.7126903578207058,-0.0003647339488921375
reused_development,2022,all,plus2020,3,1460,1455,5,1411,1412,1,0.10494824269269676,0.1047907038655064,-0.0001575388271903566,1.9927776152259398,2.008881240370121,0.016103625144181066
reused_development,2022,all,plus2020,4,1459,1454,5,1387,1385,-2,0.13672158135152954,0.13823084634850444,0.0015092649969749017,1.8879659130243205,1.864362775581144,-0.023603137443176436
reused_development,2022,all,plus2020,5,1458,1453,5,1352,1360,8,0.15090200007373608,0.14795104307743479,-0.002950956996301296,1.8810856778817495,2.0199780496110886,0.1388923717293391
reused_development,2022,all,plus2020,6,1457,1452,5,1330,1325,-5,0.20159577843616105,0.19564403079552384,-0.005951747640637217,2.972565889347573,2.700151538037451,-0.2724143513101218
reused_development,2022,all,plus2020,7,1456,1451,5,1308,1311,3,0.22040066266682123,0.22004025978944658,-0.0003604028773746548,3.3006971429938847,3.298786037695713,-0.0019111052981717336
reused_development,2022,all,plus2020,8,1455,1450,5,1294,1301,7,0.24811373898271516,0.25139023876917793,0.003276499786462772,4.016142337131393,3.9726443923618895,-0.04349794476950386
reused_development,2022,all,plus2020,9,1454,1449,5,1267,1264,-3,0.2806864332466803,0.2888468110508088,0.008160377804128482,4.132870009052942,4.083890560813792,-0.0489794482391499
