dataset,period,subset,membership,horizon_h,observed_targets,pairs,failures,raw_hits,normalized_hits,hit_change,raw_mae,normalized_mae,mae_change,raw_max,normalized_max,max_change
original,validation,all,original,1,6517,6479,38,6478,6478,0,0.022013911700025222,0.02201364866188811,-2.6303813711187063e-07,0.5943960587357431,0.5943960587357431,0.0
original,validation,all,original,2,6516,6477,39,6466,6468,2,0.03193842446827068,0.03191872676139778,-1.9697706872899567e-05,1.3024086910998092,1.292327796985405,-0.01008089411440416
original,validation,all,original,3,6515,6476,39,6444,6441,-3,0.04525957105840351,0.04548444641053118,0.00022487535212767362,1.537354044244438,1.576166597600027,0.038812553355588975
original,validation,all,original,4,6514,6474,40,6431,6432,1,0.06104765754702062,0.06123232267757822,0.00018466513055759998,1.8219056508267162,1.8541260734088905,0.03222042258217428
original,validation,all,original,5,6513,6473,40,6382,6382,0,0.07820434668385372,0.07752281677272503,-0.0006815299111286865,1.9219038154095536,1.959106180173876,0.03720236476432248
original,validation,all,original,6,6512,6472,40,6322,6330,8,0.09959606968428815,0.09958388259262083,-1.2187091667323346e-05,2.0157117770796145,1.9510723701301718,-0.0646394069494427
original,validation,all,original,7,6511,6471,40,6159,6167,8,0.13672023312714657,0.13569978282411607,-0.0010204503030304957,2.794810940153507,2.7603854994577866,-0.03442544069572051
original,validation,all,original,8,6510,6470,40,5980,5997,17,0.1737857161039854,0.17358653716331143,-0.00019917894067397746,2.692538070308298,2.690148971436266,-0.0023890988720323136
original,validation,all,original,9,6509,6470,39,5862,5852,-10,0.20975928763948337,0.21157762397551472,0.0018183363360313454,3.5173872091375897,3.5114932702595865,-0.005893938878003269
original,validation,all,original,10,6508,6468,40,5604,5590,-14,0.2647682161240813,0.26382707204097877,-0.0009411440831025297,3.441071344514551,3.429928328264767,-0.01114301624978431
original,validation,all,original,11,6507,6468,39,5352,5348,-4,0.3066261661079817,0.30647525916495494,-0.000150906943026774,3.9782715851312767,3.8569346113987977,-0.12133697373247898
original,validation,all,original,12,6506,6466,40,5249,5225,-24,0.3268582657649666,0.3281370062695423,0.0012787405045756595,3.717391928882293,3.648968540695506,-0.06842338818678684
original,validation,all,plus2020,1,6517,6479,38,6478,6478,0,0.021325470203991347,0.021325309191858408,-1.6101213293900907e-07,0.5597202429980985,0.5597202429980985,0.0
original,validation,all,plus2020,2,6516,6477,39,6467,6466,-1,0.034535605108054784,0.034206823936585584,-0.00032878117146920016,1.2825089321551792,1.2903949832562718,0.007886051101092528
original,validation,all,plus2020,3,6515,6476,39,6435,6435,0,0.052479042402043756,0.052976333739717316,0.0004972913376735597,1.5437613425998904,1.4097378439307717,-0.13402349866911867
original,validation,all,plus2020,4,6514,6474,40,6398,6405,7,0.0691378063439237,0.06874768131543231,-0.00039012502849139485,1.7827902731617415,1.700231612007255,-0.08255866115448662
original,validation,all,plus2020,5,6513,6473,40,6356,6349,-7,0.08870217529689338,0.08884842593746428,0.00014625064057090242,2.135641354700273,2.1155263286953767,-0.02011502600489612
original,validation,all,plus2020,6,6512,6472,40,6269,6281,12,0.10491230785389716,0.10470686928458256,-0.0002054385693145977,2.261363637376,2.1742000294398567,-0.08716360793614353
original,validation,all,plus2020,7,6511,6471,40,6196,6193,-3,0.1366269888266911,0.13642140543589937,-0.00020558339079174148,2.808859380844501,2.9570158059859573,0.14815642514145644
original,validation,all,plus2020,8,6510,6470,40,6063,6072,9,0.17592569270916875,0.17542182507909007,-0.0005038676300786749,3.2392303266477276,3.2373584988666737,-0.0018718277810538808
original,validation,all,plus2020,9,6509,6470,39,5870,5880,10,0.20792455646294256,0.2061987378610645,-0.0017258186018780652,3.2044479055913695,3.2764343759451457,0.07198647035377626
original,validation,all,plus2020,10,6508,6468,40,5635,5637,2,0.26378337585836337,0.26339084754699355,-0.0003925283113698219,2.901590375790006,2.8932482644552127,-0.008342111334793234
original,validation,all,plus2020,11,6507,6468,39,5477,5454,-23,0.2877927949924353,0.2876456865679105,-0.0001471084245248111,3.1950126269354304,3.1392932823467903,-0.05571934458864014
original,validation,all,plus2020,12,6506,6466,40,5325,5318,-7,0.3117734855676877,0.31085707730310785,-0.0009164082645798377,2.983797332415948,3.022678594415987,0.03888126200003894
original,validation,level_ge_7m,original,1,28,28,0,28,28,0,0.0666807029630848,0.0666807029630848,0.0,0.25365721478517145,0.25365721478517145,0.0
original,validation,level_ge_7m,original,2,28,28,0,28,28,0,0.11897886238198042,0.11874979650671791,-0.00022906587526251576,0.36191043129735867,0.3662419889911206,0.004331557693761923
