phase,profile,horizon_h,population,subset,reference,relation,observed_targets,pairs,failures,reference_hits,weighted_hits,hits_delta,reference_mae_m,weighted_mae_m,mae_m_delta,reference_bias_m,weighted_bias_m,bias_m_delta,reference_p98_abs_m,weighted_p98_abs_m,p98_abs_m_delta,reference_max_abs_m,weighted_max_abs_m,max_abs_m_delta
test,A,1,complete24,level_ge_7m,profile_A_control,matching_profile,144,144,0,144,144,0,0.055442801166581394,0.050416090425481154,-0.00502671074110024,0.00919925049033519,0.0016961895002585898,-0.0075030609900766,0.24315126317165353,0.3196614594925077,0.07651019632085415,0.41233080449643644,0.419699899913601,0.007369095417164573
test,A,1,complete24,level_ge_7m,profile_B_control,cross_profile,144,144,0,144,144,0,0.058889196649375565,0.050416090425481154,-0.008473106223894411,-0.0003785530509610477,0.0016961895002585898,0.0020747425512196377,0.3782499166329646,0.3196614594925077,-0.05858845714045691,0.4303116973062888,0.419699899913601,-0.010611797392687805
test,A,1,missing24,all,mixed_profile_candidate,primary_weight_9m,594,589,5,583,584,1,0.05864261690320395,0.05645730381643771,-0.0021853130867662413,0.0028873984516206205,-0.0020497501201451806,-0.004937148571765801,0.3450497054481585,0.32612942043214355,-0.01892028501601495,1.141419228155974,1.1735919883856756,0.0321727602297015
test,A,1,missing24,all,profile_A_control,matching_profile,594,589,5,583,584,1,0.05233542855779558,0.05645730381643771,0.0041218752586421326,-0.001260505686186085,-0.0020497501201451806,-0.0007892444339590956,0.30304356193663556,0.32612942043214355,0.023085858495507983,1.2985394062094997,1.1735919883856756,-0.12494741782382413
test,A,1,missing24,all,profile_B_control,cross_profile,594,589,5,575,584,9,0.07226160773529214,0.05645730381643771,-0.01580430391885443,0.004817843951704128,-0.0020497501201451806,-0.006867594071849309,0.549141731456145,0.32612942043214355,-0.22301231102400143,1.1376505785463262,1.1735919883856756,0.03594140983934935
test,A,1,missing24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,93,92,1,87,87,0,0.11919864681365469,0.1198067914872901,0.0006081446736354162,0.005092434963501487,-0.0015092024276068816,-0.006601637391108368,0.8242910444531536,0.8538905163375655,0.02959947188441192,1.141419228155974,1.1735919883856756,0.0321727602297015
test,A,1,missing24,level_ge_7m,profile_A_control,matching_profile,93,92,1,86,87,1,0.1278101843676642,0.1198067914872901,-0.008003392880374091,-0.003295252037427247,-0.0015092024276068816,0.0017860496098203653,0.9799900488125015,0.8538905163375655,-0.126099532474936,1.2985394062094997,1.1735919883856756,-0.12494741782382413
test,A,1,missing24,level_ge_7m,profile_B_control,cross_profile,93,92,1,87,87,0,0.10687189056822423,0.1198067914872901,0.012934900919065878,-0.007329866621126094,-0.0015092024276068816,0.0058206641935192125,0.8088713084859145,0.8538905163375655,0.04501920785165103,1.1376505785463262,1.1735919883856756,0.03594140983934935
test,A,2,full_schedule,all,mixed_profile_candidate,primary_weight_9m,1943,1936,7,1895,1895,0,0.0875271938439811,0.08885471694119201,0.001327523097210917,0.011391082081633634,0.011128177160281133,-0.0002629049213525008,0.5088748763256037,0.5107956227333053,0.001920746407701568,2.35798379080882,2.3601731142121523,0.0021893234033321107
test,A,2,full_schedule,all,profile_A_control,matching_profile,1943,1936,7,1915,1895,-20,0.06470988559156808,0.08885471694119201,0.024144831349623933,0.0039223171572363566,0.011128177160281133,0.007205860003044777,0.3688797265165805,0.5107956227333053,0.14191589621672474,2.430986906354253,2.3601731142121523,-0.0708137921421006
test,A,2,full_schedule,all,profile_B_control,cross_profile,1943,1936,7,1865,1895,30,0.11406009111190221,0.08885471694119201,-0.0252053741707102,0.01252278220881248,0.011128177160281133,-0.0013946050485313475,0.6898452617630729,0.5107956227333053,-0.17904963902976767,2.3364175247165386,2.3601731142121523,0.023755589495613627
test,A,2,full_schedule,level_ge_7m,mixed_profile_candidate,primary_weight_9m,237,236,1,225,226,1,0.13368154358694637,0.13718425810800955,0.0035027145210631827,-0.016494687570648987,-0.01770890064098577,-0.0012142130703367837,0.7447002771129736,0.7307828977304471,-0.013917379382526462,2.35798379080882,2.3601731142121523,0.0021893234033321107
test,A,2,full_schedule,level_ge_7m,profile_A_control,matching_profile,237,236,1,225,226,1,0.1420297534699279,0.13718425810800955,-0.004845495361918362,-0.01521221496331502,-0.01770890064098577,-0.0024966856776707513,0.6927020057861919,0.7307828977304471,0.038080891944255235,2.430986906354253,2.3601731142121523,-0.0708137921421006
test,A,2,full_schedule,level_ge_7m,profile_B_control,cross_profile,237,236,1,226,226,0,0.13583696487566047,0.13718425810800955,0.0013472932323490838,-0.020765015388159645,-0.01770890064098577,0.0030561147471738735,0.7101871283579573,0.7307828977304471,0.02059576937248986,2.3364175247165386,2.3601731142121523,0.023755589495613627
test,A,2,complete24,all,mixed_profile_candidate,primary_weight_9m,1348,1348,0,1326,1327,1,0.0816756776076114,0.08245048199851686,0.0007748043909054647,0.012725536496433798,0.01151941081512347,-0.0012061256813103282,0.41502423933591587,0.413741520688368,-0.0012827186475478647,0.9929772418768914,1.0214379006260959,0.02846065874920445
test,A,2,complete24,all,profile_A_control,matching_profile,1348,1348,0,1344,1327,-17,0.05291251719277879,0.08245048199851686,0.029537964805738066,0.005210753638610464,0.01151941081512347,0.006308657176513005,0.2678823640126271,0.413741520688368,0.1458591566757409,0.6439704232183767,1.0214379006260959,0.37746747740771913
test,A,2,complete24,all,profile_B_control,cross_profile,1348,1348,0,1314,1327,13,0.10562542625149562,0.08245048199851686,-0.023174944252978766,0.013599392780654565,0.01151941081512347,-0.002079981965531096,0.5244956615891607,0.413741520688368,-0.11075414090079272,1.189884159398604,1.0214379006260959,-0.16844625877250818
test,A,2,complete24,level_ge_7m,mixed_profile_candidate,primary_weight_9m,143,143,0,142,143,1,0.08185628634492033,0.0822446350379297,0.0003883486930093688,-0.0026010805416226013,-0.007022773044228266,-0.004421692502605665,0.3904999810928229,0.3394446802154928,-0.05105530087733012,0.5127623059546487,0.4296656147668596,-0.08309669118778906
test,A,2,complete24,level_ge_7m,profile_A_control,matching_profile,143,143,0,142,143,1,0.09258772384609314,0.0822446350379297,-0.01034308880816344,0.00046605102477010745,-0.007022773044228266,-0.007488824068998374,0.40353061655940614,0.3394446802154928,-0.06408593634391335,0.5105362240356985,0.4296656147668596,-0.08087060926883893
test,A,2,complete24,level_ge_7m,profile_B_control,cross_profile,143,143,0,142,143,1,0.09340529719708594,0.0822446350379297,-0.011160662159156245,0.0018082555762108032,-0.007022773044228266,-0.00883102862043907,0.4370129997258335,0.3394446802154928,-0.09756831951034073,0.5901278640543755,0.4296656147668596,-0.16046224928751585
test,A,2,missing24,all,mixed_profile_candidate,primary_weight_9m,595,588,7,569,568,-1,0.10094189433144085,0.10353653446283506,0.0025946401313942102,0.008331822640901286,0.010231267352921493,0.0018994447120202068,0.5849392272179951,0.5952549854971155,0.010315758279120457,2.35798379080882,2.3601731142121523,0.0021893234033321107
