phase,profile,horizon_h,family,observed_level_band,scheduled_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,B,1,flood_weight_7m,below_7m,1707,0,1707,1704,3,1701,64.1011964762412,0.037618073049437324,-0.0020838591307788417,0.5964992584867777
test,B,1,flood_weight_7m,7_to_9m,120,0,120,120,0,119,7.276319934174168,0.0606359994514514,-0.02502372697870059,1.5507374725372056
test,B,1,flood_weight_7m,ge_9m,117,0,117,116,1,111,16.93852107519681,0.14602173340686905,0.034160338852502845,1.4876966709193384
test,B,1,flood_weight_7m,unknown,23,23,0,0,0,0,0.0,,,
test,B,2,profile_A_control,below_7m,1706,0,1706,1701,5,1687,133.94109814727983,0.07874256210892407,-0.004502797797774051,1.3389956780400825
test,B,2,profile_A_control,7_to_9m,120,0,120,120,0,117,16.813062185908663,0.14010885154923886,-0.04223411069137587,2.1432656453085928
test,B,2,profile_A_control,ge_9m,117,0,117,116,1,100,33.87987929172051,0.2920679249286251,0.025413844141615457,2.810986906354252
test,B,2,profile_A_control,unknown,23,23,0,0,0,0,0.0,,,
test,B,2,profile_B_control,below_7m,1706,0,1706,1701,5,1692,100.12742082860959,0.058863857042098525,0.008514662932657511,0.6455984636648031
test,B,2,profile_B_control,7_to_9m,120,0,120,120,0,118,10.667917371724542,0.08889931143103785,-0.04870876376485732,1.7277635316889892
test,B,2,profile_B_control,ge_9m,117,0,117,116,1,100,29.58303574759425,0.25502617023788143,0.011348009724934948,2.721435573404227
test,B,2,profile_B_control,unknown,23,23,0,0,0,0,0.0,,,
test,B,2,mixed_profile_candidate,below_7m,1706,0,1706,1701,5,1693,91.02910369966185,0.05351505214559779,0.0024980052486772387,0.9516704295118958
test,B,2,mixed_profile_candidate,7_to_9m,120,0,120,120,0,119,12.196752370858066,0.10163960309048388,-0.050574455635821816,1.8104172643797565
test,B,2,mixed_profile_candidate,ge_9m,117,0,117,116,1,103,30.04849474569977,0.25903874780775665,0.012225548529091558,2.7234645501539516
test,B,2,mixed_profile_candidate,unknown,23,23,0,0,0,0,0.0,,,
test,B,2,flood_weight_7m,below_7m,1706,0,1706,1701,5,1694,94.09848831965898,0.05531951106387947,0.0035523320301829777,0.8780277945195212
