phase,profile,horizon_h,observed_level_band,pairs,gained,lost,net_hits
validation,A,10,unknown,0,0,0,0
validation,A,11,below_7m,6440,120,142,-22
validation,A,11,7_to_9m,25,3,2,1
validation,A,11,ge_9m,3,0,1,-1
validation,A,11,unknown,0,0,0,0
validation,A,12,below_7m,6438,181,101,80
validation,A,12,7_to_9m,25,2,4,-2
validation,A,12,ge_9m,3,0,0,0
validation,A,12,unknown,0,0,0,0
validation,B,1,below_7m,6460,0,0,0
validation,B,1,7_to_9m,25,0,0,0
validation,B,1,ge_9m,3,0,0,0
validation,B,1,unknown,0,0,0,0
validation,B,2,below_7m,6459,1,0,1
validation,B,2,7_to_9m,25,0,0,0
validation,B,2,ge_9m,3,0,0,0
validation,B,2,unknown,0,0,0,0
validation,B,3,below_7m,6459,5,4,1
validation,B,3,7_to_9m,25,0,0,0
validation,B,3,ge_9m,3,0,0,0
validation,B,3,unknown,0,0,0,0
validation,B,4,below_7m,6456,16,4,12
validation,B,4,7_to_9m,25,0,0,0
validation,B,4,ge_9m,3,0,0,0
validation,B,4,unknown,0,0,0,0
validation,B,5,below_7m,6455,7,22,-15
validation,B,5,7_to_9m,25,3,0,3
validation,B,5,ge_9m,3,0,0,0
validation,B,5,unknown,0,0,0,0
validation,B,6,below_7m,6454,18,18,0
validation,B,6,7_to_9m,25,0,1,-1
validation,B,6,ge_9m,3,0,0,0
validation,B,6,unknown,0,0,0,0
validation,B,7,below_7m,6453,37,41,-4
validation,B,7,7_to_9m,25,2,2,0
validation,B,7,ge_9m,3,0,1,-1
validation,B,7,unknown,0,0,0,0
validation,B,8,below_7m,6452,57,92,-35
validation,B,8,7_to_9m,25,0,2,-2
validation,B,8,ge_9m,3,0,0,0
validation,B,8,unknown,0,0,0,0
validation,B,9,below_7m,6451,92,92,0
validation,B,9,7_to_9m,25,0,2,-2
validation,B,9,ge_9m,3,0,1,-1
validation,B,9,unknown,0,0,0,0
validation,B,10,below_7m,6450,107,137,-30
validation,B,10,7_to_9m,25,0,2,-2
validation,B,10,ge_9m,3,0,2,-2
validation,B,10,unknown,0,0,0,0
validation,B,11,below_7m,6449,106,153,-47
validation,B,11,7_to_9m,25,2,3,-1
validation,B,11,ge_9m,3,0,1,-1
validation,B,11,unknown,0,0,0,0
validation,B,12,below_7m,6448,167,83,84
validation,B,12,7_to_9m,25,2,2,0
validation,B,12,ge_9m,3,0,0,0
validation,B,12,unknown,0,0,0,0
