phase,horizon_h,subset,population,family,scheduled_rows,observed_targets,n,failures,hits,hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
validation,4,all,missing24,augmented,636,634,594,40,575,0.968013468013468,0.9069400630914827,0.11515104915022856,0.03903290960597256,0.5959542327257723,1.2069532064086455
validation,4,level_ge_7m,full_schedule,observed_control,6548,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16646123882897323,0.001845246880732779,0.532564298850716,0.560207741268413
validation,4,level_ge_7m,full_schedule,augmented,6548,28,28,0,26,0.9285714285714286,0.9285714285714286,0.24035275354071603,0.17677014017609885,0.8219883985171228,0.8487322721377595
validation,4,level_ge_7m,complete24,observed_control,5912,28,28,0,26,0.9285714285714286,0.9285714285714286,0.16646123882897323,0.001845246880732779,0.532564298850716,0.560207741268413
validation,4,level_ge_7m,complete24,augmented,5912,28,28,0,26,0.9285714285714286,0.9285714285714286,0.24035275354071603,0.17677014017609885,0.8219883985171228,0.8487322721377595
validation,4,level_ge_7m,missing24,observed_control,636,0,0,0,0,,,,,,
validation,4,level_ge_7m,missing24,augmented,636,0,0,0,0,,,,,,
validation,5,all,full_schedule,observed_control,6547,6513,6473,40,6382,0.9859416035841186,0.9798863810839858,0.07820434668385372,0.014678548804149129,0.4203568296547843,1.9219038154095536
validation,5,all,full_schedule,augmented,6547,6513,6473,40,6360,0.9825428703846748,0.976508521418701,0.08697678765713036,0.021944744693892453,0.4651973840094004,2.5442342290228357
validation,5,all,complete24,observed_control,5912,5883,5883,0,5837,0.9921808601053884,0.9921808601053884,0.06794901057723474,0.0077014233809033755,0.3476726057691846,1.9219038154095536
validation,5,all,complete24,augmented,5912,5883,5883,0,5813,0.9881013088560259,0.9881013088560259,0.0798663646435545,0.02091208603956697,0.39382262384478717,2.5442342290228357
validation,5,all,missing24,observed_control,635,630,590,40,545,0.923728813559322,0.8650793650793651,0.180462215014768,0.08424876721932674,0.7453921331758218,1.2266591094999009
validation,5,all,missing24,augmented,635,630,590,40,547,0.9271186440677966,0.8682539682539683,0.15787614119758253,0.032241576665751406,0.8380493918735472,1.4351334982580688
validation,5,level_ge_7m,full_schedule,observed_control,6547,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2291228510791504,0.009423592718073819,0.7287224414582616,0.7553061347974745
validation,5,level_ge_7m,full_schedule,augmented,6547,28,28,0,25,0.8928571428571429,0.8928571428571429,0.32542695173315384,0.3073940587904867,1.1650859520706192,1.2353311810489425
validation,5,level_ge_7m,complete24,observed_control,5912,28,28,0,25,0.8928571428571429,0.8928571428571429,0.2291228510791504,0.009423592718073819,0.7287224414582616,0.7553061347974745
validation,5,level_ge_7m,complete24,augmented,5912,28,28,0,25,0.8928571428571429,0.8928571428571429,0.32542695173315384,0.3073940587904867,1.1650859520706192,1.2353311810489425
validation,5,level_ge_7m,missing24,observed_control,635,0,0,0,0,,,,,,
validation,5,level_ge_7m,missing24,augmented,635,0,0,0,0,,,,,,
validation,6,all,full_schedule,observed_control,6546,6512,6472,40,6322,0.9768232385661311,0.9708230958230958,0.09959606968428815,0.015818056626594208,0.521216742955346,2.0157117770796145
validation,6,all,full_schedule,augmented,6546,6512,6472,40,6294,0.9724969097651421,0.9665233415233415,0.10501586290493072,0.03028299508902919,0.5833494334881899,2.7535370106891737
validation,6,all,complete24,observed_control,5912,5881,5881,0,5788,0.9841863628634586,0.9841863628634586,0.08955848593583714,0.011826010651543673,0.43268006928695163,2.0157117770796145
validation,6,all,complete24,augmented,5912,5881,5881,0,5768,0.9807855806835573,0.9807855806835573,0.0948641533060938,0.025603312850347688,0.49200566269582824,2.7535370106891737
validation,6,all,missing24,observed_control,634,631,591,40,534,0.9035532994923858,0.8462757527733756,0.19947936921836668,0.05554262918035423,0.9151751725811162,1.2704077599448484
validation,6,all,missing24,augmented,634,631,591,40,526,0.8900169204737732,0.8335974643423137,0.20603482085883934,0.0768501883981424,0.9575051616262082,1.3966107931490892
validation,6,level_ge_7m,full_schedule,observed_control,6546,28,28,0,24,0.8571428571428571,0.8571428571428571,0.2587119452642057,-0.04575799295960744,0.894448299163738,1.0962896884715265
validation,6,level_ge_7m,full_schedule,augmented,6546,28,28,0,18,0.6428571428571429,0.6428571428571429,0.5312876350232505,0.48120607609669325,1.6375307625223328,2.106793462509512
