source,lead_h,family,phase,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
julho,5,tree_level,test,high_flow,271,785.0949663975789,-636.0150348816594,2110.1563426676244
julho,6,ridge_reference,validation,all,6546,91.87482486016397,15.349135477783468,227.2742125382864
julho,6,ridge_reference,validation,high_flow,28,249.41506111704535,-32.00870825004625,498.2794908369593
julho,6,ridge_reference,test,all,1962,189.36545227364064,-7.081513902982244,318.4865133693754
julho,6,ridge_reference,test,high_flow,271,459.587434411649,-158.8047786547275,828.6420168803232
julho,6,tree_delta,validation,all,6546,74.8786303326655,-4.248821994555425,175.04175563807547
julho,6,tree_delta,validation,high_flow,28,308.45412994124496,-95.12332899804788,627.1412498216131
julho,6,tree_delta,test,all,1962,165.674070962926,-0.8740102506813117,304.43491262068585
julho,6,tree_delta,test,high_flow,271,411.5743308878569,-60.76997867139333,946.8482084145813
julho,6,tree_level,validation,all,6546,79.70369023598317,24.436558741014835,173.88096527603426
julho,6,tree_level,validation,high_flow,28,1059.273339061782,1059.273339061782,1511.4443425390132
julho,6,tree_level,test,all,1962,218.28493178297757,-57.42916544100345,331.5308551693688
julho,6,tree_level,test,high_flow,271,816.7664723889311,-657.2427353442652,2161.245069863308
julho,7,ridge_reference,validation,all,6545,100.23852490380028,19.501065528908693,248.721122462456
julho,7,ridge_reference,validation,high_flow,28,291.31094075350325,-6.630618170692442,540.5360880042381
julho,7,ridge_reference,test,all,1961,204.91709209019484,-10.649045829958288,333.3483510253945
julho,7,ridge_reference,test,high_flow,271,515.0257555348941,-188.6805832214149,917.1653741544148
julho,7,tree_delta,validation,all,6545,80.36641918556904,-4.890919976622289,185.08284163403985
julho,7,tree_delta,validation,high_flow,28,398.60355482934494,-156.13321515825868,804.6967968082388
julho,7,tree_delta,test,all,1961,175.63719641468674,1.5567810933989694,308.400560938892
julho,7,tree_delta,test,high_flow,271,502.22233990465116,-109.85881966534136,1169.1445986459792
julho,7,tree_level,validation,all,6545,81.44758260428256,23.911168778859707,169.7572814131224
julho,7,tree_level,validation,high_flow,28,1142.8244244150935,1142.8244244150935,1818.5920413558204
julho,7,tree_level,test,all,1961,234.3750863577659,-54.436852431768564,377.41354491432656
julho,7,tree_level,test,high_flow,271,887.7600218015601,-684.9174477707602,2142.3660802519125
julho,8,ridge_reference,validation,all,6544,107.78930567842053,24.585396474842938,259.81823532397084
julho,8,ridge_reference,validation,high_flow,28,338.5975769324695,13.980643559379681,644.5253317930024
julho,8,ridge_reference,test,all,1960,217.52222879116616,-14.806456885318738,342.7395072706678
julho,8,ridge_reference,test,high_flow,271,563.6511925148726,-219.22150021677794,1051.004174200099
julho,8,tree_delta,validation,all,6544,85.59863785924345,-3.8397422881022902,193.42928516887213
julho,8,tree_delta,validation,high_flow,28,528.181717895254,-83.56626882404417,956.3802760029982
julho,8,tree_delta,test,all,1960,179.34481536050265,-2.340493558483227,298.3541132365081
julho,8,tree_delta,test,high_flow,271,536.8279446892585,-111.43826308608632,1224.2217981020492
julho,8,tree_level,validation,all,6544,90.7676450102246,36.81555284664051,175.07760599526307
julho,8,tree_level,validation,high_flow,28,1656.7823814640794,1656.7823814640794,2452.3232034923267
julho,8,tree_level,test,all,1960,247.68531469308476,-61.266500095526354,397.9930991718357
julho,8,tree_level,test,high_flow,271,946.5518831873796,-730.8286959712877,2472.3033465421004
julho,9,ridge_reference,validation,all,6543,114.44567881747525,28.152701837843924,270.11532438716193
julho,9,ridge_reference,validation,high_flow,28,405.53230004188197,79.14267451226247,688.5488129137475
julho,9,ridge_reference,test,all,1959,227.0794091187324,-19.03485476938394,353.3912639949295
julho,9,ridge_reference,test,high_flow,271,609.4159283509719,-251.82754349432628,1276.735687892665
julho,9,tree_delta,validation,all,6543,83.46116736683368,13.156317268977666,172.1905090450845
julho,9,tree_delta,validation,high_flow,28,549.1121055390839,-6.65636836286933,957.8495668359873
julho,9,tree_delta,test,all,1959,190.47580000929705,-12.842321029646628,309.35805062417654
julho,9,tree_delta,test,high_flow,271,595.217445830237,-153.13464547959586,1459.61708341728
julho,9,tree_level,validation,all,6543,93.95277376111116,39.7953382692913,176.31438901621624
julho,9,tree_level,validation,high_flow,28,1667.694683643777,1667.694683643777,2570.1195884650606
julho,9,tree_level,test,all,1959,247.402522587262,-85.78481690275638,431.505312893296
julho,9,tree_level,test,high_flow,271,979.7947976440024,-774.8304734416151,2575.265692963999
julho,10,ridge_reference,validation,all,6542,120.16983043432101,31.681445169777884,275.9360092829522
julho,10,ridge_reference,validation,high_flow,28,497.4095309754929,149.65107676226634,937.0762193087589
julho,10,ridge_reference,test,all,1958,236.38021489261175,-24.084292347128102,367.3417451802262
julho,10,ridge_reference,test,high_flow,271,665.3661568404963,-291.90578160156076,1570.6415899377957
julho,10,tree_delta,validation,all,6542,83.47861306339752,13.399381055669545,175.7797651504537
julho,10,tree_delta,validation,high_flow,28,592.1304658868055,20.430069254330835,1071.053969667039
julho,10,tree_delta,test,all,1958,202.61853750055937,-16.52747527806655,304.87430057974234
julho,10,tree_delta,test,high_flow,271,685.3360214506346,-193.69453526394605,1628.378725706769
julho,10,tree_level,validation,all,6542,94.61248011229543,38.427880010797224,181.33071696189953
julho,10,tree_level,validation,high_flow,28,2019.7115747729827,2019.7115747729827,3092.1960402039704
julho,10,tree_level,test,all,1958,271.16292903333107,-78.53747924739811,500.8254724008175
julho,10,tree_level,test,high_flow,271,1041.9016797795152,-801.727203258642,2688.959566388152
julho,11,ridge_reference,validation,all,6541,124.46143481185847,36.62644026393301,281.50885098042505
julho,11,ridge_reference,validation,high_flow,28,608.8678821200199,235.35442457711522,1154.9681973786592
julho,11,ridge_reference,test,all,1957,246.35988560412352,-29.179438075023615,376.723831523761
julho,11,ridge_reference,test,high_flow,271,729.8799581223853,-328.6906148763272,1854.1446555071027
julho,11,tree_delta,validation,all,6541,78.75693577403416,14.072703832548218,168.65554688630098
julho,11,tree_delta,validation,high_flow,28,604.2088702222193,174.6095589047123,1090.627515490673
julho,11,tree_delta,test,all,1957,216.12816743509504,-18.669594533937055,325.31198683786425
julho,11,tree_delta,test,high_flow,271,749.2216810616169,-215.13223512861882,1816.0443827224726
julho,11,tree_level,validation,all,6541,96.25951583948583,41.23551438598608,181.9074831515325
julho,11,tree_level,validation,high_flow,28,1899.4340622867746,1899.4340622867746,2834.1111964741067
julho,11,tree_level,test,all,1957,268.0528168346569,-91.01140363817643,466.7025898056692
julho,11,tree_level,test,high_flow,271,1065.2827102145084,-819.6305849773573,2756.4121980273662
carreiro,0,ridge_reference,validation,all,6253,1.7002517226004359,-0.07568697215702135,3.7503244204040374
carreiro,0,ridge_reference,validation,high_flow,27,11.20233914202531,-0.841902362707051,23.067862174172582
carreiro,0,ridge_reference,test,all,1703,5.614341450636123,-2.6636075325171276,7.909062451757187
carreiro,0,ridge_reference,test,high_flow,241,22.586819009306918,-19.18658720408506,13.535565607387223
carreiro,0,tree_delta,validation,all,6253,1.1407950022083355,-0.062093342031718415,2.0000000000000018
carreiro,0,tree_delta,validation,high_flow,27,8.52908256526761,-4.5660416488286,15.918094471746304
carreiro,0,tree_delta,test,all,1703,5.061913670474595,-2.932313109240187,6.807215665496446
carreiro,0,tree_delta,test,high_flow,241,24.569826947874997,-18.880848434915205,22.92036691279975
carreiro,0,tree_level,validation,all,6253,2.1089138859593457,0.97964561686646,4.242960022766347
carreiro,0,tree_level,validation,high_flow,27,41.633161567985994,40.86886457173206,73.40497647387079
carreiro,0,tree_level,test,all,1703,21.404440899533856,-16.311615477800157,22.628045822099814
carreiro,0,tree_level,test,high_flow,241,129.7338089482896,-119.90835415814203,437.5646497459219
carreiro,1,ridge_reference,validation,all,6251,4.922442137226846,0.003050355571906979,17.221117556025384
carreiro,1,ridge_reference,validation,high_flow,27,31.472757641425957,2.2462343049811615,66.86534788834719
carreiro,1,ridge_reference,test,all,1699,11.73371734507158,-3.115149075880112,21.978258345389875
carreiro,1,ridge_reference,test,high_flow,240,34.280133863826634,-26.172544126093726,44.059753727549456
carreiro,1,tree_delta,validation,all,6251,3.7371063629017702,-0.407788803747688,17.64
carreiro,1,tree_delta,validation,high_flow,27,27.0406012763026,-13.741574124895966,52.111079522582685
carreiro,1,tree_delta,test,all,1699,9.638283220693388,-4.690298896347024,21.350000000000005
carreiro,1,tree_delta,test,high_flow,240,40.99226490686486,-28.30747473493585,62.395874695423885
carreiro,1,tree_level,validation,all,6251,5.110768037265621,1.8174400900301182,19.35594895137943
carreiro,1,tree_level,validation,high_flow,27,117.84262392980266,115.45694979242684,180.7746108590769
carreiro,1,tree_level,test,all,1699,20.05730572218785,-12.219211526224209,31.603087942260245
carreiro,1,tree_level,test,high_flow,240,100.40450673562785,-92.17375493821143,289.6346625969003
carreiro,2,ridge_reference,validation,all,6249,7.71091653262537,0.23405242608781587,23.364931088848703
carreiro,2,ridge_reference,validation,high_flow,27,50.97099220810991,7.528673850610795,108.31151607593048
carreiro,2,ridge_reference,test,all,1695,17.117267624307022,-3.577431488864975,29.00466609462133
carreiro,2,ridge_reference,test,high_flow,239,44.51002919826544,-33.61027802545096,72.7275575695883
carreiro,2,tree_delta,validation,all,6249,6.0586931507979225,-0.18102793252065813,23.48116352098545
carreiro,2,tree_delta,validation,high_flow,27,38.25100164743134,-3.348770248232684,78.99708647855327
carreiro,2,tree_delta,test,all,1695,13.152478480981854,-4.41376219453665,26.17900000000002
carreiro,2,tree_delta,test,high_flow,239,50.826336208640946,-26.17602910171142,110.0470913164047
carreiro,2,tree_level,validation,all,6249,7.569473969161956,1.8445223316843558,23.814540454758145
carreiro,2,tree_level,validation,high_flow,27,134.65816808167386,133.6387700293658,196.00205331984802
carreiro,2,tree_level,test,all,1695,24.082615790515195,-13.738046349964641,45.675508080435606
carreiro,2,tree_level,test,high_flow,239,114.41516873064907,-108.04356113803036,330.7142651604332
carreiro,3,ridge_reference,validation,all,6246,10.149876688983467,0.5692994903402786,25.99591526098567
carreiro,3,ridge_reference,validation,high_flow,27,63.83487553194264,16.674833656267158,138.55291146125847
carreiro,3,ridge_reference,test,all,1691,22.13911278733309,-4.149263341393121,36.49922953146739
carreiro,3,ridge_reference,test,high_flow,238,55.24236174631296,-41.7828121446396,99.8523546302736
carreiro,3,tree_delta,validation,all,6246,8.21090853962319,-0.06902388136906173,25.059939747266373
carreiro,3,tree_delta,validation,high_flow,27,52.649203882119295,20.445484140701463,97.19906390247982
carreiro,3,tree_delta,test,all,1691,16.174377273414247,-6.548827293109832,32.31946608240149
carreiro,3,tree_delta,test,high_flow,238,57.084361519292905,-36.70528259180369,117.26795014838639
carreiro,3,tree_level,validation,all,6246,9.93814312237141,2.487998746974868,24.68904692720621
carreiro,3,tree_level,validation,high_flow,27,151.0131557786234,151.0131557786234,219.78420425657467
carreiro,3,tree_level,test,all,1691,27.895314712754793,-18.903024919283634,46.75706767667054
carreiro,3,tree_level,test,high_flow,238,133.67586899595582,-130.22442221394064,420.5100895390361
carreiro,4,ridge_reference,validation,all,6243,12.297091187169553,0.9992027730424573,28.26
carreiro,4,ridge_reference,validation,high_flow,27,72.56736696202593,25.404128320977513,163.2243769807882
carreiro,4,ridge_reference,test,all,1687,26.673355666407964,-4.955385951228133,44.57591579111195
carreiro,4,ridge_reference,test,high_flow,237,65.53207683876958,-50.34835629262721,121.75128356398467
carreiro,4,tree_delta,validation,all,6243,9.96328011408985,-0.4779708389215704,25.7
carreiro,4,tree_delta,validation,high_flow,27,73.92366638474007,12.613916014464346,117.43167381649458
carreiro,4,tree_delta,test,all,1687,19.71768903601694,-6.984854607272966,39.55370065841295
carreiro,4,tree_delta,test,high_flow,237,67.87612130394999,-39.41047854477023,173.19214903870687
carreiro,4,tree_level,validation,all,6243,11.430294188597681,1.1440199109055285,25.651898955831697
carreiro,4,tree_level,validation,high_flow,27,171.75331884245475,171.75331884245475,265.9619519766702
carreiro,4,tree_level,test,all,1687,30.774773478756178,-18.25244775809769,53.88116482522984
carreiro,4,tree_level,test,high_flow,237,132.50009529343322,-127.55400901097326,386.8187110538834
carreiro,5,ridge_reference,validation,all,6241,14.124644179618816,1.4340810006317402,31.443553324738602
carreiro,5,ridge_reference,validation,high_flow,27,83.78302619467233,36.51919746045574,199.11478087674914
carreiro,5,ridge_reference,test,all,1684,30.155697277674093,-5.822258205808267,49.789876584781574
carreiro,5,ridge_reference,test,high_flow,236,73.25407858649406,-56.608627826077566,141.58506309446096
carreiro,5,tree_delta,validation,all,6241,11.214702258116363,-1.4828218734402152,26.3
carreiro,5,tree_delta,validation,high_flow,27,84.03793529671222,8.162933254647104,148.49367491244456
carreiro,5,tree_delta,test,all,1684,22.643317670889058,-7.9457666489334455,44.831497707352966
carreiro,5,tree_delta,test,high_flow,236,76.91865305916382,-45.90837805031178,186.97980842307936
carreiro,5,tree_level,validation,all,6241,12.928737007502553,0.7043217783655015,25.66125133425771
carreiro,5,tree_level,validation,high_flow,27,224.86871931922903,224.86871931922903,302.6410051060382
carreiro,5,tree_level,test,all,1684,34.15666436480075,-16.781433737589,61.35216377366342
carreiro,5,tree_level,test,high_flow,236,136.46575639261513,-131.27962916001474,404.33485050593583
carreiro,6,ridge_reference,validation,all,6239,15.842683661308614,1.879438233110899,35.125038524298354
carreiro,6,ridge_reference,validation,high_flow,27,94.9768776979142,48.18906975780598,211.14105539750025
carreiro,6,ridge_reference,test,all,1681,33.16202708365879,-6.901929112707524,54.15873532689293
carreiro,6,ridge_reference,test,high_flow,235,81.37698216389536,-63.13338263624834,170.40649233834543
carreiro,6,tree_delta,validation,all,6239,12.043522458148624,-2.377753547272965,26.801588473838557
carreiro,6,tree_delta,validation,high_flow,27,106.5987704262692,14.890976372323959,181.49074630419426
carreiro,6,tree_delta,test,all,1681,25.60445534714871,-10.676358940269106,46.42544002060821
carreiro,6,tree_delta,test,high_flow,235,87.11051507219229,-59.202675773596155,214.1483097139908
carreiro,6,tree_level,validation,all,6239,13.36348604006311,1.023507754064687,27.700521238889554
carreiro,6,tree_level,validation,high_flow,27,183.30779797052293,183.30779797052293,298.94125380836937
carreiro,6,tree_level,test,all,1681,37.67370876333421,-20.229034315688825,69.09440593979565
carreiro,6,tree_level,test,high_flow,235,150.2756409877011,-146.27154355264352,462.51428946482037
carreiro,7,ridge_reference,validation,all,6238,17.259714879905342,2.348918054369734,38.14789285147158
carreiro,7,ridge_reference,validation,high_flow,27,107.27416128356772,58.69893122294889,225.58743143624378
carreiro,7,ridge_reference,test,all,1678,37.20209948289159,-8.094570264869471,60.25297960427612
carreiro,7,ridge_reference,test,high_flow,234,94.33315875347958,-74.60904735358717,219.1785152154492
carreiro,7,tree_delta,validation,all,6238,12.868890542547812,-2.338200853139231,28.001437849651808
carreiro,7,tree_delta,validation,high_flow,27,129.19200907609945,5.680173075361188,209.0809171514933
carreiro,7,tree_delta,test,all,1678,27.385908072149434,-10.912402526976914,47.6983058888523
carreiro,7,tree_delta,test,high_flow,234,93.1064880816536,-61.864228057711586,263.77928414447285
carreiro,7,tree_level,validation,all,6238,14.32919863387664,2.22470946689328,27.937010834009858
carreiro,7,tree_level,validation,high_flow,27,163.06105522815983,157.0276244905121,307.68604627257446
carreiro,7,tree_level,test,all,1678,41.059211296282825,-21.544744323081254,74.97779089671467
carreiro,7,tree_level,test,high_flow,234,161.79250186947607,-160.0551507921425,482.96232518709746
carreiro,8,ridge_reference,validation,all,6236,18.390829066876545,2.8786549960670587,40.44633671866862
carreiro,8,ridge_reference,validation,high_flow,27,111.73468706085222,65.52500028259367,237.7675147310471
carreiro,8,ridge_reference,test,all,1675,39.93830322278624,-9.374274114211914,65.08318868848315
carreiro,8,ridge_reference,test,high_flow,233,103.32601804444727,-82.50639680721626,260.7288518008593
carreiro,8,tree_delta,validation,all,6236,13.506905327958625,-2.608934920617184,29.549321212444376
carreiro,8,tree_delta,validation,high_flow,27,144.94181169012566,18.187904821044626,206.63372781878468
carreiro,8,tree_delta,test,all,1675,29.408525173964176,-13.567440359808732,48.40236991167371
carreiro,8,tree_delta,test,high_flow,233,103.15128263158961,-77.1135450351223,317.6955467547537
carreiro,8,tree_level,validation,all,6236,15.93525118562649,2.4562147758141566,29.240485190897854
carreiro,8,tree_level,validation,high_flow,27,228.63036213435873,204.26342842460866,370.1977226367795
carreiro,8,tree_level,test,all,1675,44.252973161200124,-23.39032823530659,82.60826762019269
carreiro,8,tree_level,test,high_flow,233,172.1893851389432,-170.72862631813985,513.6120907003774
carreiro,9,ridge_reference,validation,all,6233,19.34217123883611,3.4089291982393815,42.10357831406833
carreiro,9,ridge_reference,validation,high_flow,27,106.86110895014907,66.63354086222552,241.67387278661946
carreiro,9,ridge_reference,test,all,1673,42.57224159050223,-11.138620817830677,70.00164113804914
carreiro,9,ridge_reference,test,high_flow,233,113.64433004824842,-91.79129266873208,320.6392217287802
carreiro,9,tree_delta,validation,all,6233,13.675847308440135,-0.4813078296365343,29.221645990060757
carreiro,9,tree_delta,validation,high_flow,27,154.1471269369595,4.347289722462575,205.58388112161663
carreiro,9,tree_delta,test,all,1673,33.060416945018666,-16.472950298942596,56.864696409391186
carreiro,9,tree_delta,test,high_flow,233,120.68578125338658,-95.58770292595337,374.5991340800165
carreiro,9,tree_level,validation,all,6233,16.511995023693057,3.38094633574474,29.948855229940683
carreiro,9,tree_level,validation,high_flow,27,270.371435498921,220.1873345968394,420.1260346242506
carreiro,9,tree_level,test,all,1673,46.342483561965444,-25.494420846928048,85.70727893683215
