year,column,name,finite,missing
2022,7,86472000:dH0.5,705,759
2022,8,86472000:dH1,702,762
2022,9,86472000:dH2,701,763
2022,10,86472000:dH4,701,763
2022,11,86472000:dH8,701,763
2022,12,86472600:H,0,1464
2022,13,86472600:dH0.5,0,1464
2022,14,86472600:dH1,0,1464
2022,15,86472600:dH2,0,1464
2022,16,86472600:dH4,0,1464
2022,17,86472600:dH8,0,1464
2022,18,86500000:H,0,1464
2022,19,86500000:dH0.5,0,1464
2022,20,86500000:dH1,0,1464
2022,21,86500000:dH2,0,1464
2022,22,86500000:dH4,0,1464
2022,23,86500000:dH8,0,1464
2022,24,julho:Q06,1464,0
2022,25,julho:Q,1464,0
2022,26,julho:I,1464,0
2022,27,julho:dQ1,1464,0
2022,28,julho:dQ2,1464,0
2022,29,julho:dQ4,1464,0
2022,30,julho:dQ8,1464,0
2022,31,monte:Q06,1464,0
2022,32,monte:Q,1464,0
2022,33,monte:I,1464,0
2022,34,monte:dQ1,1464,0
2022,35,monte:dQ2,1464,0
2022,36,monte:dQ4,1464,0
2022,37,monte:dQ8,1464,0
2022,38,castro:Q06,1464,0
2022,39,castro:Q,1464,0
2022,40,castro:I,1464,0
2022,41,castro:dQ1,1464,0
2022,42,castro:dQ2,1464,0
2022,43,castro:dQ4,1464,0
2022,44,castro:dQ8,1464,0
2022,45,Baixo Antas:P1,1305,159
2022,46,Baixo Antas:C1,1464,0
2022,47,Baixo Antas:P3,1450,14
2022,48,Baixo Antas:C3,1464,0
2022,49,Baixo Antas:P6,1456,8
2022,50,Baixo Antas:C6,1464,0
2022,51,Baixo Antas:P12,1464,0
2022,52,Baixo Antas:C12,1464,0
2022,53,Baixo Antas:P24,1464,0
2022,54,Baixo Antas:C24,1464,0
2022,55,Baixo Antas:P48,1464,0
2022,56,Baixo Antas:C48,1464,0
2022,57,Baixo Antas:P3lag3,1450,14
2022,58,Baixo Antas:P3lag6,1450,14
2022,59,Baixo Antas:P3lag12,1450,14
2022,60,Carreiro:P1,0,1464
2022,61,Carreiro:C1,1464,0
2022,62,Carreiro:P3,0,1464
2022,63,Carreiro:C3,1464,0
2022,64,Carreiro:P6,0,1464
2022,65,Carreiro:C6,1464,0
2022,66,Carreiro:P12,0,1464
2022,67,Carreiro:C12,1464,0
2022,68,Carreiro:P24,0,1464
2022,69,Carreiro:C24,1464,0
2022,70,Carreiro:P48,0,1464
2022,71,Carreiro:C48,1464,0
2022,72,Carreiro:P3lag3,0,1464
2022,73,Carreiro:P3lag6,0,1464
2022,74,Carreiro:P3lag12,0,1464
2022,75,Prata-Turvo:P1,1464,0
2022,76,Prata-Turvo:C1,1464,0
2022,77,Prata-Turvo:P3,1464,0
2022,78,Prata-Turvo:C3,1464,0
2022,79,Prata-Turvo:P6,1464,0
2022,80,Prata-Turvo:C6,1464,0
2022,81,Prata-Turvo:P12,1464,0
2022,82,Prata-Turvo:C12,1464,0
2022,83,Prata-Turvo:P24,1464,0
2022,84,Prata-Turvo:C24,1464,0
2022,85,Prata-Turvo:P48,1464,0
2022,86,Prata-Turvo:C48,1464,0
2022,87,Prata-Turvo:P3lag3,1464,0
2022,88,Prata-Turvo:P3lag6,1464,0
2022,89,Prata-Turvo:P3lag12,1464,0
2022,90,Alto Antas:P1,1462,2
2022,91,Alto Antas:C1,1464,0
2022,92,Alto Antas:P3,1464,0
2022,93,Alto Antas:C3,1464,0
2022,94,Alto Antas:P6,1464,0
2022,95,Alto Antas:C6,1464,0
2022,96,Alto Antas:P12,1464,0
2022,97,Alto Antas:C12,1464,0
2022,98,Alto Antas:P24,1464,0
2022,99,Alto Antas:C24,1464,0
2022,100,Alto Antas:P48,1464,0
2022,101,Alto Antas:C48,1464,0
2022,102,Alto Antas:P3lag3,1464,0
2022,103,Alto Antas:P3lag6,1464,0
2022,104,Alto Antas:P3lag12,1464,0
2022,105,Tainhas:P1,1463,1
2022,106,Tainhas:C1,1464,0
2022,107,Tainhas:P3,1464,0
2022,108,Tainhas:C3,1464,0
2022,109,Tainhas:P6,1464,0
2022,110,Tainhas:C6,1464,0
2022,111,Tainhas:P12,1464,0
2022,112,Tainhas:C12,1464,0
2022,113,Tainhas:P24,1464,0
2022,114,Tainhas:C24,1464,0
2022,115,Tainhas:P48,1464,0
2022,116,Tainhas:C48,1464,0
2022,117,Tainhas:P3lag3,1464,0
2022,118,Tainhas:P3lag6,1464,0
2022,119,Tainhas:P3lag12,1464,0
