column,name,finite,missing
0,86510000:H,12835,77
1,86510000:dH0.5,0,12912
2,86510000:dH1,12790,122
3,86510000:dH2,12784,128
4,86510000:dH4,12776,136
5,86510000:dH8,12769,143
6,86472000:H,12802,110
7,86472000:dH0.5,12797,115
8,86472000:dH1,12782,130
9,86472000:dH2,12771,141
10,86472000:dH4,12758,154
11,86472000:dH8,12737,175
12,86472600:H,12475,437
13,86472600:dH0.5,12473,439
14,86472600:dH1,12382,530
15,86472600:dH2,12327,585
16,86472600:dH4,12283,629
17,86472600:dH8,12223,689
18,86500000:H,12077,835
19,86500000:dH0.5,12071,841
20,86500000:dH1,12060,852
21,86500000:dH2,12055,857
22,86500000:dH4,12046,866
23,86500000:dH8,12034,878
24,julho:Q06,12910,2
25,julho:Q,12910,2
26,julho:I,12910,2
27,julho:dQ1,12909,3
28,julho:dQ2,12908,4
29,julho:dQ4,12906,6
30,julho:dQ8,12902,10
31,monte:Q06,12909,3
32,monte:Q,12909,3
33,monte:I,12909,3
34,monte:dQ1,12907,5
35,monte:dQ2,12906,6
36,monte:dQ4,12904,8
37,monte:dQ8,12900,12
38,castro:Q06,12910,2
39,castro:Q,12910,2
40,castro:I,12910,2
41,castro:dQ1,12909,3
42,castro:dQ2,12908,4
43,castro:dQ4,12906,6
44,castro:dQ8,12902,10
45,Baixo Antas:P1,12741,171
46,Baixo Antas:C1,12912,0
47,Baixo Antas:P3,12909,3
48,Baixo Antas:C3,12912,0
49,Baixo Antas:P6,12908,4
50,Baixo Antas:C6,12912,0
51,Baixo Antas:P12,12905,7
52,Baixo Antas:C12,12912,0
53,Baixo Antas:P24,12899,13
54,Baixo Antas:C24,12912,0
55,Baixo Antas:P48,12887,25
56,Baixo Antas:C48,12912,0
57,Baixo Antas:P3lag3,12906,6
58,Baixo Antas:P3lag6,12903,9
59,Baixo Antas:P3lag12,12897,15
60,Carreiro:P1,12256,656
61,Carreiro:C1,12912,0
62,Carreiro:P3,12295,617
63,Carreiro:C3,12912,0
64,Carreiro:P6,12330,582
65,Carreiro:C6,12912,0
66,Carreiro:P12,12360,552
67,Carreiro:C12,12912,0
68,Carreiro:P24,12444,468
69,Carreiro:C24,12912,0
70,Carreiro:P48,12539,373
71,Carreiro:C48,12912,0
72,Carreiro:P3lag3,12292,620
73,Carreiro:P3lag6,12289,623
74,Carreiro:P3lag12,12283,629
75,Prata-Turvo:P1,12905,7
76,Prata-Turvo:C1,12912,0
77,Prata-Turvo:P3,12907,5
78,Prata-Turvo:C3,12912,0
79,Prata-Turvo:P6,12907,5
80,Prata-Turvo:C6,12912,0
81,Prata-Turvo:P12,12904,8
82,Prata-Turvo:C12,12912,0
83,Prata-Turvo:P24,12898,14
84,Prata-Turvo:C24,12912,0
85,Prata-Turvo:P48,12886,26
86,Prata-Turvo:C48,12912,0
87,Prata-Turvo:P3lag3,12904,8
88,Prata-Turvo:P3lag6,12901,11
89,Prata-Turvo:P3lag12,12895,17
90,Alto Antas:P1,12908,4
91,Alto Antas:C1,12912,0
92,Alto Antas:P3,12908,4
93,Alto Antas:C3,12912,0
94,Alto Antas:P6,12906,6
95,Alto Antas:C6,12912,0
96,Alto Antas:P12,12902,10
97,Alto Antas:C12,12912,0
98,Alto Antas:P24,12896,16
99,Alto Antas:C24,12912,0
100,Alto Antas:P48,12883,29
101,Alto Antas:C48,12912,0
102,Alto Antas:P3lag3,12905,7
103,Alto Antas:P3lag6,12902,10
104,Alto Antas:P3lag12,12896,16
105,Tainhas:P1,12803,109
106,Tainhas:C1,12912,0
107,Tainhas:P3,12889,23
108,Tainhas:C3,12912,0
109,Tainhas:P6,12893,19
110,Tainhas:C6,12912,0
111,Tainhas:P12,12894,18
112,Tainhas:C12,12912,0
113,Tainhas:P24,12897,15
114,Tainhas:C24,12912,0
115,Tainhas:P48,12885,27
116,Tainhas:C48,12912,0
117,Tainhas:P3lag3,12886,26
118,Tainhas:P3lag6,12883,29
119,Tainhas:P3lag12,12877,35
