model,subset,n,mae_m,rmse_m,bias_m
hge_pet_1,all,1506,0.40733748778339074,0.5565811014439617,0.04371986790831672
hge_pet_1,level_ge_7m,167,0.9049540401845714,1.097992571069433,0.653969984189211
hge_pet_3,all,1506,0.4106196619675364,0.5547086852629822,0.012335485182512141
hge_pet_3,level_ge_7m,167,0.8878369441431644,1.0857005584699995,0.6211497463598685
hge_pet_5,all,1506,0.41502653671152695,0.5556900433788936,-0.008270968729320939
hge_pet_5,level_ge_7m,167,0.876647754540407,1.0763800893601534,0.593510701661472
existing_linear_routing,all,1506,0.42577734994444166,0.5712409782073569,-0.0032471373461693816
existing_linear_routing,level_ge_7m,167,0.8486128401996493,1.0684859541838632,0.2502147774738782
