pet_mm_day,weather,correction_tau_h,lead_h,time,forecast_m,flow_m3_s,incremental_flow_m3_s,routed_upstream_flow_m3_s,rain_mm,soil_fraction,flow_correction_m3_s
1.0,gfs,2.0,1,2026-09-21T16:00:00-03:00,11.08273138323985,3900.990124899163,1963.8362139165943,2301.0546175767035,0.3,0.9848492536641421,-363.9007065941346
1.0,gfs,2.0,2,2026-09-21T17:00:00-03:00,12.33565873154978,4652.22550073445,2041.4945475886332,2831.447888786251,1.0,0.9889836326772283,-220.7169356404339
1.0,gfs,2.0,3,2026-09-21T18:00:00-03:00,13.498436515499934,5392.859117939981,2072.7247311539054,3454.005975369818,1.0,0.9889373861702728,-133.87158858374323
1.0,gfs,2.0,4,2026-09-21T19:00:00-03:00,14.501125858172783,6063.906619329342,2064.1644447433537,4080.9393975264643,0.8,0.988937903476354,-81.19722294047602
1.0,gfs,2.0,5,2026-09-21T20:00:00-03:00,15.303226113302772,6621.678337989822,2022.3319646194905,4648.594978567252,0.3,0.9848492592665083,-49.248605196920686
1.0,gfs,2.0,6,2026-09-21T21:00:00-03:00,15.953450062300107,7087.20879377728,1954.0245619738823,5163.055020803413,0.2,0.9785076254784834,-29.870789000015336
1.0,gfs,2.0,7,2026-09-21T22:00:00-03:00,16.460039516545343,7458.060387634151,1865.7671539105488,5610.410783081918,0.2,0.972255697215326,-18.117549358316175
1.0,gfs,2.0,8,2026-09-21T23:00:00-03:00,16.905346745594414,7789.870786256268,1763.46777671832,6037.391858702624,0.1,0.9637346264073484,-10.988849164675706
1.0,gfs,2.0,9,2026-09-22T00:00:00-03:00,17.28707665826499,8078.596244187006,1652.239708059539,6433.0216100608,0.0,0.9529544439513256,-6.665073933333377
1.0,gfs,2.0,10,2026-09-22T01:00:00-03:00,17.567177420298297,8292.949283305288,1536.3783480426812,6760.613506952426,0.1,0.944662040504564,-4.04257168981817
1.0,gfs,2.0,11,2026-09-22T02:00:00-03:00,17.732341849761557,8420.328604976596,1419.3874343112193,7003.393114339337,0.1,0.936466293047645,-2.45194367396103
1.0,gfs,2.0,12,2026-09-22T03:00:00-03:00,17.929172906129896,8573.078498079261,1304.0053924154843,7270.560284677924,0.0,0.9259911298374128,-1.4871790141458017
1.0,gfs,6.0,1,2026-09-21T16:00:00-03:00,10.755234052805593,3712.8910154572477,1963.8362139165943,2301.0546175767035,0.3,0.9848492536641421,-551.9998160360499
1.0,gfs,6.0,2,2026-09-21T17:00:00-03:00,11.933455617896307,4405.684679957387,2041.4945475886332,2831.447888786251,1.0,0.9889836326772283,-467.2577564174972
1.0,gfs,6.0,3,2026-09-21T18:00:00-03:00,13.094923661323735,5131.205554902922,2072.7247311539054,3454.005975369818,1.0,0.9889373861702728,-395.52515162080147
1.0,gfs,6.0,4,2026-09-21T19:00:00-03:00,14.127326373903237,5810.299029688221,2064.1644447433537,4080.9393975264643,0.8,0.988937903476354,-334.8048125815976
1.0,gfs,6.0,5,2026-09-21T20:00:00-03:00,14.969707749452848,6387.520787930993,2022.3319646194905,4648.594978567252,0.3,0.9848492592665083,-283.4061552557495
1.0,gfs,6.0,6,2026-09-21T21:00:00-03:00,15.662143564944635,6877.181451631792,1954.0245619738823,5163.055020803413,0.2,0.9785076254784834,-239.89813114550404
1.0,gfs,6.0,7,2026-09-21T22:00:00-03:00,16.20860262985844,7273.108553142386,1865.7671539105488,5610.410783081918,0.2,0.972255697215326,-203.069383850081
1.0,gfs,6.0,8,2026-09-21T23:00:00-03:00,16.690309766350627,7628.965113107053,1763.46777671832,6037.391858702624,0.1,0.9637346264073484,-171.89452231389077
1.0,gfs,6.0,9,2026-09-22T00:00:00-03:00,17.104162463175374,7939.755746372829,1652.239708059539,6433.0216100608,0.0,0.9529544439513256,-145.5055717475104
1.0,gfs,6.0,10,2026-09-22T01:00:00-03:00,17.411852950458222,8173.824047641079,1536.3783480426812,6760.613506952426,0.1,0.944662040504564,-123.16780735402762
1.0,gfs,6.0,11,2026-09-22T02:00:00-03:00,17.600410779794473,8318.521250630525,1419.3874343112193,7003.393114339337,0.1,0.936466293047645,-104.25929802003216
1.0,gfs,6.0,12,2026-09-22T03:00:00-03:00,17.81752991551495,8486.312086669526,1304.0053924154843,7270.560284677924,0.0,0.9259911298374128,-88.25359042388142
1.0,gfs,12.0,1,2026-09-21T16:00:00-03:00,10.648404805659744,3652.289492791141,1963.8362139165943,2301.0546175767035,0.3,0.9848492536641421,-612.6013387021566
1.0,gfs,12.0,2,2026-09-21T17:00:00-03:00,11.773968939566052,4309.321996307519,2041.4945475886332,2831.447888786251,1.0,0.9889836326772283,-563.6204400673655
1.0,gfs,12.0,3,2026-09-21T18:00:00-03:00,12.902531156641174,5008.1748686688225,2072.7247311539054,3454.005975369818,1.0,0.9889373861702728,-518.5558378549009
1.0,gfs,12.0,4,2026-09-21T19:00:00-03:00,13.91492462930881,5668.009439977988,2064.1644447433537,4080.9393975264643,0.8,0.988937903476354,-477.0944022918305
