time,lead_h,hge_reference_m,sensitivity_min_m,sensitivity_max_m,previous_selected_m,previous_routing_m
2026-09-21T16:00:00-03:00,1,10.742560101106754,10.630935390742605,11.0943419000504,10.354225675568127,10.678505560202755
2026-09-21T17:00:00-03:00,2,11.917637183079433,11.746747808160276,12.366523693398804,11.209646933704338,12.190709842994954
2026-09-21T18:00:00-03:00,3,13.079052912439646,12.866679354153883,13.552732091942168,11.501219284075743,13.32558099017457
2026-09-21T19:00:00-03:00,4,14.116531704707686,13.87474393672689,14.5807658697973,11.650989959045251,14.296494536459127
2026-09-21T20:00:00-03:00,5,14.970160924216634,14.701337436437903,15.4106511229018,12.403635040443014,14.806574689625922
2026-09-21T21:00:00-03:00,6,15.677725162983972,15.385616174262237,16.086264993325347,12.103225906054362,15.519267225058902
2026-09-21T22:00:00-03:00,7,16.23958726717525,15.929510746286837,16.613673495602438,13.445622097751722,16.27358260429984
2026-09-21T23:00:00-03:00,8,16.734976911157624,16.413476234955148,17.07411819411895,13.629904539529917,16.605529192861383
2026-09-22T00:00:00-03:00,9,17.15994288772963,16.833038851773047,17.465450512294943,14.164101359105347,16.86951416001856
2026-09-22T01:00:00-03:00,10,17.476016613858775,17.148508999036213,17.750427866439946,13.977466606446058,17.0662943203236
2026-09-22T02:00:00-03:00,11,17.670357331286173,17.34605311943608,17.916564734288727,13.799682357580576,17.06532463037265
2026-09-22T03:00:00-03:00,12,17.890598412534295,17.574047304790245,18.113951729947733,13.737598273980495,17.035763402708177
