group,window_h,origins,finite_precipitation,coverage_min,coverage_max,coverage_mean,coverage_below_half
Baixo Antas,1,744,734,0.4190751445086705,0.7175818882466282,0.7057511472641763,10
Baixo Antas,3,744,736,0.46531791907514447,0.9058606294155428,0.884082011691908,8
Baixo Antas,6,744,739,0.47687861271676296,0.9529303147077713,0.9295242047706853,5
Baixo Antas,12,744,744,0.5353444123314066,0.9764651573538857,0.9537597450552828,0
Baixo Antas,24,744,744,0.7628552504816956,0.9882325786769427,0.9667597335092644,0
Baixo Antas,48,744,744,0.8814276252408478,0.994084176300578,0.9732662021390565,0
Carreiro,1,744,583,0.1657566302652106,0.7712948517940719,0.6572557579722543,161
Carreiro,3,744,584,0.2018980759230369,0.7781591263650547,0.6640462231392483,160
Carreiro,6,744,588,0.2327743109724389,0.7798751950078004,0.6666481094727661,156
Carreiro,12,744,587,0.24756240249609984,0.7807332293291731,0.6695699239259894,157
Carreiro,24,744,602,0.24865119604784192,0.7811622464898595,0.6741771666834416,142
Carreiro,48,744,615,0.2561508710348414,0.781371879875195,0.6827461999689665,129
Prata-Turvo,1,744,744,0.6861436863302535,0.9014954986969912,0.8953998249917845,0
Prata-Turvo,3,744,744,0.7518133538655927,0.9671651662323304,0.9613589438878316,0
Prata-Turvo,6,744,744,0.7682307707494275,0.9835825831161653,0.9782105378127285,0
Prata-Turvo,12,744,744,0.8234366362631289,0.9917912915580827,0.9872286114868567,0
Prata-Turvo,24,744,744,0.9042556315644001,0.9958956457790413,0.9919793354336869,0
Prata-Turvo,48,744,744,0.944665129215036,0.9979478228895207,0.9945352462756621,0
Alto Antas,1,744,743,0.461393892439796,0.8072683840144619,0.746673677365206,1
Alto Antas,3,744,744,0.5764688919017797,0.8408500656379796,0.779527475100262,0
Alto Antas,6,744,744,0.6005528654744228,0.8492454860438591,0.7874882738495651,0
Alto Antas,12,744,744,0.620439128844126,0.8534431962467988,0.7912389804297465,0
Alto Antas,24,744,744,0.6343043988206685,0.847697774764887,0.7924244418038261,0
Alto Antas,48,744,744,0.6392759646630942,0.8330586491488583,0.7913742271331824,0
Tainhas,1,744,744,0.7677595628415301,1.0,0.9780453708600192,0
Tainhas,3,744,744,0.7677595628415301,1.0,0.9777332197348062,0
Tainhas,6,744,744,0.7677595628415301,1.0,0.9772649930469868,0
Tainhas,12,744,744,0.7677595628415301,1.0,0.9763285396713478,0
Tainhas,24,744,744,0.7677595628415301,1.0,0.9744556329200698,0
Tainhas,48,744,744,0.7677595628415301,1.0,0.9707098194175137,0
