origin,station,query_time,source_time,age_after_delay_seconds,value_m,usable
2024-04-03T00:00:00-03:00,86472000,2024-04-02T23:30:00-03:00,2024-04-02T23:30:00-03:00,0.0,3.18,True
2024-04-03T01:00:00-03:00,86472000,2024-04-03T00:30:00-03:00,2024-04-03T00:30:00-03:00,0.0,2.87,True
2024-04-03T02:00:00-03:00,86472000,2024-04-03T01:30:00-03:00,2024-04-03T01:30:00-03:00,0.0,2.65,True
2024-04-03T03:00:00-03:00,86472000,2024-04-03T02:30:00-03:00,2024-04-03T02:30:00-03:00,0.0,2.52,True
2024-04-03T04:00:00-03:00,86472000,2024-04-03T03:30:00-03:00,2024-04-03T03:30:00-03:00,0.0,2.45,True
2024-04-03T05:00:00-03:00,86472000,2024-04-03T04:30:00-03:00,2024-04-03T04:30:00-03:00,0.0,2.4,True
2024-04-03T06:00:00-03:00,86472000,2024-04-03T05:30:00-03:00,2024-04-03T05:30:00-03:00,0.0,2.38,True
2024-04-03T07:00:00-03:00,86472000,2024-04-03T06:30:00-03:00,2024-04-03T06:30:00-03:00,0.0,2.36,True
2024-04-03T08:00:00-03:00,86472000,2024-04-03T07:30:00-03:00,2024-04-03T07:30:00-03:00,0.0,2.36,True
2024-04-03T09:00:00-03:00,86472000,2024-04-03T08:30:00-03:00,2024-04-03T08:30:00-03:00,0.0,2.36,True
2024-04-03T10:00:00-03:00,86472000,2024-04-03T09:30:00-03:00,2024-04-03T09:30:00-03:00,0.0,2.35,True
2024-04-03T11:00:00-03:00,86472000,2024-04-03T10:30:00-03:00,2024-04-03T10:30:00-03:00,0.0,2.35,True
2024-04-03T12:00:00-03:00,86472000,2024-04-03T11:30:00-03:00,2024-04-03T11:30:00-03:00,0.0,2.35,True
2024-04-03T13:00:00-03:00,86472000,2024-04-03T12:30:00-03:00,2024-04-03T12:30:00-03:00,0.0,2.35,True
2024-04-03T14:00:00-03:00,86472000,2024-04-03T13:30:00-03:00,2024-04-03T13:30:00-03:00,0.0,2.35,True
2024-04-03T15:00:00-03:00,86472000,2024-04-03T14:30:00-03:00,2024-04-03T14:30:00-03:00,0.0,2.35,True
2024-04-03T16:00:00-03:00,86472000,2024-04-03T15:30:00-03:00,2024-04-03T15:30:00-03:00,0.0,2.36,True
2024-04-03T17:00:00-03:00,86472000,2024-04-03T16:30:00-03:00,2024-04-03T16:30:00-03:00,0.0,2.35,True
2024-04-03T18:00:00-03:00,86472000,2024-04-03T17:30:00-03:00,2024-04-03T17:30:00-03:00,0.0,2.36,True
2024-04-03T19:00:00-03:00,86472000,2024-04-03T18:30:00-03:00,2024-04-03T18:30:00-03:00,0.0,2.54,True
2024-04-03T20:00:00-03:00,86472000,2024-04-03T19:30:00-03:00,2024-04-03T19:30:00-03:00,0.0,2.98,True
2024-04-03T21:00:00-03:00,86472000,2024-04-03T20:30:00-03:00,2024-04-03T20:30:00-03:00,0.0,3.18,True
2024-04-03T22:00:00-03:00,86472000,2024-04-03T21:30:00-03:00,2024-04-03T21:30:00-03:00,0.0,3.24,True
2024-04-03T23:00:00-03:00,86472000,2024-04-03T22:30:00-03:00,2024-04-03T22:30:00-03:00,0.0,3.27,True
2024-04-04T00:00:00-03:00,86472000,2024-04-03T23:30:00-03:00,2024-04-03T23:30:00-03:00,0.0,3.32,True
2024-04-04T01:00:00-03:00,86472000,2024-04-04T00:30:00-03:00,2024-04-04T00:30:00-03:00,0.0,3.36,True
2024-04-04T02:00:00-03:00,86472000,2024-04-04T01:30:00-03:00,2024-04-04T01:30:00-03:00,0.0,3.26,True
2024-04-04T03:00:00-03:00,86472000,2024-04-04T02:30:00-03:00,2024-04-04T02:30:00-03:00,0.0,2.91,True
2024-04-04T04:00:00-03:00,86472000,2024-04-04T03:30:00-03:00,2024-04-04T03:30:00-03:00,0.0,2.67,True
2024-04-04T05:00:00-03:00,86472000,2024-04-04T04:30:00-03:00,2024-04-04T04:30:00-03:00,0.0,2.53,True
2024-04-04T06:00:00-03:00,86472000,2024-04-04T05:30:00-03:00,2024-04-04T05:30:00-03:00,0.0,2.45,True
2024-04-04T07:00:00-03:00,86472000,2024-04-04T06:30:00-03:00,2024-04-04T06:30:00-03:00,0.0,2.41,True
2024-04-04T08:00:00-03:00,86472000,2024-04-04T07:30:00-03:00,2024-04-04T07:30:00-03:00,0.0,2.38,True
2024-04-04T09:00:00-03:00,86472000,2024-04-04T08:30:00-03:00,2024-04-04T08:30:00-03:00,0.0,2.36,True
2024-04-04T10:00:00-03:00,86472000,2024-04-04T09:30:00-03:00,2024-04-04T09:30:00-03:00,0.0,2.36,True
2024-04-04T11:00:00-03:00,86472000,2024-04-04T10:30:00-03:00,2024-04-04T10:30:00-03:00,0.0,2.35,True
2024-04-04T12:00:00-03:00,86472000,2024-04-04T11:30:00-03:00,2024-04-04T11:30:00-03:00,0.0,2.35,True
2024-04-04T13:00:00-03:00,86472000,2024-04-04T12:30:00-03:00,2024-04-04T12:30:00-03:00,0.0,2.35,True
2024-04-04T14:00:00-03:00,86472000,2024-04-04T13:30:00-03:00,2024-04-04T13:30:00-03:00,0.0,2.35,True
2024-04-04T15:00:00-03:00,86472000,2024-04-04T14:30:00-03:00,2024-04-04T14:30:00-03:00,0.0,2.35,True
2024-04-04T16:00:00-03:00,86472000,2024-04-04T15:30:00-03:00,2024-04-04T15:30:00-03:00,0.0,2.36,True
2024-04-04T17:00:00-03:00,86472000,2024-04-04T16:30:00-03:00,2024-04-04T16:30:00-03:00,0.0,2.35,True
2024-04-04T18:00:00-03:00,86472000,2024-04-04T17:30:00-03:00,2024-04-04T17:30:00-03:00,0.0,2.35,True
2024-04-04T19:00:00-03:00,86472000,2024-04-04T18:30:00-03:00,2024-04-04T18:30:00-03:00,0.0,2.47,True
2024-04-04T20:00:00-03:00,86472000,2024-04-04T19:30:00-03:00,2024-04-04T19:30:00-03:00,0.0,2.81,True
