source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,840.0,13.8
86099000,2026-09-21T21:00:00-03:00,60.0,6.55
86102000,2026-09-21T10:00:00-03:00,720.0,7.51
86117000,2026-09-21T21:00:00-03:00,60.0,2.34
86125000,2026-09-21T11:59:00-03:00,601.0,0.8412999999999999
86125050,2026-09-21T21:00:00-03:00,60.0,1.44
86160000,2026-09-21T20:45:00-03:00,75.0,4.87
86163000,2026-09-21T21:00:00-03:00,60.0,1.24
86200900,2026-09-21T12:00:00-03:00,600.0,667.03
86280500,2026-09-21T21:00:00-03:00,60.0,4.8
86298000,2026-09-21T19:00:00-03:00,180.0,12.71
86403000,2026-09-21T21:00:00-03:00,60.0,8.47
86410800,2026-09-21T21:00:00-03:00,60.0,0.0
86447000,2026-09-21T21:00:00-03:00,60.0,4.97
86448000,2026-09-21T19:00:00-03:00,180.0,153.55
86450000,2026-09-21T19:15:00-03:00,165.0,18.92
86471000,2026-09-21T21:30:00-03:00,30.0,4.64
86472000,2026-09-21T21:30:00-03:00,30.0,18.52
86472600,2026-09-21T21:45:00-03:00,15.0,15.13
86479000,2026-09-21T21:00:00-03:00,60.0,0.13
86488000,2026-09-21T21:00:00-03:00,60.0,2.41
86493000,2026-09-21T21:00:00-03:00,60.0,371.89
86495500,2026-09-21T21:00:00-03:00,60.0,330.49
86500000,2026-09-21T21:30:00-03:00,30.0,4.643
86504900,2026-09-21T21:00:00-03:00,60.0,6.03
86505500,2026-09-21T21:00:00-03:00,60.0,1.15
86510000,2026-09-21T21:30:00-03:00,30.0,16.17
julho,2026-09-21T21:00:00-03:00,60.0,10637.58
monte,2026-09-21T21:00:00-03:00,60.0,11800.7
castro,2026-09-21T21:00:00-03:00,60.0,8580.28
