window,group,upper_bound,threshold,cannot_reach_threshold,excluded_stations
2018-08-27,Baixo Antas,0.7861271676300577,0.5,False,86472600
2018-08-27,Carreiro,0.8798751950078003,0.5,False,"86500000,86504900"
2018-08-27,Prata-Turvo,0.4989339019189765,0.5,True,"86125000,86125050"
2018-08-27,Alto Antas,0.5920976176641487,0.5,False,"86060010,86125000,86160000,86280500"
2018-08-27,Tainhas,0.15846994535519127,0.5,True,"86060010,86160000"
2018-09-27,Baixo Antas,0.7861271676300577,0.5,False,86472600
2018-09-27,Carreiro,0.8798751950078003,0.5,False,"86500000,86504900"
2018-09-27,Prata-Turvo,0.4989339019189765,0.5,True,"86125000,86125050"
2018-09-27,Alto Antas,0.5920976176641487,0.5,False,"86060010,86125000,86160000,86280500"
2018-09-27,Tainhas,0.15846994535519127,0.5,True,"86060010,86160000"
