station,name,origin_literal,query_literal,source_time_literal,age_after_query_seconds,age_at_origin_seconds,source_record_index,final_level_original,final_qc,sensor_original,sensor_qc,source_file,source_sha256,eligible_strict_level,reason
86472000,Linha José Júlio,2024-06-15 00:00:00,2024-06-14 23:30:00,,,,,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,no_record_at_or_before_query
86472000,Linha José Júlio,2024-06-15 01:00:00,2024-06-15 00:30:00,2024-06-15 00:30:00,0.0,1800.0,670,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 02:00:00,2024-06-15 01:30:00,2024-06-15 01:30:00,0.0,1800.0,666,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 03:00:00,2024-06-15 02:30:00,2024-06-15 02:30:00,0.0,1800.0,662,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 04:00:00,2024-06-15 03:30:00,2024-06-15 03:30:00,0.0,1800.0,658,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 05:00:00,2024-06-15 04:30:00,2024-06-15 04:30:00,0.0,1800.0,654,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 06:00:00,2024-06-15 05:30:00,2024-06-15 05:30:00,0.0,1800.0,650,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 07:00:00,2024-06-15 06:30:00,2024-06-15 06:30:00,0.0,1800.0,646,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 08:00:00,2024-06-15 07:30:00,2024-06-15 07:30:00,0.0,1800.0,642,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 09:00:00,2024-06-15 08:30:00,2024-06-15 08:30:00,0.0,1800.0,638,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 10:00:00,2024-06-15 09:30:00,2024-06-15 09:30:00,0.0,1800.0,634,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
86472000,Linha José Júlio,2024-06-15 11:00:00,2024-06-15 10:30:00,2024-06-15 10:30:00,0.0,1800.0,630,,,,,outputs/pesquisa-montante-junho2024-20260922/raw/ana-86472000-20240615-20240621.xml,f0e1557fd91a3f01bd5b409c2bf2eaeadcf9904d8b2d49e1324fc6ceebbda8ff,False,missing_final_level
