source,last_time,delay_minutes,value
86060010,2026-09-21T08:00:00-03:00,480.0,13.8
86099000,2026-09-21T16:00:00-03:00,0.0,7.45
86102000,2026-09-21T10:00:00-03:00,360.0,7.51
86117000,2026-09-21T16:00:00-03:00,0.0,3.64
86125000,2026-09-21T11:59:00-03:00,241.0,0.8412999999999999
86125050,2026-09-21T16:00:00-03:00,0.0,1.18
86160000,2026-09-21T15:45:00-03:00,15.0,5.73
86163000,2026-09-21T16:00:00-03:00,0.0,1.27
86200900,2026-09-21T12:00:00-03:00,240.0,667.03
86280500,2026-09-21T16:00:00-03:00,0.0,5.3625
86298000,2026-09-21T16:00:00-03:00,0.0,11.41
86403000,2026-09-21T16:00:00-03:00,0.0,8.38
86410800,2026-09-21T16:00:00-03:00,0.0,0.17
86447000,2026-09-21T16:00:00-03:00,0.0,5.34
86448000,2026-09-21T16:00:00-03:00,0.0,152.1
86450000,2026-09-21T16:00:00-03:00,0.0,14.99
86471000,2026-09-21T16:00:00-03:00,0.0,2.08
86472000,2026-09-21T16:00:00-03:00,0.0,13.9
86472600,2026-09-21T16:00:00-03:00,0.0,11.21
86479000,2026-09-21T16:00:00-03:00,0.0,1.07
86488000,2026-09-21T16:00:00-03:00,0.0,0.58
86493000,2026-09-21T16:00:00-03:00,0.0,372.19
86495500,2026-09-21T16:00:00-03:00,0.0,330.82
86500000,2026-09-21T16:00:00-03:00,0.0,5.653
86504900,2026-09-21T16:00:00-03:00,0.0,7.04
86505500,2026-09-21T16:00:00-03:00,0.0,1.15
86510000,2026-09-21T16:00:00-03:00,0.0,11.64
julho,2026-09-21T16:00:00-03:00,0.0,5179.34
monte,2026-09-21T16:00:00-03:00,0.0,6377.03
castro,2026-09-21T16:00:00-03:00,0.0,4870.72
