observed_cluster_id,nominal_lead_h,first_exceedance_at,complete_observed_cluster,independence_certified,family,subset,observed_targets,paired_n,forecast_failures_with_truth,coverage,within_0_50_n,within_0_50_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
594b4ac32b57fab12c848086,12,2026-07-02T23:30:00+00:00,True,False,julho_levels,level_ge_7m,35,35,0,1.0,26,0.7428571428571429,0.3508081641839517,-0.200981446821867,0.8144738127473008,1.0452234089143335,1.1401360555014595
a801ac814e2dfee4fc14bea5,1,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,133,2,0.9851851851851852,116,0.8721804511278195,0.277534871723912,0.12977751994233525,0.5448358507791864,1.0244666607588984,1.3540766916208895
a801ac814e2dfee4fc14bea5,1,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,133,2,0.9851851851851852,114,0.8571428571428571,0.27640751222065574,0.13269424083701958,0.5340892061489956,0.983545251402182,1.3363363795546643
a801ac814e2dfee4fc14bea5,2,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,133,2,0.9851851851851852,77,0.5789473684210527,0.4619919044642436,0.20807441343822614,0.8827404909072228,1.4325644521319223,2.1591250166535616
a801ac814e2dfee4fc14bea5,2,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,133,2,0.9851851851851852,78,0.5864661654135338,0.44995210437362815,0.2173525951933079,0.8779667162466739,1.3913547055200923,2.1256756873033744
a801ac814e2dfee4fc14bea5,3,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,133,2,0.9851851851851852,64,0.48120300751879697,0.6314155338581657,0.26470473036479164,1.2371593279614959,2.0982238976294263,2.8988829116145745
a801ac814e2dfee4fc14bea5,3,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,133,2,0.9851851851851852,65,0.48872180451127817,0.6110070502687598,0.28288053357347454,1.1656065169806908,1.9282595527184252,2.769956886268055
a801ac814e2dfee4fc14bea5,4,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,133,2,0.9851851851851852,58,0.43609022556390975,0.7879458109906621,0.30275308864538897,1.4632962451498281,2.7476187057577026,3.329018638853949
a801ac814e2dfee4fc14bea5,4,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,133,2,0.9851851851851852,60,0.45112781954887216,0.7599454684402441,0.3276684795356005,1.4755775001406735,2.3033474753920298,3.146640556692857
a801ac814e2dfee4fc14bea5,5,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,133,2,0.9851851851851852,51,0.38345864661654133,0.9422511165701802,0.3071098850769456,1.7012188457895856,3.2821459484636946,4.023604409822896
a801ac814e2dfee4fc14bea5,5,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,133,2,0.9851851851851852,54,0.40601503759398494,0.9076834128487955,0.34833064262903246,1.7282429935075194,2.839838902201719,3.210054029360098
a801ac814e2dfee4fc14bea5,6,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,133,2,0.9851851851851852,45,0.3383458646616541,1.0914550560795864,0.3647225405301242,2.14144130595441,3.6961553594548313,4.815243764623784
a801ac814e2dfee4fc14bea5,6,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,133,2,0.9851851851851852,42,0.3157894736842105,1.0525693860218417,0.4061765429727299,1.944201542289564,3.305735699655333,4.190778631942209
a801ac814e2dfee4fc14bea5,7,2026-07-22T01:00:00+00:00,False,False,reference,level_ge_7m,135,133,2,0.9851851851851852,34,0.2556390977443609,1.2350388278571087,0.36436585459938403,2.486702831716159,4.1871940420437195,5.691324727293669
a801ac814e2dfee4fc14bea5,7,2026-07-22T01:00:00+00:00,False,False,julho_levels,level_ge_7m,135,133,2,0.9851851851851852,34,0.2556390977443609,1.1794072730123555,0.4235494987678945,2.39465130331973,3.480019267121343,4.913469515100857
