phase,horizon_h,subset,delta_hits,delta_mae_m,delta_max_abs_m
validation,1,all,1,0.004275360891147134,-0.09985100555061477
validation,1,level_ge_7m,0,0.009186836317805244,0.03081058338748477
validation,2,all,-2,0.0034060951641924145,-0.24697183758129082
validation,2,level_ge_7m,0,0.010540211113760536,0.085777883599782
validation,3,all,2,-0.0013152728367202618,-0.024197056614227108
validation,3,level_ge_7m,-1,0.034425903444061184,-0.020850672126329073
validation,4,all,-9,0.0035525559583913582,0.15556661817633355
validation,4,level_ge_7m,0,0.0738915147117428,0.2885245308693465
validation,5,all,-22,0.008772440973276646,0.6223304136132821
validation,5,level_ge_7m,0,0.09630410065400344,0.4800250462514679
validation,6,all,-28,0.005419793220642566,0.7378252336095592
validation,6,level_ge_7m,-6,0.2725756897590448,1.0105037740379856
validation,7,all,-52,0.01902100039697857,0.7284834201975263
validation,7,level_ge_7m,-5,0.17503342808478434,0.8676375343642029
validation,8,all,-25,0.019674123692478063,1.162100251536856
validation,8,level_ge_7m,-9,0.3413296375756742,0.7459630200908913
validation,9,all,-58,0.026427658849428493,1.1985891687092507
validation,9,level_ge_7m,-9,0.4341253724322407,0.869049550794724
validation,10,all,-44,0.024919925299877632,0.34685974569134803
validation,10,level_ge_7m,-5,0.4211998143053274,1.599030025224435
validation,11,all,49,0.009795749169218937,-0.04482427609036366
validation,11,level_ge_7m,-4,0.32388456171420665,0.9796099851375839
validation,12,all,-2,0.008111294956126669,0.3173964555918296
validation,12,level_ge_7m,-4,0.3022511301491053,0.28734887124548614
test,1,all,0,0.005451030328302353,-0.5081295726620736
test,1,level_ge_7m,-1,0.02309503411934355,-0.5081295726620736
test,2,all,-22,0.010122827900246933,-1.3051369028278472
test,2,level_ge_7m,-16,0.04852226881773697,-1.3900147938942213
test,3,all,8,-0.0010182278878587692,-0.43908357809232434
test,3,level_ge_7m,5,-0.0026370423427871104,-0.43908357809232434
test,4,all,9,-0.003912008511813614,-0.6317606799750521
test,4,level_ge_7m,5,-0.03464543984309626,-0.6317606799750521
test,5,all,0,0.0017191837158301304,-0.3977700580210106
test,5,level_ge_7m,-5,0.012983724280395015,-0.3977700580210106
test,6,all,11,-0.009808385075933623,-1.203833023166414
test,6,level_ge_7m,5,-0.05355210243139952,-1.203833023166414
test,7,all,12,-0.012419773848118765,-1.9238452152274554
test,7,level_ge_7m,-6,-0.015885654874672972,-1.9238452152274554
test,8,all,38,-0.026072889933918764,-2.272625632910632
test,8,level_ge_7m,7,-0.11117611074495681,-2.272625632910632
test,9,all,21,-0.023020587595322273,-1.4692268367826617
test,9,level_ge_7m,8,-0.11170821309498069,-1.4692268367826617
test,10,all,-8,-0.019043192501886963,-1.6943850605542004
test,10,level_ge_7m,4,-0.13208694106340702,-1.6943850605542004
test,11,all,3,-0.007357019868481363,-0.7455397423651995
test,11,level_ge_7m,4,-0.0490647711519594,-0.7455397423651995
test,12,all,0,-0.019539183131279725,-0.22716541092200515
test,12,level_ge_7m,6,-0.10510702136866601,-0.22716541092200515
