lead_h,family,phase,subset,training_rows,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
5,reference_ceran_only,test,high_flow,10937,271,452.9014721429898,-46.73125380127612,945.2082670405262
5,augmented_ceran_2023,validation,all,5061,6547,83.72979567687621,22.817125445863812,195.06907126064277
5,augmented_ceran_2023,validation,high_flow,5061,28,369.0054970698607,-97.89958832184516,696.8484268165199
5,augmented_ceran_2023,test,all,11613,1963,174.39213689462977,-3.867029803334746,326.1965567146308
5,augmented_ceran_2023,test,high_flow,11613,271,389.1118932717153,-75.12842138254128,793.2662438190068
6,reference_full,validation,all,4384,6546,91.87482486016397,15.349135477783468,227.2742125382864
6,reference_full,validation,high_flow,4384,28,249.41506111704535,-32.00870825004625,498.2794908369593
6,reference_full,test,all,10936,1962,189.36545227364064,-7.081513902982244,318.4865133693754
6,reference_full,test,high_flow,10936,271,459.587434411649,-158.8047786547275,828.6420168803232
6,reference_ceran_only,validation,all,4384,6546,85.2029010703314,19.58850313495038,198.24789499487048
6,reference_ceran_only,validation,high_flow,4384,28,329.3393773772461,-112.61384985811632,630.6408895221907
6,reference_ceran_only,test,all,10936,1962,193.5303360701761,-4.3859204234994165,321.38401773284266
6,reference_ceran_only,test,high_flow,10936,271,505.1250476238786,-70.43721887891478,1132.9003863557418
6,augmented_ceran_2023,validation,all,5058,6546,95.28512444051535,30.832894157666985,212.4695393257727
6,augmented_ceran_2023,validation,high_flow,5058,28,441.64304192855553,-126.3217415776235,1057.938308747251
6,augmented_ceran_2023,test,all,11610,1962,194.47942406686508,-6.55638187768906,337.01899896839035
6,augmented_ceran_2023,test,high_flow,11610,271,453.958170423293,-106.26808175167892,979.3505402127352
7,reference_full,validation,all,4383,6545,100.23852490380028,19.501065528908693,248.721122462456
7,reference_full,validation,high_flow,4383,28,291.31094075350325,-6.630618170692442,540.5360880042381
7,reference_full,test,all,10935,1961,204.91709209019484,-10.649045829958288,333.3483510253945
7,reference_full,test,high_flow,10935,271,515.0257555348941,-188.6805832214149,917.1653741544148
7,reference_ceran_only,validation,all,4383,6545,92.63674894694897,24.535877041912805,214.15971152944354
7,reference_ceran_only,validation,high_flow,4383,28,381.3427217317135,-119.91914367436016,728.5012315174339
7,reference_ceran_only,test,all,10935,1961,210.91147975196486,-7.607794508208133,331.3332471541405
7,reference_ceran_only,test,high_flow,10935,271,573.7312360666067,-94.2093860199575,1315.107246531701
7,augmented_ceran_2023,validation,all,5056,6545,103.67951027931971,39.49789610797647,227.14498524458494
7,augmented_ceran_2023,validation,high_flow,5056,28,498.1767182772554,-128.39783701801426,1017.5571825544209
7,augmented_ceran_2023,test,all,11608,1961,211.564241073425,-12.561190022656689,354.67588767144156
7,augmented_ceran_2023,test,high_flow,11608,271,520.1824123290313,-149.4473775618336,1121.1394513133941
