plant,missing_hour_end_assuming_2359_as24
castro,2025-05-30 02:00:00
castro,2026-08-03 14:00:00
julho,2025-12-22 10:00:00
monte,2025-05-30 01:00:00
monte,2025-05-30 02:00:00
